annee_fin_couv,mois_fin_couv,annee_deb_couv,valeur,mois_deb_couv,nom_indicateur
2024,1,2024,115.199282638224,1,AGRUMES
2024,0,2024,119.8482069166147,0,AGRUMES
2024,3,2024,132.3551351868234,3,AGRUMES
2024,4,2024,152.3607052351957,4,AGRUMES
2024,5,2024,165.2572599422693,5,AGRUMES
2024,6,2024,172.352171206658,6,AGRUMES
2024,7,2024,187.2006415076218,7,AGRUMES
2024,0,2024,153.819135557885,0,AGRUMES
2024,9,2024,140.6472859926992,9,AGRUMES
2024,10,2024,116.689871946249,10,AGRUMES
2023,1,2023,113.9752383113935,1,AGRUMES
2023,0,2023,122.8076305038584,0,AGRUMES
2023,3,2023,165.5521016795279,3,AGRUMES
2023,4,2023,156.0950340444848,4,AGRUMES
2023,5,2023,131.9450930549251,5,AGRUMES
2023,6,2023,141.9274897866545,6,AGRUMES
2023,7,2023,116.7437902859737,7,AGRUMES
2023,0,2023,136.708302315025,0,AGRUMES
2023,9,2023,111.2255149925505,9,AGRUMES
2023,10,2023,116.0773712832219,10,AGRUMES
2023,11,2023,115.7147080071448,11,AGRUMES
2023,0,2023,124.5650189305989,0,AGRUMES
2022,1,2022,122.9262324103495,1,AGRUMES
2022,0,2022,139.5329505220155,0,AGRUMES
2022,3,2022,161.1309623241035,3,AGRUMES
2022,4,2022,154.2505946436677,4,AGRUMES
2022,5,2022,150.4233045846573,5,AGRUMES
2022,6,2022,135.0083250113481,6,AGRUMES
2022,7,2022,130.5733272809805,7,AGRUMES
2022,0,2022,118.7557194734453,0,AGRUMES
2022,9,2022,102.4686745347254,9,AGRUMES
2022,10,2022,106.4513481615978,10,AGRUMES
2022,11,2022,104.9102405810258,11,AGRUMES
2022,0,2022,114.2468542896051,0,AGRUMES
2021,1,2021,113.558288697231,1,AGRUMES
2021,0,2021,120.8260553790286,0,AGRUMES
2021,3,2021,109.4601180208806,3,AGRUMES
2021,4,2021,139.4150295052201,4,AGRUMES
2021,5,2021,145.8151202905129,5,AGRUMES
2021,6,2021,119.8516295960054,6,AGRUMES
2021,7,2021,108.0742805265547,7,AGRUMES
2021,0,2021,96.60805719473444,0,AGRUMES
2021,9,2021,98.37143440762596,9,AGRUMES
2021,10,2021,95.3207898320472,10,AGRUMES
2021,11,2021,95.1082841579664,11,AGRUMES
2021,0,2021,108.750930549251,0,AGRUMES
2020,1,2020,111.5532546527462,1,AGRUMES
2020,0,2020,106.6237539718566,0,AGRUMES
2020,3,2020,136.4490830685429,3,AGRUMES
2020,4,2020,174.5482433045846,4,AGRUMES
2020,5,2020,141.0932092600999,5,AGRUMES
2020,6,2020,144.0344076259646,6,AGRUMES
2020,7,2020,122.4412165229233,7,AGRUMES
2020,0,2020,118.1133590558329,0,AGRUMES
2020,9,2020,94.33075351793008,9,AGRUMES
2020,10,2020,102.1097548797095,10,AGRUMES
2020,11,2020,110.7937766681798,11,AGRUMES
2020,0,2020,108.8050204266909,0,AGRUMES
2019,1,2019,105.2319564230595,1,AGRUMES
2019,0,2019,109.0599228325012,0,AGRUMES
2019,3,2019,114.4138538356786,3,AGRUMES
2019,4,2019,126.3788470267817,4,AGRUMES
2019,5,2019,124.5386017222891,5,AGRUMES
2019,6,2019,123.6455333635951,6,AGRUMES
2019,7,2019,110.9933227417158,7,AGRUMES
2019,0,2019,111.0718,0,AGRUMES
2019,9,2019,105.0933,9,AGRUMES
2019,10,2019,92.2972,10,AGRUMES
2019,11,2019,116.8537176577395,11,AGRUMES
2019,0,2019,109.1657648660917,0,AGRUMES
2018,1,2018,107.845006808897,1,AGRUMES
2018,0,2018,97.35084430322289,0,AGRUMES
2018,3,2018,99.94221970040856,3,AGRUMES
2018,4,2018,113.2,4,AGRUMES
2018,5,2018,111.2356967771221,5,AGRUMES
2018,6,2018,118.9678166137086,6,AGRUMES
2018,7,2018,94.40167498865183,7,AGRUMES
2018,0,2018,96.749232864276,0,AGRUMES
2018,9,2018,84.00485701316386,9,AGRUMES
2018,10,2018,81.57587834770766,10,AGRUMES
2018,11,2018,82.96666817975488,11,AGRUMES
2018,0,2018,103.1021743077621,0,AGRUMES
2017,1,2017,97.58043576940536,1,AGRUMES
2017,0,2017,99.81287335451655,0,AGRUMES
2017,3,2017,119.2898819791194,3,AGRUMES
2017,4,2017,114.6705310939628,4,AGRUMES
2017,5,2017,116.7257557875624,5,AGRUMES
2017,6,2017,116.9407489786655,6,AGRUMES
2017,7,2017,96.6,7,AGRUMES
2017,0,2017,104.2740490240581,0,AGRUMES
2017,9,2017,94.49249205628688,9,AGRUMES
2017,10,2017,87.96717203812982,10,AGRUMES
2017,11,2017,91.95114843395368,11,AGRUMES
2017,0,2017,102.985887426237,0,AGRUMES
2024,1,2024,111.5764442255047,1,ALCOOL_DE_BOUCHE
2024,0,2024,111.6806499294831,0,ALCOOL_DE_BOUCHE
2024,3,2024,112.0443675944483,3,ALCOOL_DE_BOUCHE
2024,4,2024,111.7739115605147,4,ALCOOL_DE_BOUCHE
2024,5,2024,111.7739115605147,5,ALCOOL_DE_BOUCHE
2024,6,2024,111.695272826905,6,ALCOOL_DE_BOUCHE
2024,7,2024,112.0361984572838,7,ALCOOL_DE_BOUCHE
2024,0,2024,112.0361984572838,0,ALCOOL_DE_BOUCHE
2024,9,2024,112.0361984572838,9,ALCOOL_DE_BOUCHE
2024,10,2024,111.8131176595242,10,ALCOOL_DE_BOUCHE
2023,1,2023,108.7279312539784,1,ALCOOL_DE_BOUCHE
2023,0,2023,108.8498726925525,0,ALCOOL_DE_BOUCHE
2023,3,2023,109.227975811585,3,ALCOOL_DE_BOUCHE
2023,4,2023,108.9268936982814,4,ALCOOL_DE_BOUCHE
2023,5,2023,108.805900700191,5,ALCOOL_DE_BOUCHE
2023,6,2023,108.9951623169956,6,ALCOOL_DE_BOUCHE
2023,7,2023,108.9283640992998,7,ALCOOL_DE_BOUCHE
2023,0,2023,108.9283640992998,0,ALCOOL_DE_BOUCHE
2023,9,2023,109.057052851785,9,ALCOOL_DE_BOUCHE
2023,10,2023,109.3996462815883,10,ALCOOL_DE_BOUCHE
2023,11,2023,110.7399029233964,11,ALCOOL_DE_BOUCHE
2023,0,2023,111.4782179714684,0,ALCOOL_DE_BOUCHE
2022,1,2022,106.7620942075112,1,ALCOOL_DE_BOUCHE
2022,0,2022,106.8157670273711,0,ALCOOL_DE_BOUCHE
2022,3,2022,106.8157670273711,3,ALCOOL_DE_BOUCHE
2022,4,2022,106.8157670273711,4,ALCOOL_DE_BOUCHE
2022,5,2022,106.8194780394653,5,ALCOOL_DE_BOUCHE
2022,6,2022,106.8700318268619,6,ALCOOL_DE_BOUCHE
2022,7,2022,107.0296053469128,7,ALCOOL_DE_BOUCHE
2022,0,2022,107.51139401655,0,ALCOOL_DE_BOUCHE
2022,9,2022,107.6783895607893,9,ALCOOL_DE_BOUCHE
2022,10,2022,108.326002546149,10,ALCOOL_DE_BOUCHE
2022,11,2022,108.2138446849141,11,ALCOOL_DE_BOUCHE
2022,0,2022,108.2509548058561,0,ALCOOL_DE_BOUCHE
2021,1,2021,100.3002227880331,1,ALCOOL_DE_BOUCHE
2021,0,2021,105.8787332908975,0,ALCOOL_DE_BOUCHE
2021,3,2021,105.865289624443,3,ALCOOL_DE_BOUCHE
2021,4,2021,105.8056333545512,4,ALCOOL_DE_BOUCHE
2021,5,2021,105.852686187142,5,ALCOOL_DE_BOUCHE
2021,6,2021,106.2111839592616,6,ALCOOL_DE_BOUCHE
2021,7,2021,106.2111839592616,7,ALCOOL_DE_BOUCHE
2021,0,2021,106.1543284532145,0,ALCOOL_DE_BOUCHE
2021,9,2021,106.1249204328453,9,ALCOOL_DE_BOUCHE
2021,10,2021,106.0689051559516,10,ALCOOL_DE_BOUCHE
2021,11,2021,105.7125079567155,11,ALCOOL_DE_BOUCHE
2021,0,2021,105.8343411839593,0,ALCOOL_DE_BOUCHE
2020,1,2020,100.5154614894972,1,ALCOOL_DE_BOUCHE
2020,0,2020,100.5154614894972,0,ALCOOL_DE_BOUCHE
2020,3,2020,100.4958625079567,3,ALCOOL_DE_BOUCHE
2020,4,2020,100.4776575429663,4,ALCOOL_DE_BOUCHE
2020,5,2020,100.5595416931891,5,ALCOOL_DE_BOUCHE
2020,6,2020,100.2167281985996,6,ALCOOL_DE_BOUCHE
2020,7,2020,100.6065945257798,7,ALCOOL_DE_BOUCHE
2020,0,2020,100.6711203055379,0,ALCOOL_DE_BOUCHE
2020,9,2020,100.750254614895,9,ALCOOL_DE_BOUCHE
2020,10,2020,100.1709038828772,10,ALCOOL_DE_BOUCHE
2020,11,2020,100.350458306811,11,ALCOOL_DE_BOUCHE
2020,0,2020,100.8979057924889,0,ALCOOL_DE_BOUCHE
2019,1,2019,100.3894844048377,1,ALCOOL_DE_BOUCHE
2019,0,2019,100.4585359643539,0,ALCOOL_DE_BOUCHE
2019,3,2019,100.3499936346276,3,ALCOOL_DE_BOUCHE
2019,4,2019,100.6524761298536,4,ALCOOL_DE_BOUCHE
2019,5,2019,101.2443967687279,5,ALCOOL_DE_BOUCHE
2019,6,2019,100.6524761298536,6,ALCOOL_DE_BOUCHE
2019,7,2019,100.0414194780395,7,ALCOOL_DE_BOUCHE
2019,0,2019,100.4763,0,ALCOOL_DE_BOUCHE
2019,9,2019,100.5346,9,ALCOOL_DE_BOUCHE
2019,10,2019,100.5538,10,ALCOOL_DE_BOUCHE
2019,11,2019,95.40341820496502,11,ALCOOL_DE_BOUCHE
2019,0,2019,100.1699299809039,0,ALCOOL_DE_BOUCHE
2018,1,2018,99.8320878421388,1,ALCOOL_DE_BOUCHE
2018,0,2018,99.8320878421388,0,ALCOOL_DE_BOUCHE
2018,3,2018,99.75417568427756,3,ALCOOL_DE_BOUCHE
2018,4,2018,98.15468491406747,4,ALCOOL_DE_BOUCHE
2018,5,2018,93.3635455124125,5,ALCOOL_DE_BOUCHE
2018,6,2018,94.72085295989817,6,ALCOOL_DE_BOUCHE
2018,7,2018,94.72085295989817,7,ALCOOL_DE_BOUCHE
2018,0,2018,100.1386505410566,0,ALCOOL_DE_BOUCHE
2018,9,2018,100.1386505410566,9,ALCOOL_DE_BOUCHE
2018,10,2018,100.1349395289625,10,ALCOOL_DE_BOUCHE
2018,11,2018,100.1716040738383,11,ALCOOL_DE_BOUCHE
2018,0,2018,100.1827371101209,0,ALCOOL_DE_BOUCHE
2017,1,2017,98.48947803946534,1,ALCOOL_DE_BOUCHE
2017,0,2017,98.43269255251434,0,ALCOOL_DE_BOUCHE
2017,3,2017,92.92721196690007,3,ALCOOL_DE_BOUCHE
2017,4,2017,100.4161935073202,4,ALCOOL_DE_BOUCHE
2017,5,2017,99.6310439210694,5,ALCOOL_DE_BOUCHE
2017,6,2017,99.6310439210694,6,ALCOOL_DE_BOUCHE
2017,7,2017,94.31590706556334,7,ALCOOL_DE_BOUCHE
2017,0,2017,94.31590706556334,0,ALCOOL_DE_BOUCHE
2017,9,2017,94.3082686187142,9,ALCOOL_DE_BOUCHE
2017,10,2017,94.3082686187142,10,ALCOOL_DE_BOUCHE
2017,11,2017,99.83697644812224,11,ALCOOL_DE_BOUCHE
2017,0,2017,99.83880967536604,0,ALCOOL_DE_BOUCHE
2024,1,2024,92.09560261447297,1,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2024,0,2024,92.09560261447297,0,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2024,3,2024,99.62263989818184,3,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2024,4,2024,97.29518450045764,4,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2024,5,2024,93.44017715186106,5,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2024,6,2024,93.03651057241494,6,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2024,7,2024,93.0650279434152,7,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2024,0,2024,93.03855941970215,0,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2024,9,2024,93.03855941970215,9,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2024,10,2024,92.08836608385852,10,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2023,1,2023,88.80706589147286,1,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2023,0,2023,88.76779069767441,0,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2023,3,2023,88.99050775193798,3,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2023,4,2023,88.64302713178294,4,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2023,5,2023,89.38000775193798,5,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2023,6,2023,89.57068217054264,6,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2023,7,2023,90.5801472868217,7,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2023,0,2023,90.5801472868217,0,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2023,9,2023,91.2270820857018,9,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2023,10,2023,91.2270820857018,10,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2023,11,2023,90.69343543560926,11,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2023,0,2023,91.70354882182995,0,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2022,1,2022,90.34475581395348,1,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2022,0,2022,90.9141976744186,0,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2022,3,2022,90.80696511627907,3,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2022,4,2022,90.9068023255814,4,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2022,5,2022,90.86982558139536,5,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2022,6,2022,90.451988372093,6,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
