annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","115.199282638224"
"2024","0","2024","0","119.8482069166147"
"2024","3","2024","3","132.3551351868234"
"2024","4","2024","4","152.3607052351957"
"2024","5","2024","5","165.2572599422693"
"2024","6","2024","6","172.352171206658"
"2024","7","2024","7","187.2006415076218"
"2024","0","2024","0","153.819135557885"
"2024","9","2024","9","140.6472859926992"
"2024","10","2024","10","116.689871946249"
"2023","1","2023","1","113.9752383113935"
"2023","0","2023","0","122.8076305038584"
"2023","3","2023","3","165.5521016795279"
"2023","4","2023","4","156.0950340444848"
"2023","5","2023","5","131.9450930549251"
"2023","6","2023","6","141.9274897866545"
"2023","7","2023","7","116.7437902859737"
"2023","0","2023","0","136.708302315025"
"2023","9","2023","9","111.2255149925505"
"2023","10","2023","10","116.0773712832219"
"2023","11","2023","11","115.7147080071448"
"2023","0","2023","0","124.5650189305989"
"2022","1","2022","1","122.9262324103495"
"2022","0","2022","0","139.5329505220155"
"2022","3","2022","3","161.1309623241035"
"2022","4","2022","4","154.2505946436677"
"2022","5","2022","5","150.4233045846573"
"2022","6","2022","6","135.0083250113481"
"2022","7","2022","7","130.5733272809805"
"2022","0","2022","0","118.7557194734453"
"2022","9","2022","9","102.4686745347254"
"2022","10","2022","10","106.4513481615978"
"2022","11","2022","11","104.9102405810258"
"2022","0","2022","0","114.2468542896051"
"2021","1","2021","1","113.558288697231"
"2021","0","2021","0","120.8260553790286"
"2021","3","2021","3","109.4601180208806"
"2021","4","2021","4","139.4150295052201"
"2021","5","2021","5","145.8151202905129"
"2021","6","2021","6","119.8516295960054"
"2021","7","2021","7","108.0742805265547"
"2021","0","2021","0","96.60805719473444"
"2021","9","2021","9","98.37143440762596"
"2021","10","2021","10","95.3207898320472"
"2021","11","2021","11","95.1082841579664"
"2021","0","2021","0","108.750930549251"
"2020","1","2020","1","111.5532546527462"
"2020","0","2020","0","106.6237539718566"
"2020","3","2020","3","136.4490830685429"
"2020","4","2020","4","174.5482433045846"
"2020","5","2020","5","141.0932092600999"
"2020","6","2020","6","144.0344076259646"
"2020","7","2020","7","122.4412165229233"
"2020","0","2020","0","118.1133590558329"
"2020","9","2020","9","94.33075351793009"
"2020","10","2020","10","102.1097548797095"
"2020","11","2020","11","110.7937766681798"
"2020","0","2020","0","108.8050204266909"
"2019","1","2019","1","105.2319564230595"
"2019","0","2019","0","109.0599228325012"
"2019","3","2019","3","114.4138538356786"
"2019","4","2019","4","126.3788470267817"
"2019","5","2019","5","124.5386017222891"
"2019","6","2019","6","123.6455333635951"
"2019","7","2019","7","110.9933227417158"
"2019","0","2019","0","111.0718"
"2019","9","2019","9","105.0933"
"2019","10","2019","10","92.2972"
"2019","11","2019","11","116.8537176577395"
"2019","0","2019","0","109.1657648660917"
"2018","1","2018","1","107.845006808897"
"2018","0","2018","0","97.35084430322289"
"2018","3","2018","3","99.94221970040856"
"2018","4","2018","4","113.2"
"2018","5","2018","5","111.2356967771221"
"2018","6","2018","6","118.9678166137086"
"2018","7","2018","7","94.40167498865183"
"2018","0","2018","0","96.74923286427601"
"2018","9","2018","9","84.00485701316386"
"2018","10","2018","10","81.57587834770766"
"2018","11","2018","11","82.96666817975488"
"2018","0","2018","0","103.1021743077621"
"2017","1","2017","1","97.58043576940536"
"2017","0","2017","0","99.81287335451657"
"2017","3","2017","3","119.2898819791194"
"2017","4","2017","4","114.6705310939628"
"2017","5","2017","5","116.7257557875624"
"2017","6","2017","6","116.9407489786655"
"2017","7","2017","7","96.6"
"2017","0","2017","0","104.2740490240581"
"2017","9","2017","9","94.49249205628688"
"2017","10","2017","10","87.96717203812982"
"2017","11","2017","11","91.95114843395369"
"2017","0","2017","0","102.985887426237"
