annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","111.5764442255047"
"2024","0","2024","0","111.6806499294831"
"2024","3","2024","3","112.0443675944483"
"2024","4","2024","4","111.7739115605147"
"2024","5","2024","5","111.7739115605147"
"2024","6","2024","6","111.695272826905"
"2024","7","2024","7","112.0361984572838"
"2024","0","2024","0","112.0361984572838"
"2024","9","2024","9","112.0361984572838"
"2024","10","2024","10","111.8131176595242"
"2023","1","2023","1","108.7279312539784"
"2023","0","2023","0","108.8498726925525"
"2023","3","2023","3","109.227975811585"
"2023","4","2023","4","108.9268936982814"
"2023","5","2023","5","108.805900700191"
"2023","6","2023","6","108.9951623169956"
"2023","7","2023","7","108.9283640992998"
"2023","0","2023","0","108.9283640992998"
"2023","9","2023","9","109.057052851785"
"2023","10","2023","10","109.3996462815883"
"2023","11","2023","11","110.7399029233964"
"2023","0","2023","0","111.4782179714684"
"2022","1","2022","1","106.7620942075112"
"2022","0","2022","0","106.8157670273711"
"2022","3","2022","3","106.8157670273711"
"2022","4","2022","4","106.8157670273711"
"2022","5","2022","5","106.8194780394653"
"2022","6","2022","6","106.8700318268619"
"2022","7","2022","7","107.0296053469128"
"2022","0","2022","0","107.51139401655"
"2022","9","2022","9","107.6783895607893"
"2022","10","2022","10","108.326002546149"
"2022","11","2022","11","108.2138446849141"
"2022","0","2022","0","108.2509548058561"
"2021","1","2021","1","100.3002227880331"
"2021","0","2021","0","105.8787332908975"
"2021","3","2021","3","105.865289624443"
"2021","4","2021","4","105.8056333545512"
"2021","5","2021","5","105.852686187142"
"2021","6","2021","6","106.2111839592616"
"2021","7","2021","7","106.2111839592616"
"2021","0","2021","0","106.1543284532145"
"2021","9","2021","9","106.1249204328453"
"2021","10","2021","10","106.0689051559516"
"2021","11","2021","11","105.7125079567155"
"2021","0","2021","0","105.8343411839593"
"2020","1","2020","1","100.5154614894972"
"2020","0","2020","0","100.5154614894972"
"2020","3","2020","3","100.4958625079567"
"2020","4","2020","4","100.4776575429663"
"2020","5","2020","5","100.5595416931891"
"2020","6","2020","6","100.2167281985996"
"2020","7","2020","7","100.6065945257798"
"2020","0","2020","0","100.6711203055379"
"2020","9","2020","9","100.750254614895"
"2020","10","2020","10","100.1709038828772"
"2020","11","2020","11","100.350458306811"
"2020","0","2020","0","100.8979057924889"
"2019","1","2019","1","100.3894844048377"
"2019","0","2019","0","100.4585359643539"
"2019","3","2019","3","100.3499936346276"
"2019","4","2019","4","100.6524761298536"
"2019","5","2019","5","101.2443967687279"
"2019","6","2019","6","100.6524761298536"
"2019","7","2019","7","100.0414194780395"
"2019","0","2019","0","100.4763"
"2019","9","2019","9","100.5346"
"2019","10","2019","10","100.5538"
"2019","11","2019","11","95.40341820496502"
"2019","0","2019","0","100.1699299809039"
"2018","1","2018","1","99.83208784213879"
"2018","0","2018","0","99.83208784213879"
"2018","3","2018","3","99.75417568427756"
"2018","4","2018","4","98.15468491406749"
"2018","5","2018","5","93.3635455124125"
"2018","6","2018","6","94.72085295989817"
"2018","7","2018","7","94.72085295989817"
"2018","0","2018","0","100.1386505410566"
"2018","9","2018","9","100.1386505410566"
"2018","10","2018","10","100.1349395289625"
"2018","11","2018","11","100.1716040738383"
"2018","0","2018","0","100.1827371101209"
"2017","1","2017","1","98.48947803946534"
"2017","0","2017","0","98.43269255251434"
"2017","3","2017","3","92.92721196690007"
"2017","4","2017","4","100.4161935073202"
"2017","5","2017","5","99.63104392106939"
"2017","6","2017","6","99.63104392106939"
"2017","7","2017","7","94.31590706556334"
"2017","0","2017","0","94.31590706556334"
"2017","9","2017","9","94.30826861871421"
"2017","10","2017","10","94.30826861871421"
"2017","11","2017","11","99.83697644812224"
"2017","0","2017","0","99.83880967536604"
