annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","99.93652165242423"
"2024","0","2024","0","100.3452255513448"
"2024","3","2024","3","100.7007015731796"
"2024","4","2024","4","100.7146134232193"
"2024","5","2024","5","100.7864859633823"
"2024","6","2024","6","100.8028244509279"
"2024","7","2024","7","100.5715792040222"
"2024","0","2024","0","100.5715792040222"
"2024","9","2024","9","100.522646888333"
"2024","10","2024","10","100.522646888333"
"2023","1","2023","1","103.1041119360366"
"2023","0","2023","0","102.7426556253569"
"2023","3","2023","3","98.17745859508851"
"2023","4","2023","4","99.02152484294689"
"2023","5","2023","5","99.02430611079384"
"2023","6","2023","6","99.03684751570532"
"2023","7","2023","7","99.03684751570532"
"2023","0","2023","0","99.09790976584809"
"2023","9","2023","9","99.1003666449654"
"2023","10","2023","10","99.1003666449654"
"2023","11","2023","11","99.14063991375608"
"2023","0","2023","0","99.79232995595875"
"2022","1","2022","1","97.63889206167906"
"2022","0","2022","0","97.63210736721875"
"2022","3","2022","3","102.2298686464877"
"2022","4","2022","4","102.2298686464877"
"2022","5","2022","5","104.1697715591091"
"2022","6","2022","6","102.3809366076528"
"2022","7","2022","7","102.3809366076528"
"2022","0","2022","0","102.4837578526557"
"2022","9","2022","9","102.4683209594518"
"2022","10","2022","10","102.3756996002284"
"2022","11","2022","11","102.1853112507139"
"2022","0","2022","0","102.2522044545974"
"2021","1","2021","1","100.30037692747"
"2021","0","2021","0","100.4091147915477"
"2021","3","2021","3","100.8727355796688"
"2021","4","2021","4","100.196527698458"
"2021","5","2021","5","100.9339577384352"
"2021","6","2021","6","100.0397258709309"
"2021","7","2021","7","100.3422501427756"
"2021","0","2021","0","99.66604226156484"
"2021","9","2021","9","99.66604226156484"
"2021","10","2021","10","99.66604226156484"
"2021","11","2021","11","99.13442604226158"
"2021","0","2021","0","99.70044545973731"
"2020","1","2020","1","100.1340034266134"
"2020","0","2020","0","100.1340034266134"
"2020","3","2020","3","99.89157624214735"
"2020","4","2020","4","100.2569160479726"
"2020","5","2020","5","100.7793375214164"
"2020","6","2020","6","100.0737292975443"
"2020","7","2020","7","100.5881267846945"
"2020","0","2020","0","91.45868075385496"
"2020","9","2020","9","100.8120217018847"
"2020","10","2020","10","99.7711422044546"
"2020","11","2020","11","100.0905825242719"
"2020","0","2020","0","101.334351798972"
"2019","1","2019","1","101.3694802969732"
"2019","0","2019","0","100.4482238720731"
"2019","3","2019","3","100.6412564249"
"2019","4","2019","4","100.5908338092519"
"2019","5","2019","5","101.8911370341861"
"2019","6","2019","6","100.5908338092519"
"2019","7","2019","7","100.5455396916048"
"2019","0","2019","0","100.5461"
"2019","9","2019","9","100.5355"
"2019","10","2019","10","100.5113"
"2019","11","2019","11","100.3827070245574"
"2019","0","2019","0","100.5206624785837"
"2018","1","2018","1","100.2763506567676"
"2018","0","2018","0","100.1717589948601"
"2018","3","2018","3","102.4223586521988"
"2018","4","2018","4","100.7691090805254"
"2018","5","2018","5","103.1100856653341"
"2018","6","2018","6","104.4439291833238"
"2018","7","2018","7","104.5738663620788"
"2018","0","2018","0","101.5109937178755"
"2018","9","2018","9","101.5109937178755"
"2018","10","2018","10","101.5109937178755"
"2018","11","2018","11","100.426881781839"
"2018","0","2018","0","100.4731924614506"
"2017","1","2017","1","101.0977155910908"
"2017","0","2017","0","99.41425471159339"
"2017","3","2017","3","101.3931239291833"
"2017","4","2017","4","99.51196459166192"
"2017","5","2017","5","99.8019931467733"
"2017","6","2017","6","99.76761850371217"
"2017","7","2017","7","101.6840548258138"
"2017","0","2017","0","101.620416904626"
"2017","9","2017","9","101.4007081667619"
"2017","10","2017","10","104.0418332381496"
"2017","11","2017","11","101.8387949743004"
"2017","0","2017","0","99.81579097658482"
