annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","101.3364455965303"
"2024","0","2024","0","101.3364455965303"
"2024","3","2024","3","102.6029783776245"
"2024","4","2024","4","102.1095124373957"
"2024","5","2024","5","102.3035443428387"
"2024","6","2024","6","102.3325177219225"
"2024","7","2024","7","102.3324932208821"
"2024","0","2024","0","102.4071152227355"
"2024","9","2024","9","102.5332350555397"
"2024","10","2024","10","102.5099290958211"
"2023","1","2023","1","105.4601615798923"
"2023","0","2023","0","104.5257414721724"
"2023","3","2023","3","104.2859138240574"
"2023","4","2023","4","104.1498456014363"
"2023","5","2023","5","104.1498456014363"
"2023","6","2023","6","104.5814578096948"
"2023","7","2023","7","104.5814578096948"
"2023","0","2023","0","102.7111382405745"
"2023","9","2023","9","102.8209268789957"
"2023","10","2023","10","102.8313316541256"
"2023","11","2023","11","102.1737686500513"
"2023","0","2023","0","101.3364455965303"
"2022","1","2022","1","100.6439174147217"
"2022","0","2022","0","100.6384667863555"
"2022","3","2022","3","100.6384667863555"
"2022","4","2022","4","102.7280179533214"
"2022","5","2022","5","103.4473716337522"
"2022","6","2022","6","104.4804703770197"
"2022","7","2022","7","104.8230197486535"
"2022","0","2022","0","105.2820359066427"
"2022","9","2022","9","105.3231418312388"
"2022","10","2022","10","105.0422513464991"
"2022","11","2022","11","105.3299928186715"
"2022","0","2022","0","105.3299928186715"
"2021","1","2021","1","99.70996768402154"
"2021","0","2021","0","100.8000861759425"
"2021","3","2021","3","100.7691992818671"
"2021","4","2021","4","101.2732423698384"
"2021","5","2021","5","101.5917558348294"
"2021","6","2021","6","101.8143267504488"
"2021","7","2021","7","101.7303123877917"
"2021","0","2021","0","101.7593824057451"
"2021","9","2021","9","101.7593824057451"
"2021","10","2021","10","100.3412280071813"
"2021","11","2021","11","100.5810556552962"
"2021","0","2021","0","100.5810556552962"
"2020","1","2020","1","99.76937163375223"
"2020","0","2020","0","100.5989299820467"
"2020","3","2020","3","100.628"
"2020","4","2020","4","100.628"
"2020","5","2020","5","100.7694721723519"
"2020","6","2020","6","101.0529048473968"
"2020","7","2020","7","100.7104129263914"
"2020","0","2020","0","101.8591238779174"
"2020","9","2020","9","104.0568833034111"
"2020","10","2020","10","105.0993105924596"
"2020","11","2020","11","105.098276481149"
"2020","0","2020","0","99.33628007181329"
"2019","1","2019","1","99.99697666068221"
"2019","0","2019","0","99.57908078994615"
"2019","3","2019","3","100.3284955116697"
"2019","4","2019","4","99.96299461400358"
"2019","5","2019","5","100.701018603804"
"2019","6","2019","6","99.96299461400358"
"2019","7","2019","7","100.0245242369838"
"2019","0","2019","0","100.6085"
"2019","9","2019","9","99.58030000000001"
"2019","10","2019","10","100.1871"
"2019","11","2019","11","99.73261759425495"
"2019","0","2019","0","99.76168761220826"
"2018","1","2018","1","99.32179533213643"
"2018","0","2018","0","99.52732495511668"
"2018","3","2018","3","99.52732495511668"
"2018","4","2018","4","99.53417594254935"
"2018","5","2018","5","98.9838779174147"
"2018","6","2018","6","98.86941472172349"
"2018","7","2018","7","98.86941472172349"
"2018","0","2018","0","99.6815583482944"
"2018","9","2018","9","99.94682226211846"
"2018","10","2018","10","99.94682226211846"
"2018","11","2018","11","99.91775224416514"
"2018","0","2018","0","100.0635475763016"
"2017","1","2017","1","100.521012567325"
"2017","0","2017","0","100.8128222621185"
"2017","3","2017","3","100.2114362657092"
"2017","4","2017","4","99.55138958707363"
"2017","5","2017","5","99.54535727109517"
"2017","6","2017","6","99.51898743267506"
"2017","7","2017","7","98.58378456014363"
"2017","0","2017","0","98.72463913824056"
"2017","9","2017","9","98.34318132854577"
"2017","10","2017","10","98.38428725314182"
"2017","11","2017","11","99.17057809694793"
"2017","0","2017","0","99.17057809694793"
