annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","108.3360746797286"
"2024","0","2024","0","108.3022248638591"
"2024","3","2024","3","112.2290056324672"
"2024","4","2024","4","111.9715534022383"
"2024","5","2024","5","111.1027755465299"
"2024","6","2024","6","111.3415390348036"
"2024","7","2024","7","111.7190336899968"
"2024","0","2024","0","112.0202272997454"
"2024","9","2024","9","112.3890268453142"
"2024","10","2024","10","112.4637947293735"
"2023","1","2023","1","108.0659337157425"
"2023","0","2023","0","108.0434034416826"
"2023","3","2023","3","107.8576418100701"
"2023","4","2023","4","107.8854047163799"
"2023","5","2023","5","107.9994104525175"
"2023","6","2023","6","108.3414276609305"
"2023","7","2023","7","107.5683333333333"
"2023","0","2023","0","107.4788750796686"
"2023","9","2023","9","108.418511941677"
"2023","10","2023","10","108.4575578237957"
"2023","11","2023","11","108.5947190180484"
"2023","0","2023","0","108.7743968664265"
"2022","1","2022","1","107.1659623964308"
"2022","0","2022","0","107.1203601019758"
"2022","3","2022","3","106.7373008285532"
"2022","4","2022","4","104.2930178457616"
"2022","5","2022","5","106.9744327597196"
"2022","6","2022","6","107.0565168897387"
"2022","7","2022","7","107.3848534098152"
"2022","0","2022","0","107.3848534098152"
"2022","9","2022","9","107.1431612492033"
"2022","10","2022","10","107.2070044614404"
"2022","11","2022","11","107.0247291268324"
"2022","0","2022","0","107.5491555130656"
"2021","1","2021","1","104.9830401529637"
"2021","0","2021","0","105.6099298916507"
"2021","3","2021","3","104.9929764181007"
"2021","4","2021","4","105.100943275972"
"2021","5","2021","5","104.9929764181007"
"2021","6","2021","6","104.7451179094965"
"2021","7","2021","7","105.0375015933716"
"2021","0","2021","0","105.0285117909497"
"2021","9","2021","9","105.0285117909497"
"2021","10","2021","10","105.0604333970682"
"2021","11","2021","11","104.9322147864882"
"2021","0","2021","0","106.2729222434672"
"2020","1","2020","1","103.1290694710006"
"2020","0","2020","0","103.3574824729127"
"2020","3","2020","3","103.1770905035054"
"2020","4","2020","4","103.1770905035054"
"2020","5","2020","5","103.8789101338432"
"2020","6","2020","6","103.5951115360102"
"2020","7","2020","7","103.9564340344168"
"2020","0","2020","0","104.1025940089229"
"2020","9","2020","9","104.4970745697897"
"2020","10","2020","10","104.5078776290631"
"2020","11","2020","11","104.4036201402167"
"2020","0","2020","0","106.0775653282345"
"2019","1","2019","1","102.9143403441683"
"2019","0","2019","0","102.7777087316762"
"2019","3","2019","3","103.582017208413"
"2019","4","2019","4","102.9121988527725"
"2019","5","2019","5","103.5118108829588"
"2019","6","2019","6","102.935"
"2019","7","2019","7","102.7810261312938"
"2019","0","2019","0","103.5484"
"2019","9","2019","9","103.7549"
"2019","10","2019","10","103.8132"
"2019","11","2019","11","102.7963161249203"
"2019","0","2019","0","103.1545188017846"
"2018","1","2018","1","100.2128425748885"
"2018","0","2018","0","100.9225430210325"
"2018","3","2018","3","100.0163862332696"
"2018","4","2018","4","101.6156787762906"
"2018","5","2018","5","102.1598757170172"
"2018","6","2018","6","102.2177087316762"
"2018","7","2018","7","101.929333970682"
"2018","0","2018","0","102.1166634799235"
"2018","9","2018","9","102.1166634799235"
"2018","10","2018","10","102.1166634799235"
"2018","11","2018","11","102.4902390057361"
"2018","0","2018","0","107.3688814531549"
"2017","1","2017","1","101.5031994901211"
"2017","0","2017","0","99.71191523263224"
"2017","3","2017","3","100.6141300191205"
"2017","4","2017","4","99.57708094327596"
"2017","5","2017","5","100.5070618228171"
"2017","6","2017","6","100.6621096239643"
"2017","7","2017","7","100.7061631612492"
"2017","0","2017","0","100.6898024219248"
"2017","9","2017","9","100.7171637985978"
"2017","10","2017","10","100.7171637985978"
"2017","11","2017","11","104.0231931166348"
"2017","0","2017","0","100.6923581899299"
