annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","100.4054646670708"
"2024","0","2024","0","100.4054646670708"
"2024","3","2024","3","100.4054646670708"
"2024","4","2024","4","100.4054646670708"
"2024","5","2024","5","100.4054646670708"
"2024","6","2024","6","100.4054646670708"
"2024","7","2024","7","100.4054646670708"
"2024","0","2024","0","100.4054646670708"
"2024","9","2024","9","100.4054646670708"
"2024","10","2024","10","100.4054646670708"
"2023","1","2023","1","100.4058683729433"
"2023","0","2023","0","100.4058683729433"
"2023","3","2023","3","100.4058683729433"
"2023","4","2023","4","100.4058683729433"
"2023","5","2023","5","100.4058683729433"
"2023","6","2023","6","100.4058683729433"
"2023","7","2023","7","100.4058683729433"
"2023","0","2023","0","100.4058683729433"
"2023","9","2023","9","100.4060378044134"
"2023","10","2023","10","100.4054646670708"
"2023","11","2023","11","100.4054646670708"
"2023","0","2023","0","100.4054646670708"
"2022","1","2022","1","100.2502449725777"
"2022","0","2022","0","100.2502449725777"
"2022","3","2022","3","100.2502449725777"
"2022","4","2022","4","100.2502449725777"
"2022","5","2022","5","100.2502449725777"
"2022","6","2022","6","100.2502449725777"
"2022","7","2022","7","100.2502449725777"
"2022","0","2022","0","100.2502449725777"
"2022","9","2022","9","100.4075978062157"
"2022","10","2022","10","100.4075978062157"
"2022","11","2022","11","100.4058683729433"
"2022","0","2022","0","100.4058683729433"
"2021","1","2021","1","100.2502449725777"
"2021","0","2021","0","100.2502449725777"
"2021","3","2021","3","100.2502449725777"
"2021","4","2021","4","100.2485155393053"
"2021","5","2021","5","100.2485155393053"
"2021","6","2021","6","100.2502449725777"
"2021","7","2021","7","100.2502449725777"
"2021","0","2021","0","100.2502449725777"
"2021","9","2021","9","100.2502449725777"
"2021","10","2021","10","100.2502449725777"
"2021","11","2021","11","100.2502449725777"
"2021","0","2021","0","100.2502449725777"
"2020","1","2020","1","100.2861352833638"
"2020","0","2020","0","100.4055063985375"
"2020","3","2020","3","100.4055063985375"
"2020","4","2020","4","100.3675246800731"
"2020","5","2020","5","100.3675246800731"
"2020","6","2020","6","99.9288117001828"
"2020","7","2020","7","100.2502449725777"
"2020","0","2020","0","100.2502449725777"
"2020","9","2020","9","100.2502449725777"
"2020","10","2020","10","100.2502449725777"
"2020","11","2020","11","100.2502449725777"
"2020","0","2020","0","100.5781937842779"
"2019","1","2019","1","100.1016526508227"
"2019","0","2019","0","100.1016526508227"
"2019","3","2019","3","104.8057111517367"
"2019","4","2019","4","100.1070786106033"
"2019","5","2019","5","100.7786686590891"
"2019","6","2019","6","100.1179305301645"
"2019","7","2019","7","100.4434881170018"
"2019","0","2019","0","94.28469999999999"
"2019","9","2019","9","94.3271"
"2019","10","2019","10","94.3271"
"2019","11","2019","11","100.2861352833638"
"2019","0","2019","0","100.2861352833638"
"2018","1","2018","1","99.76397074954296"
"2018","0","2018","0","99.76397074954296"
"2018","3","2018","3","99.76397074954296"
"2018","4","2018","4","99.76397074954296"
"2018","5","2018","5","98.98210603290677"
"2018","6","2018","6","98.98210603290677"
"2018","7","2018","7","98.98210603290677"
"2018","0","2018","0","99.76397074954296"
"2018","9","2018","9","99.95726508226691"
"2018","10","2018","10","99.95726508226691"
"2018","11","2018","11","99.9888848263254"
"2018","0","2018","0","99.79559049360145"
"2017","1","2017","1","99.85950274223035"
"2017","0","2017","0","104.5635612431444"
"2017","3","2017","3","103.7816965265082"
"2017","4","2017","4","99.85950274223035"
"2017","5","2017","5","99.85950274223035"
"2017","6","2017","6","99.85950274223035"
"2017","7","2017","7","98.98210603290677"
"2017","0","2017","0","98.98210603290677"
"2017","9","2017","9","98.98210603290677"
"2017","10","2017","10","98.98210603290677"
"2017","11","2017","11","99.76397074954296"
"2017","0","2017","0","99.76397074954296"
