annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","102.8118143440394"
"2024","0","2024","0","102.7804447655959"
"2024","3","2024","3","102.7146833966399"
"2024","4","2024","4","102.7632672984621"
"2024","5","2024","5","102.7670396002555"
"2024","6","2024","6","102.6540113259562"
"2024","7","2024","7","102.6131131797047"
"2024","0","2024","0","102.2129439166198"
"2024","9","2024","9","102.1750753536864"
"2024","10","2024","10","102.1750753536864"
"2023","1","2023","1","102.119373742792"
"2023","0","2023","0","102.1610607482902"
"2023","3","2023","3","99.80017030977606"
"2023","4","2023","4","102.6605538420277"
"2023","5","2023","5","102.6605538420277"
"2023","6","2023","6","102.6646761432212"
"2023","7","2023","7","102.7429998658978"
"2023","0","2023","0","102.7429998658978"
"2023","9","2023","9","102.7438121154029"
"2023","10","2023","10","102.7438121154029"
"2023","11","2023","11","102.7438121154029"
"2023","0","2023","0","102.7438121154029"
"2022","1","2022","1","103.6936636717179"
"2022","0","2022","0","103.8255773099102"
"2022","3","2022","3","102.6512605605471"
"2022","4","2022","4","102.2555196459703"
"2022","5","2022","5","102.3791886817755"
"2022","6","2022","6","102.5317138259354"
"2022","7","2022","7","102.2884980555183"
"2022","0","2022","0","101.2455558535604"
"2022","9","2022","9","101.2455558535604"
"2022","10","2022","10","101.3444910822047"
"2022","11","2022","11","101.7177645165616"
"2022","0","2022","0","102.10108220464"
"2021","1","2021","1","104.7609856510661"
"2021","0","2021","0","106.1056336328282"
"2021","3","2021","3","104.6240190425104"
"2021","4","2021","4","106.0235630950785"
"2021","5","2021","5","104.8364369049216"
"2021","6","2021","6","103.6038688480622"
"2021","7","2021","7","103.1742751776854"
"2021","0","2021","0","104.6632063832641"
"2021","9","2021","9","104.6632063832641"
"2021","10","2021","10","104.6632063832641"
"2021","11","2021","11","104.6632063832641"
"2021","0","2021","0","104.0448612042376"
"2020","1","2020","1","103.6016829824326"
"2020","0","2020","0","104.5821979348264"
"2020","3","2020","3","104.4828335791874"
"2020","4","2020","4","102.9641531446963"
"2020","5","2020","5","104.3397036341693"
"2020","6","2020","6","102.6856845916589"
"2020","7","2020","7","102.9017393053507"
"2020","0","2020","0","103.8099919538689"
"2020","9","2020","9","97.25222073219794"
"2020","10","2020","10","105.0800120691968"
"2020","11","2020","11","107.3118720665147"
"2020","0","2020","0","106.8158776988065"
"2019","1","2019","1","99.68270215904519"
"2019","0","2019","0","101.1464838406866"
"2019","3","2019","3","97.83254391846589"
"2019","4","2019","4","101.0809373742792"
"2019","5","2019","5","101.8305663400922"
"2019","6","2019","6","101.1292141611908"
"2019","7","2019","7","102.658386750704"
"2019","0","2019","0","94.7134"
"2019","9","2019","9","94.6043"
"2019","10","2019","10","93.7932"
"2019","11","2019","11","102.9795373474588"
"2019","0","2019","0","104.8628603996245"
"2018","1","2018","1","98.39094407938852"
"2018","0","2018","0","98.39094407938852"
"2018","3","2018","3","98.31370122032992"
"2018","4","2018","4","98.30983907737698"
"2018","5","2018","5","101.7830615529033"
"2018","6","2018","6","102.726945152206"
"2018","7","2018","7","102.7172897948237"
"2018","0","2018","0","99.28785704706988"
"2018","9","2018","9","99.75586294756606"
"2018","10","2018","10","99.78000134102186"
"2018","11","2018","11","99.90302132224755"
"2018","0","2018","0","99.67857985785169"
"2017","1","2017","1","101.7819243663672"
"2017","0","2017","0","98.4228456483841"
"2017","3","2017","3","101.8909212820169"
"2017","4","2017","4","100.2070819364356"
"2017","5","2017","5","100.2495655089178"
"2017","6","2017","6","99.90329220866302"
"2017","7","2017","7","104.3201582405793"
"2017","0","2017","0","104.3242805417729"
"2017","9","2017","9","104.3077913369988"
"2017","10","2017","10","103.0834678825265"
"2017","11","2017","11","99.29188681775514"
"2017","0","2017","0","99.29188681775514"
