annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","97.63998168788537"
"2024","0","2024","0","97.63998168788537"
"2024","3","2024","3","98.51840322852179"
"2024","4","2024","4","98.12146653304633"
"2024","5","2024","5","98.49862657631681"
"2024","6","2024","6","98.62041305583429"
"2024","7","2024","7","98.48809265898927"
"2024","0","2024","0","99.18468834152164"
"2024","9","2024","9","99.18468834152164"
"2024","10","2024","10","99.18468834152164"
"2023","1","2023","1","98.92324988190836"
"2023","0","2023","0","98.89417099669343"
"2023","3","2023","3","98.89417099669343"
"2023","4","2023","4","98.70890883325461"
"2023","5","2023","5","98.8140576287199"
"2023","6","2023","6","98.70890883325461"
"2023","7","2023","7","98.34839867737364"
"2023","0","2023","0","97.7775909305621"
"2023","9","2023","9","96.25393699011713"
"2023","10","2023","10","96.25393699011713"
"2023","11","2023","11","96.63762245529595"
"2023","0","2023","0","97.49456409243513"
"2022","1","2022","1","99.01190363722249"
"2022","0","2022","0","98.58260746339161"
"2022","3","2022","3","98.48978743504959"
"2022","4","2022","4","98.48978743504959"
"2022","5","2022","5","97.93900803023146"
"2022","6","2022","6","98.48978743504959"
"2022","7","2022","7","98.43971658006613"
"2022","0","2022","0","98.51350968351441"
"2022","9","2022","9","99.0662635805385"
"2022","10","2022","10","98.51350968351441"
"2022","11","2022","11","97.96273027869628"
"2022","0","2022","0","98.4984884270194"
"2021","1","2021","1","98.44408124704773"
"2021","0","2021","0","99.16284837033538"
"2021","3","2021","3","96.92684459140294"
"2021","4","2021","4","97.08303731695797"
"2021","5","2021","5","96.99886159659899"
"2021","6","2021","6","96.13991497401985"
"2021","7","2021","7","97.88738781294285"
"2021","0","2021","0","98.60746339159189"
"2021","9","2021","9","98.8304676428909"
"2021","10","2021","10","98.93060935285783"
"2021","11","2021","11","99.76020784128485"
"2021","0","2021","0","99.76020784128485"
"2020","1","2020","1","96.77538497874349"
"2020","0","2020","0","96.35415210203118"
"2020","3","2020","3","96.31078885214927"
"2020","4","2020","4","96.54648086915446"
"2020","5","2020","5","96.30381672177609"
"2020","6","2020","6","96.74944733112893"
"2020","7","2020","7","96.47454888993857"
"2020","0","2020","0","97.58612187057156"
"2020","9","2020","9","98.14691544638639"
"2020","10","2020","10","97.70817666509211"
"2020","11","2020","11","96.74412376003778"
"2020","0","2020","0","97.94161076995749"
"2019","1","2019","1","96.96899385923477"
"2019","0","2019","0","96.78898441190366"
"2019","3","2019","3","96.8324752007558"
"2019","4","2019","4","96.25180916391119"
"2019","5","2019","5","97.44359590067982"
"2019","6","2019","6","96.23678790741614"
"2019","7","2019","7","96.5699196976854"
"2019","0","2019","0","96.7054"
"2019","9","2019","9","96.7054"
"2019","10","2019","10","96.3714"
"2019","11","2019","11","96.81051487954653"
"2019","0","2019","0","96.74878601794995"
"2018","1","2018","1","97.38369863013698"
"2018","0","2018","0","96.85933396315542"
"2018","3","2018","3","97.83832309872462"
"2018","4","2018","4","97.49153046764289"
"2018","5","2018","5","96.9372461029759"
"2018","6","2018","6","97.3652810581011"
"2018","7","2018","7","95.65351913084554"
"2018","0","2018","0","96.07031648559283"
"2018","9","2018","9","97.84182333490789"
"2018","10","2018","10","98.09718469532356"
"2018","11","2018","11","98.2135002361833"
"2018","0","2018","0","97.24912612187057"
"2017","1","2017","1","96.87121870571562"
"2017","0","2017","0","95.48231931979215"
"2017","3","2017","3","94.83697213037317"
"2017","4","2017","4","96.65235238545111"
"2017","5","2017","5","96.18805384978744"
"2017","6","2017","6","96.73127538970242"
"2017","7","2017","7","96.84329239489844"
"2017","0","2017","0","95.98737364194615"
"2017","9","2017","9","96.10951818611242"
"2017","10","2017","10","95.83964572508268"
"2017","11","2017","11","98.23536608408125"
"2017","0","2017","0","96.33797354747284"
