annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","118.7002996337311"
"2024","0","2024","0","118.8403664581253"
"2024","3","2024","3","118.7474390776481"
"2024","4","2024","4","117.6777321915202"
"2024","5","2024","5","117.6155420155048"
"2024","6","2024","6","117.5087155349767"
"2024","7","2024","7","117.7950075420547"
"2024","0","2024","0","117.8105330019784"
"2024","9","2024","9","117.5532379354928"
"2024","10","2024","10","117.146077424527"
"2023","1","2023","1","114.7820107238606"
"2023","0","2023","0","115.0397050938338"
"2023","3","2023","3","115.2708579088472"
"2023","4","2023","4","115.0195978552279"
"2023","5","2023","5","114.8783378016086"
"2023","6","2023","6","114.3927077747989"
"2023","7","2023","7","115.1383378016086"
"2023","0","2023","0","116.1272922252011"
"2023","9","2023","9","117.1982927552492"
"2023","10","2023","10","117.1982927552492"
"2023","11","2023","11","118.1401070576887"
"2023","0","2023","0","118.2070404211251"
"2022","1","2022","1","104.6389008042895"
"2022","0","2022","0","104.3291420911528"
"2022","3","2022","3","108.8703753351206"
"2022","4","2022","4","105.5681769436997"
"2022","5","2022","5","105.5681769436997"
"2022","6","2022","6","105.7760589812332"
"2022","7","2022","7","106.8049597855228"
"2022","0","2022","0","108.0281769436997"
"2022","9","2022","9","109.7716890080429"
"2022","10","2022","10","110.4183914209115"
"2022","11","2022","11","111.0474798927614"
"2022","0","2022","0","114.2002949061662"
"2021","1","2021","1","103.6169705093834"
"2021","0","2021","0","104.3548793565684"
"2021","3","2021","3","104.4940750670241"
"2021","4","2021","4","104.4431367292225"
"2021","5","2021","5","104.4785254691689"
"2021","6","2021","6","104.497399463807"
"2021","7","2021","7","104.412144772118"
"2021","0","2021","0","104.6864075067024"
"2021","9","2021","9","104.6864075067024"
"2021","10","2021","10","105.1411528150134"
"2021","11","2021","11","105.1411528150134"
"2021","0","2021","0","105.1411528150134"
"2020","1","2020","1","101.743163538874"
"2020","0","2020","0","101.601018766756"
"2020","3","2020","3","102.3025737265416"
"2020","4","2020","4","102.3025737265416"
"2020","5","2020","5","102.08418230563"
"2020","6","2020","6","101.6365147453083"
"2020","7","2020","7","101.610563002681"
"2020","0","2020","0","102.1834316353887"
"2020","9","2020","9","102.3928150134048"
"2020","10","2020","10","102.190509383378"
"2020","11","2020","11","103.6508847184987"
"2020","0","2020","0","103.9605361930295"
"2019","1","2019","1","100.4369436997319"
"2019","0","2019","0","99.96380697050938"
"2019","3","2019","3","101.0245844504021"
"2019","4","2019","4","100.4026273458445"
"2019","5","2019","5","101.0816789317584"
"2019","6","2019","6","100.4026273458445"
"2019","7","2019","7","101.9538337801609"
"2019","0","2019","0","100.1324"
"2019","9","2019","9","100.1324"
"2019","10","2019","10","100.1118"
"2019","11","2019","11","102.018471849866"
"2019","0","2019","0","101.9739410187668"
"2018","1","2018","1","98.8458981233244"
"2018","0","2018","0","98.90477211796247"
"2018","3","2018","3","99.11930294906166"
"2018","4","2018","4","99.90176943699731"
"2018","5","2018","5","101.5198927613941"
"2018","6","2018","6","100.4487399463807"
"2018","7","2018","7","100.3744235924933"
"2018","0","2018","0","100.186273458445"
"2018","9","2018","9","100.4487399463807"
"2018","10","2018","10","100.4487399463807"
"2018","11","2018","11","100.0841286863271"
"2018","0","2018","0","99.63394101876676"
"2017","1","2017","1","98.1986595174263"
"2017","0","2017","0","98.8481233243968"
"2017","3","2017","3","98.9619034852547"
"2017","4","2017","4","99.12"
"2017","5","2017","5","98.92890080428954"
"2017","6","2017","6","98.92890080428954"
"2017","7","2017","7","98.12008042895445"
"2017","0","2017","0","98.33970509383377"
"2017","9","2017","9","98.01694369973191"
"2017","10","2017","10","98.01308310991956"
"2017","11","2017","11","97.76150134048257"
"2017","0","2017","0","97.81554959785524"
