annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","108.3646592383243"
"2024","0","2024","0","108.5121427979014"
"2024","3","2024","3","109.2861460495975"
"2024","4","2024","4","108.5809339949686"
"2024","5","2024","5","108.8957901942172"
"2024","6","2024","6","109.6443291462646"
"2024","7","2024","7","109.6443922520624"
"2024","0","2024","0","109.5628605444559"
"2024","9","2024","9","110.0962409886202"
"2024","10","2024","10","110.0728377528569"
"2023","1","2023","1","105.1516805390408"
"2023","0","2023","0","105.1850852160127"
"2023","3","2023","3","105.2663535473642"
"2023","4","2023","4","105.4667578279825"
"2023","5","2023","5","106.2889060642093"
"2023","6","2023","6","106.1565636147443"
"2023","7","2023","7","105.9444114149821"
"2023","0","2023","0","105.9165081252477"
"2023","9","2023","9","106.1562122922538"
"2023","10","2023","10","106.4918900594508"
"2023","11","2023","11","106.5622910402425"
"2023","0","2023","0","108.0490947856438"
"2022","1","2022","1","103.3268212445501"
"2022","0","2022","0","103.3196789536266"
"2022","3","2022","3","103.3829805786762"
"2022","4","2022","4","103.2960126833135"
"2022","5","2022","5","103.3334482758621"
"2022","6","2022","6","104.0389496630995"
"2022","7","2022","7","104.36263575109"
"2022","0","2022","0","104.6838089575902"
"2022","9","2022","9","104.7483036068173"
"2022","10","2022","10","104.6119342053111"
"2022","11","2022","11","104.8122750693619"
"2022","0","2022","0","105.2203329369798"
"2021","1","2021","1","104.2446214823623"
"2021","0","2021","0","102.9288743559255"
"2021","3","2021","3","102.2648156956005"
"2021","4","2021","4","102.1257352358303"
"2021","5","2021","5","102.80548156956"
"2021","6","2021","6","102.5643717796274"
"2021","7","2021","7","102.5483273880301"
"2021","0","2021","0","102.3717082837891"
"2021","9","2021","9","102.6784264764169"
"2021","10","2021","10","102.5260285374554"
"2021","11","2021","11","102.5411850971066"
"2021","0","2021","0","103.6595679746333"
"2020","1","2020","1","102.5657193816885"
"2020","0","2020","0","102.6302298850575"
"2020","3","2020","3","102.9249583828775"
"2020","4","2020","4","102.8163892191835"
"2020","5","2020","5","102.7366151407055"
"2020","6","2020","6","104.0633848592945"
"2020","7","2020","7","102.8557550535077"
"2020","0","2020","0","103.178803012287"
"2020","9","2020","9","103.5945778834721"
"2020","10","2020","10","102.7907847800238"
"2020","11","2020","11","102.6699128022196"
"2020","0","2020","0","104.0173563218391"
"2019","1","2019","1","104.5342608006342"
"2019","0","2019","0","104.280594530321"
"2019","3","2019","3","104.5534601664685"
"2019","4","2019","4","103.0214030915577"
"2019","5","2019","5","104.8365712775796"
"2019","6","2019","6","103.0214030915577"
"2019","7","2019","7","102.3415457788347"
"2019","0","2019","0","103.9286"
"2019","9","2019","9","103.759"
"2019","10","2019","10","103.9591"
"2019","11","2019","11","102.6764050733254"
"2019","0","2019","0","103.170150614348"
"2018","1","2018","1","103.7928339278636"
"2018","0","2018","0","103.5501347602061"
"2018","3","2018","3","102.8410503369005"
"2018","4","2018","4","102.9980776852953"
"2018","5","2018","5","101.9038604835513"
"2018","6","2018","6","102.2499564011098"
"2018","7","2018","7","102.2749266745937"
"2018","0","2018","0","103.0702734839477"
"2018","9","2018","9","103.0702734839477"
"2018","10","2018","10","102.9492746730083"
"2018","11","2018","11","102.9344431232659"
"2018","0","2018","0","103.669924692826"
"2017","1","2017","1","101.2772057074911"
"2017","0","2017","0","102.2491954022988"
"2017","3","2017","3","101.1368529528339"
"2017","4","2017","4","101.3556163297661"
"2017","5","2017","5","102.0015616329766"
"2017","6","2017","6","103.9092905271502"
"2017","7","2017","7","102.4582322631788"
"2017","0","2017","0","104.2777923107412"
"2017","9","2017","9","104.2763059849385"
"2017","10","2017","10","104.6136187078874"
"2017","11","2017","11","105.3251525961157"
"2017","0","2017","0","105.6730241775664"
