annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","143.6778821006505"
"2024","0","2024","0","143.3170791514616"
"2024","3","2024","3","151.4162650276084"
"2024","4","2024","4","161.2689350045722"
"2024","5","2024","5","159.004182591588"
"2024","6","2024","6","148.6280267868567"
"2024","7","2024","7","166.7560765620114"
"2024","0","2024","0","181.3915717878378"
"2024","9","2024","9","169.1108458457943"
"2024","10","2024","10","159.9324246901948"
"2023","1","2023","1","148.434625748503"
"2023","0","2023","0","152.6956474550898"
"2023","3","2023","3","150.7604902694611"
"2023","4","2023","4","139.7158645209581"
"2023","5","2023","5","128.3711377245509"
"2023","6","2023","6","141.3570995508982"
"2023","7","2023","7","136.2506511976048"
"2023","0","2023","0","147.6321594311377"
"2023","9","2023","9","151.3260626016614"
"2023","10","2023","10","147.1177285302893"
"2023","11","2023","11","147.8111063024236"
"2023","0","2023","0","154.4616221712375"
"2022","1","2022","1","129.1386452095809"
"2022","0","2022","0","132.2355950598802"
"2022","3","2022","3","135.1176646706587"
"2022","4","2022","4","125.0670995508982"
"2022","5","2022","5","122.1049775449102"
"2022","6","2022","6","125.5143076347306"
"2022","7","2022","7","148.2938697604791"
"2022","0","2022","0","151.2182784431138"
"2022","9","2022","9","145.3928443113772"
"2022","10","2022","10","145.1577320359281"
"2022","11","2022","11","151.729745508982"
"2022","0","2022","0","144.5275711077844"
"2021","1","2021","1","129.7001047904191"
"2021","0","2021","0","135.1044161676647"
"2021","3","2021","3","136.229251497006"
"2021","4","2021","4","130.065755988024"
"2021","5","2021","5","115.064872754491"
"2021","6","2021","6","112.8855576347305"
"2021","7","2021","7","116.2175636227545"
"2021","0","2021","0","124.2644610778443"
"2021","9","2021","9","129.9873989520958"
"2021","10","2021","10","130.1914595808383"
"2021","11","2021","11","123.0626983532934"
"2021","0","2021","0","130.6282073353293"
"2020","1","2020","1","110.0787275449102"
"2020","0","2020","0","102.9219199101796"
"2020","3","2020","3","113.7493413173653"
"2020","4","2020","4","124.6107447604791"
"2020","5","2020","5","114.7154191616766"
"2020","6","2020","6","121.4045284431138"
"2020","7","2020","7","130.9269872754491"
"2020","0","2020","0","126.8350411676647"
"2020","9","2020","9","123.1402020958084"
"2020","10","2020","10","130.8345134730539"
"2020","11","2020","11","127.3420396706587"
"2020","0","2020","0","116.2834019461078"
"2019","1","2019","1","101.6811489520958"
"2019","0","2019","0","95.53805389221556"
"2019","3","2019","3","108.0454827844311"
"2019","4","2019","4","99.37414670658683"
"2019","5","2019","5","108.5524162761434"
"2019","6","2019","6","113.7005239520958"
"2019","7","2019","7","126.3476796407186"
"2019","0","2019","0","113.9229"
"2019","9","2019","9","114.4018"
"2019","10","2019","10","105.8896"
"2019","11","2019","11","104.1575523952096"
"2019","0","2019","0","104.4461976047904"
"2018","1","2018","1","95.76161676646707"
"2018","0","2018","0","97.88138473053894"
"2018","3","2018","3","99.97473428143712"
"2018","4","2018","4","97.27463697604792"
"2018","5","2018","5","92.11872754491017"
"2018","6","2018","6","104.7462724550898"
"2018","7","2018","7","111.3094835329341"
"2018","0","2018","0","105.6458607784431"
"2018","9","2018","9","108.5604902694611"
"2018","10","2018","10","100.4028517964072"
"2018","11","2018","11","104.9484356287425"
"2018","0","2018","0","98.58035179640717"
"2017","1","2017","1","103.9928592814371"
"2017","0","2017","0","100.3890868263473"
"2017","3","2017","3","111.5971856287425"
"2017","4","2017","4","100.9331175149701"
"2017","5","2017","5","102.540250748503"
"2017","6","2017","6","101.8637088323353"
"2017","7","2017","7","108.2792402694611"
"2017","0","2017","0","99.23874625748505"
"2017","9","2017","9","103.3196631736527"
"2017","10","2017","10","99.34131736526948"
"2017","11","2017","11","93.43970808383234"
"2017","0","2017","0","97.90033308383234"
