annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","146.2061840995388"
"2024","0","2024","0","144.9394407636359"
"2024","3","2024","3","157.6021243179216"
"2024","4","2024","4","160.7367161707642"
"2024","5","2024","5","167.2868555223638"
"2024","6","2024","6","156.2919813772339"
"2024","7","2024","7","145.3115465741164"
"2024","0","2024","0","153.8958545830934"
"2024","9","2024","9","156.6401043369189"
"2024","10","2024","10","159.4952829403384"
"2023","1","2023","1","149.6509048698844"
"2023","0","2023","0","139.6778684807256"
"2023","3","2023","3","127.6200982615268"
"2023","4","2023","4","131.2481654249001"
"2023","5","2023","5","134.7494525429219"
"2023","6","2023","6","141.3986027426843"
"2023","7","2023","7","150.0714382896015"
"2023","0","2023","0","158.3462520246194"
"2023","9","2023","9","167.2661933807785"
"2023","10","2023","10","167.5442767637535"
"2023","11","2023","11","177.8291635605464"
"2023","0","2023","0","179.4881891990602"
"2022","1","2022","1","127.7612730806608"
"2022","0","2022","0","122.7743559010906"
"2022","3","2022","3","114.0786027426844"
"2022","4","2022","4","124.5302461937156"
"2022","5","2022","5","116.871768707483"
"2022","6","2022","6","123.1071957671958"
"2022","7","2022","7","127.7918118993629"
"2022","0","2022","0","129.818232372314"
"2022","9","2022","9","131.0690972897095"
"2022","10","2022","10","147.2051992225461"
"2022","11","2022","11","152.4377183889428"
"2022","0","2022","0","145.5690519382356"
"2021","1","2021","1","110.6091188856495"
"2021","0","2021","0","112.7584872044056"
"2021","3","2021","3","107.0258060684591"
"2021","4","2021","4","105.9612244897959"
"2021","5","2021","5","118.7451884245762"
"2021","6","2021","6","111.5804815894612"
"2021","7","2021","7","123.3775996112731"
"2021","0","2021","0","119.605265090163"
"2021","9","2021","9","112.2647457078069"
"2021","10","2021","10","121.1044131303315"
"2021","11","2021","11","130.5758190260231"
"2021","0","2021","0","132.2295378468848"
"2020","1","2020","1","119.7452391750351"
"2020","0","2020","0","108.117651441529"
"2020","3","2020","3","109.4540459993521"
"2020","4","2020","4","118.9709318648094"
"2020","5","2020","5","112.932958643775"
"2020","6","2020","6","125.7412666018788"
"2020","7","2020","7","115.6602353957456"
"2020","0","2020","0","119.0766871828096"
"2020","9","2020","9","117.2066429111327"
"2020","10","2020","10","120.2186902062412"
"2020","11","2020","11","129.2638667530504"
"2020","0","2020","0","137.5146118129792"
"2019","1","2019","1","106.2502127200086"
"2019","0","2019","0","109.0918507720548"
"2019","3","2019","3","102.8782701652089"
"2019","4","2019","4","107.6754173415398"
"2019","5","2019","5","104.6997529028021"
"2019","6","2019","6","123.9230158730159"
"2019","7","2019","7","110.6227664399093"
"2019","0","2019","0","118.3493"
"2019","9","2019","9","110.0503"
"2019","10","2019","10","116.4517"
"2019","11","2019","11","119.3647683835439"
"2019","0","2019","0","116.3347305906489"
"2018","1","2018","1","105.2220872475974"
"2018","0","2018","0","97.37813195119315"
"2018","3","2018","3","104.08058632977"
"2018","4","2018","4","105.7959075693769"
"2018","5","2018","5","116.3186707698952"
"2018","6","2018","6","110.581722276212"
"2018","7","2018","7","102.3387614728431"
"2018","0","2018","0","98.14236907461395"
"2018","9","2018","9","103.0461731994385"
"2018","10","2018","10","105.1424349422308"
"2018","11","2018","11","114.8059928733398"
"2018","0","2018","0","107.1198315516683"
"2017","1","2017","1","107.0656009070295"
"2017","0","2017","0","99.05584494115107"
"2017","3","2017","3","101.7055674333225"
"2017","4","2017","4","103.4946031746032"
"2017","5","2017","5","104.7728560630601"
"2017","6","2017","6","102.884132383112"
"2017","7","2017","7","104.4742209264658"
"2017","0","2017","0","100.5164938991469"
"2017","9","2017","9","104.3876924738149"
"2017","10","2017","10","103.3229014145341"
"2017","11","2017","11","109.3445956160242"
"2017","0","2017","0","107.0673793326855"
