annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","155.9048991279741"
"2024","0","2024","0","159.803688394635"
"2024","3","2024","3","155.7709631240909"
"2024","4","2024","4","168.519852866209"
"2024","5","2024","5","174.2615227921845"
"2024","6","2024","6","192.2946138541575"
"2024","7","2024","7","183.7449596221572"
"2024","0","2024","0","175.5963871367746"
"2024","9","2024","9","163.6063218094273"
"2024","10","2024","10","165.3315035164885"
"2023","1","2023","1","153.812510136728"
"2023","0","2023","0","157.1242942008487"
"2023","3","2023","3","147.9066789250354"
"2023","4","2023","4","148.1546921263555"
"2023","5","2023","5","142.4497152286657"
"2023","6","2023","6","158.1749806694955"
"2023","7","2023","7","160.7010777934937"
"2023","0","2023","0","162.6405591702027"
"2023","9","2023","9","160.8894192481134"
"2023","10","2023","10","159.9743251033906"
"2023","11","2023","11","156.5796392090977"
"2023","0","2023","0","148.7953114689431"
"2022","1","2022","1","167.4556265912306"
"2022","0","2022","0","162.8036775106082"
"2022","3","2022","3","166.095020273456"
"2022","4","2022","4","180.2715841584159"
"2022","5","2022","5","180.0935454974069"
"2022","6","2022","6","194.8441970768506"
"2022","7","2022","7","173.6890627062706"
"2022","0","2022","0","185.6681565299387"
"2022","9","2022","9","183.4609410655352"
"2022","10","2022","10","162.2254785478548"
"2022","11","2022","11","160.1684016973126"
"2022","0","2022","0","160.4998142385667"
"2021","1","2021","1","138.2306364922207"
"2021","0","2021","0","144.7477322017916"
"2021","3","2021","3","140.1287270155587"
"2021","4","2021","4","137.2760480905233"
"2021","5","2021","5","154.8426025459689"
"2021","6","2021","6","147.2507779349364"
"2021","7","2021","7","156.532357378595"
"2021","0","2021","0","143.4201772748704"
"2021","9","2021","9","151.8693371051391"
"2021","10","2021","10","153.4431937765205"
"2021","11","2021","11","148.700934464875"
"2021","0","2021","0","166.0412258368694"
"2020","1","2020","1","124.4218764733616"
"2020","0","2020","0","123.6288354549741"
"2020","3","2020","3","121.1294908062235"
"2020","4","2020","4","119.8341923620933"
"2020","5","2020","5","122.3731390853371"
"2020","6","2020","6","133.8008778877888"
"2020","7","2020","7","133.0313899104196"
"2020","0","2020","0","126.8417020273456"
"2020","9","2020","9","123.1569174917492"
"2020","10","2020","10","140.5872956152758"
"2020","11","2020","11","137.4056680810938"
"2020","0","2020","0","149.8425374823197"
"2019","1","2019","1","108.5381235266384"
"2019","0","2019","0","103.5336228194248"
"2019","3","2019","3","111.3999198491278"
"2019","4","2019","4","110.0137925506836"
"2019","5","2019","5","113.1858526472109"
"2019","6","2019","6","122.1545280528053"
"2019","7","2019","7","119.8097793493635"
"2019","0","2019","0","116.6784"
"2019","9","2019","9","117.1191"
"2019","10","2019","10","121.7714"
"2019","11","2019","11","120.0494851485149"
"2019","0","2019","0","122.7448363979255"
"2018","1","2018","1","112.1210174446016"
"2018","0","2018","0","120.8553616218765"
"2018","3","2018","3","112.8956944837341"
"2018","4","2018","4","110.0"
"2018","5","2018","5","103.734889203206"
"2018","6","2018","6","108.0431098538425"
"2018","7","2018","7","105.3550523338048"
"2018","0","2018","0","103.9290089580387"
"2018","9","2018","9","103.5132032060349"
"2018","10","2018","10","110.750874115983"
"2018","11","2018","11","114.5085657708628"
"2018","0","2018","0","104.9252739273928"
"2017","1","2017","1","103.2310711928336"
"2017","0","2017","0","118.4479151343706"
"2017","3","2017","3","114.835687883074"
"2017","4","2017","4","115.402314002829"
"2017","5","2017","5","112.7730070721358"
"2017","6","2017","6","113.285571900047"
"2017","7","2017","7","115.9015341819896"
"2017","0","2017","0","103.947414427157"
"2017","9","2017","9","119.2893663366337"
"2017","10","2017","10","118.1761206977841"
"2017","11","2017","11","116.9338038661009"
"2017","0","2017","0","112.4933663366337"
