annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","243.626653526733"
"2024","0","2024","0","242.1632067050803"
"2024","3","2024","3","241.5256444340433"
"2024","4","2024","4","222.4879175969975"
"2024","5","2024","5","233.1499995671061"
"2024","6","2024","6","231.2052874822237"
"2024","7","2024","7","250.0090944572208"
"2024","0","2024","0","252.6600291954923"
"2024","9","2024","9","233.4034221994329"
"2024","10","2024","10","250.1203731734765"
"2023","1","2023","1","154.8428986928105"
"2023","0","2023","0","197.3497205882353"
"2023","3","2023","3","207.3698725490196"
"2023","4","2023","4","218.1674444444444"
"2023","5","2023","5","251.9041388888889"
"2023","6","2023","6","259.3021486928105"
"2023","7","2023","7","266.9222107843137"
"2023","0","2023","0","241.2775555555555"
"2023","9","2023","9","295.7335475768914"
"2023","10","2023","10","196.5233023201716"
"2023","11","2023","11","204.3853389651938"
"2023","0","2023","0","219.3172067832318"
"2022","1","2022","1","218.0412320261437"
"2022","0","2022","0","182.3562401960784"
"2022","3","2022","3","182.4520049019608"
"2022","4","2022","4","157.2371029411765"
"2022","5","2022","5","173.250455882353"
"2022","6","2022","6","160.8322924836602"
"2022","7","2022","7","175.1477238562091"
"2022","0","2022","0","162.7576045751634"
"2022","9","2022","9","132.5218986928105"
"2022","10","2022","10","174.9300588235294"
"2022","11","2022","11","173.4344215686275"
"2022","0","2022","0","177.0789509803922"
"2021","1","2021","1","141.5240343137255"
"2021","0","2021","0","179.2265947712418"
"2021","3","2021","3","175.104318627451"
"2021","4","2021","4","167.8945032679739"
"2021","5","2021","5","186.4429199346405"
"2021","6","2021","6","141.4357973856209"
"2021","7","2021","7","122.485660130719"
"2021","0","2021","0","137.1068218954248"
"2021","9","2021","9","142.4051895424837"
"2021","10","2021","10","166.5599117647059"
"2021","11","2021","11","168.5986666666667"
"2021","0","2021","0","188.7326666666667"
"2020","1","2020","1","153.8257794117647"
"2020","0","2020","0","162.3894591503268"
"2020","3","2020","3","151.1497173202615"
"2020","4","2020","4","116.4165196078431"
"2020","5","2020","5","111.3856764705882"
"2020","6","2020","6","113.218839869281"
"2020","7","2020","7","117.9378986928105"
"2020","0","2020","0","119.8267565359477"
"2020","9","2020","9","127.2680359477124"
"2020","10","2020","10","124.8263643790849"
"2020","11","2020","11","137.2718366013072"
"2020","0","2020","0","147.2063235294117"
"2019","1","2019","1","112.0034264705882"
"2019","0","2019","0","105.8903235294118"
"2019","3","2019","3","101.296614379085"
"2019","4","2019","4","111.1491779149458"
"2019","5","2019","5","102.2786218812163"
"2019","6","2019","6","122.377181372549"
"2019","7","2019","7","109.7299591503268"
"2019","0","2019","0","119.3844"
"2019","9","2019","9","119.9559"
"2019","10","2019","10","139.0667"
"2019","11","2019","11","144.3293022875817"
"2019","0","2019","0","173.7215915032679"
"2018","1","2018","1","105.3166486928104"
"2018","0","2018","0","113.2325767973856"
"2018","3","2018","3","118.4531192810458"
"2018","4","2018","4","94.75584640522877"
"2018","5","2018","5","93.91556699346405"
"2018","6","2018","6","94.73964379084967"
"2018","7","2018","7","104.1063071895425"
"2018","0","2018","0","102.7251993464052"
"2018","9","2018","9","107.4261192810457"
"2018","10","2018","10","104.9573071895425"
"2018","11","2018","11","98.952704248366"
"2018","0","2018","0","100.9155931372549"
"2017","1","2017","1","107.9291470588235"
"2017","0","2017","0","106.0580081699346"
"2017","3","2017","3","84.37241013071895"
"2017","4","2017","4","93.80832679738562"
"2017","5","2017","5","103.0266781045752"
"2017","6","2017","6","102.7247581699346"
"2017","7","2017","7","90.82098202614377"
"2017","0","2017","0","119.0208349673202"
"2017","9","2017","9","93.3964493464052"
"2017","10","2017","10","93.46806862745098"
"2017","11","2017","11","99.91157843137255"
"2017","0","2017","0","100.0662908496732"
