annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","121.0705777479105"
"2024","0","2024","0","121.0656880638562"
"2024","3","2024","3","118.981579461068"
"2024","4","2024","4","118.6992591014552"
"2024","5","2024","5","118.7079285786079"
"2024","6","2024","6","118.6021272075437"
"2024","7","2024","7","118.7457042158447"
"2024","0","2024","0","117.8697675564102"
"2024","9","2024","9","117.8697675564102"
"2024","10","2024","10","117.871158042358"
"2023","1","2023","1","114.136686067661"
"2023","0","2023","0","113.682040742088"
"2023","3","2023","3","115.090160058203"
"2023","4","2023","4","114.753077482721"
"2023","5","2023","5","114.7857293561295"
"2023","6","2023","6","114.7857293561295"
"2023","7","2023","7","114.7857293561295"
"2023","0","2023","0","113.6951327755547"
"2023","9","2023","9","119.0332552267011"
"2023","10","2023","10","119.0332552267011"
"2023","11","2023","11","119.1109865871328"
"2023","0","2023","0","119.1109865871328"
"2022","1","2022","1","111.5371371407785"
"2022","0","2022","0","111.5371371407785"
"2022","3","2022","3","111.5649872680975"
"2022","4","2022","4","109.2969370680247"
"2022","5","2022","5","111.910210985813"
"2022","6","2022","6","112.0526700618407"
"2022","7","2022","7","112.129789014187"
"2022","0","2022","0","112.3658312113496"
"2022","9","2022","9","112.4265732993816"
"2022","10","2022","10","111.9561367770098"
"2022","11","2022","11","112.9811276827938"
"2022","0","2022","0","112.9570280101855"
"2021","1","2021","1","106.4812077118952"
"2021","0","2021","0","107.6348235722081"
"2021","3","2021","3","108.3899236085849"
"2021","4","2021","4","106.9999345216442"
"2021","5","2021","5","108.8218697708258"
"2021","6","2021","6","109.3858021098581"
"2021","7","2021","7","109.4675954892688"
"2021","0","2021","0","110.7659330665697"
"2021","9","2021","9","110.9589632593671"
"2021","10","2021","10","111.3154201527828"
"2021","11","2021","11","111.9323717715533"
"2021","0","2021","0","111.9371917060749"
"2020","1","2020","1","104.7368570389232"
"2020","0","2020","0","105.1152746453256"
"2020","3","2020","3","105.0903055656602"
"2020","4","2020","4","104.8011094943616"
"2020","5","2020","5","105.1288650418334"
"2020","6","2020","6","105.5647835576573"
"2020","7","2020","7","105.5885885776646"
"2020","0","2020","0","105.4873517642779"
"2020","9","2020","9","105.4391524190615"
"2020","10","2020","10","104.5273299381593"
"2020","11","2020","11","104.8754456165879"
"2020","0","2020","0","108.1175445616588"
"2019","1","2019","1","107.3227537286286"
"2019","0","2019","0","105.4816660603856"
"2019","3","2019","3","106.8730847580939"
"2019","4","2019","4","105.3843979628956"
"2019","5","2019","5","106.1611009009864"
"2019","6","2019","6","105.3940378319389"
"2019","7","2019","7","105.5506256820662"
"2019","0","2019","0","105.6389"
"2019","9","2019","9","105.729"
"2019","10","2019","10","105.4744"
"2019","11","2019","11","105.4129865405602"
"2019","0","2019","0","105.4824263368498"
"2018","1","2018","1","104.5345689341579"
"2018","0","2018","0","104.6068679519826"
"2018","3","2018","3","104.6165078210258"
"2018","4","2018","4","104.1923535831211"
"2018","5","2018","5","108.0188504910877"
"2018","6","2018","6","106.0422735540197"
"2018","7","2018","7","106.7700836667879"
"2018","0","2018","0","104.6459512550018"
"2018","9","2018","9","104.1253983266643"
"2018","10","2018","10","105.7304365223718"
"2018","11","2018","11","106.5424990905784"
"2018","0","2018","0","106.5955183703165"
"2017","1","2017","1","101.2982975627501"
"2017","0","2017","0","103.8189668970535"
"2017","3","2017","3","105.7999236085849"
"2017","4","2017","4","102.0853328483085"
"2017","5","2017","5","103.032546380502"
"2017","6","2017","6","102.965067297199"
"2017","7","2017","7","105.4943797744635"
"2017","0","2017","0","105.5693597671881"
"2017","9","2017","9","105.8971153146599"
"2017","10","2017","10","105.8199963623136"
"2017","11","2017","11","103.1691851582394"
"2017","0","2017","0","102.8050563841397"
