annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","107.6337360606838"
"2024","0","2024","0","107.6337360606838"
"2024","3","2024","3","107.4430123156064"
"2024","4","2024","4","107.1725837817126"
"2024","5","2024","5","107.1725837817126"
"2024","6","2024","6","107.824082045178"
"2024","7","2024","7","108.0621988180985"
"2024","0","2024","0","108.0621988180985"
"2024","9","2024","9","108.1211408778975"
"2024","10","2024","10","108.323720337436"
"2023","1","2023","1","105.1828715170279"
"2023","0","2023","0","105.1951780185759"
"2023","3","2023","3","105.1951780185759"
"2023","4","2023","4","105.4043653250774"
"2023","5","2023","5","105.3131811145511"
"2023","6","2023","6","106.8705921052632"
"2023","7","2023","7","106.8705921052632"
"2023","0","2023","0","107.2520936532508"
"2023","9","2023","9","107.6691726366796"
"2023","10","2023","10","107.6691726366796"
"2023","11","2023","11","107.6337360606838"
"2023","0","2023","0","107.6337360606838"
"2022","1","2022","1","105.1297948916409"
"2022","0","2022","0","105.1371168730651"
"2022","3","2022","3","105.1371168730651"
"2022","4","2022","4","105.1371168730651"
"2022","5","2022","5","105.1371168730651"
"2022","6","2022","6","104.8504063467492"
"2022","7","2022","7","104.8504063467492"
"2022","0","2022","0","104.860959752322"
"2022","9","2022","9","104.824040247678"
"2022","10","2022","10","105.1459520123839"
"2022","11","2022","11","105.1459520123839"
"2022","0","2022","0","105.1459520123839"
"2021","1","2021","1","104.7901238390093"
"2021","0","2021","0","104.8287964396285"
"2021","3","2021","3","104.7901238390093"
"2021","4","2021","4","104.8011068111455"
"2021","5","2021","5","104.6824419504644"
"2021","6","2021","6","104.5465595975233"
"2021","7","2021","7","104.79576625387"
"2021","0","2021","0","104.8067492260062"
"2021","9","2021","9","98.61350232198146"
"2021","10","2021","10","104.8067492260062"
"2021","11","2021","11","104.8067492260062"
"2021","0","2021","0","105.2313235294118"
"2020","1","2020","1","104.2332314241486"
"2020","0","2020","0","104.4523800309598"
"2020","3","2020","3","104.8615712074304"
"2020","4","2020","4","104.8338815789474"
"2020","5","2020","5","105.1556385448917"
"2020","6","2020","6","105.1446555727554"
"2020","7","2020","7","105.1446555727554"
"2020","0","2020","0","105.1894814241486"
"2020","9","2020","9","105.1784984520124"
"2020","10","2020","10","105.1023606811146"
"2020","11","2020","11","105.0841563467492"
"2020","0","2020","0","104.6288157894737"
"2019","1","2019","1","104.159705882353"
"2019","0","2019","0","102.3890789473684"
"2019","3","2019","3","100.1917182662539"
"2019","4","2019","4","102.3065673374613"
"2019","5","2019","5","103.0815654716502"
"2019","6","2019","6","103.4479953560372"
"2019","7","2019","7","103.100383126935"
"2019","0","2019","0","106.2931"
"2019","9","2019","9","107.7612"
"2019","10","2019","10","107.7546"
"2019","11","2019","11","103.9785448916409"
"2019","0","2019","0","104.0171478328174"
"2018","1","2018","1","100.5807391640867"
"2018","0","2018","0","100.3375812693499"
"2018","3","2018","3","100.3375812693499"
"2018","4","2018","4","100.2945085139319"
"2018","5","2018","5","101.3187267801858"
"2018","6","2018","6","101.3516756965945"
"2018","7","2018","7","101.2716834365325"
"2018","0","2018","0","100.3705301857585"
"2018","9","2018","9","101.3406927244582"
"2018","10","2018","10","101.3037732198143"
"2018","11","2018","11","101.3817221362229"
"2018","0","2018","0","100.3783010835914"
"2017","1","2017","1","99.8068924148607"
"2017","0","2017","0","99.73768575851396"
"2017","3","2017","3","101.142113003096"
"2017","4","2017","4","100.4509520123839"
"2017","5","2017","5","99.01416795665637"
"2017","6","2017","6","98.99878482972137"
"2017","7","2017","7","101.8211880804954"
"2017","0","2017","0","102.0057856037152"
"2017","9","2017","9","102.0057856037152"
"2017","10","2017","10","102.0057856037152"
"2017","11","2017","11","100.8546865325077"
"2017","0","2017","0","100.8546865325077"
