annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","116.8359366141659"
"2024","0","2024","0","118.0928782284441"
"2024","3","2024","3","116.6055495077653"
"2024","4","2024","4","118.4396443005834"
"2024","5","2024","5","117.2204129893553"
"2024","6","2024","6","120.010773198509"
"2024","7","2024","7","117.568987003978"
"2024","0","2024","0","117.7414550629944"
"2024","9","2024","9","117.7429639817255"
"2024","10","2024","10","119.2594614341288"
"2023","1","2023","1","116.1490583418628"
"2023","0","2023","0","118.7831525076765"
"2023","3","2023","3","117.9628863868986"
"2023","4","2023","4","119.7299385875128"
"2023","5","2023","5","119.6506960081883"
"2023","6","2023","6","117.2288843398157"
"2023","7","2023","7","116.3654861821904"
"2023","0","2023","0","116.3963254861822"
"2023","9","2023","9","116.4913386625052"
"2023","10","2023","10","117.8897646822967"
"2023","11","2023","11","121.5236163676208"
"2023","0","2023","0","117.6045805673389"
"2022","1","2022","1","106.9415864892528"
"2022","0","2022","0","107.1778812691914"
"2022","3","2022","3","108.3050562947799"
"2022","4","2022","4","107.375670419652"
"2022","5","2022","5","107.6088638689867"
"2022","6","2022","6","111.0526919140225"
"2022","7","2022","7","113.0599283520983"
"2022","0","2022","0","112.667604912999"
"2022","9","2022","9","113.9739508700102"
"2022","10","2022","10","112.4327328556807"
"2022","11","2022","11","112.1266837256909"
"2022","0","2022","0","113.3615046059365"
"2021","1","2021","1","107.7206141248721"
"2021","0","2021","0","109.1515353121801"
"2021","3","2021","3","106.78747185261"
"2021","4","2021","4","106.7197338792221"
"2021","5","2021","5","106.2008393039918"
"2021","6","2021","6","103.9841862845445"
"2021","7","2021","7","100.5527840327533"
"2021","0","2021","0","104.8336847492323"
"2021","9","2021","9","105.8465404298874"
"2021","10","2021","10","104.8003172978506"
"2021","11","2021","11","103.7367144319345"
"2021","0","2021","0","108.5347901740021"
"2020","1","2020","1","106.5378300921187"
"2020","0","2020","0","105.8132036847492"
"2020","3","2020","3","106.5063050153531"
"2020","4","2020","4","105.2706243602866"
"2020","5","2020","5","105.6612589559877"
"2020","6","2020","6","106.8824155578301"
"2020","7","2020","7","106.9883930399181"
"2020","0","2020","0","107.5653326509724"
"2020","9","2020","9","106.1983009211873"
"2020","10","2020","10","107.3639303991812"
"2020","11","2020","11","105.7469805527124"
"2020","0","2020","0","106.2316683725691"
"2019","1","2019","1","104.4603480040942"
"2019","0","2019","0","105.0430603889457"
"2019","3","2019","3","109.0253531218014"
"2019","4","2019","4","108.5187512794268"
"2019","5","2019","5","109.9882912197944"
"2019","6","2019","6","109.9575639713408"
"2019","7","2019","7","109.774022517912"
"2019","0","2019","0","107.5784"
"2019","9","2019","9","107.2749"
"2019","10","2019","10","106.7197"
"2019","11","2019","11","104.9995701125896"
"2019","0","2019","0","109.4175025588536"
"2018","1","2018","1","103.6995189355169"
"2018","0","2018","0","103.9541453428864"
"2018","3","2018","3","104.2891914022518"
"2018","4","2018","4","106.2929785056295"
"2018","5","2018","5","111.1822824974411"
"2018","6","2018","6","110.28559877175"
"2018","7","2018","7","106.2804810644831"
"2018","0","2018","0","106.6003377686797"
"2018","9","2018","9","106.2511258955988"
"2018","10","2018","10","105.9398259979529"
"2018","11","2018","11","105.218198567042"
"2018","0","2018","0","106.053142272262"
"2017","1","2017","1","107.6830910951893"
"2017","0","2017","0","101.5257523029683"
"2017","3","2017","3","106.3634083930399"
"2017","4","2017","4","110.4394370522006"
"2017","5","2017","5","108.145383828045"
"2017","6","2017","6","109.1468986693961"
"2017","7","2017","7","105.8273490276356"
"2017","0","2017","0","103.2625076765609"
"2017","9","2017","9","104.3240736949846"
"2017","10","2017","10","104.9263868986694"
"2017","11","2017","11","103.3888843398158"
"2017","0","2017","0","104.5388024564995"
