annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","102.7288088595375"
"2024","0","2024","0","102.7288088595375"
"2024","3","2024","3","102.7766184279747"
"2024","4","2024","4","102.6429380914841"
"2024","5","2024","5","103.2381236381616"
"2024","6","2024","6","103.3157831852505"
"2024","7","2024","7","103.4350941149608"
"2024","0","2024","0","103.2436231188754"
"2024","9","2024","9","104.3989591030255"
"2024","10","2024","10","104.7769645129249"
"2023","1","2023","1","101.1659240069085"
"2023","0","2023","0","101.2206332757628"
"2023","3","2023","3","102.3351986183074"
"2023","4","2023","4","101.1513529073114"
"2023","5","2023","5","101.2493206678181"
"2023","6","2023","6","101.81233736327"
"2023","7","2023","7","101.8300115141048"
"2023","0","2023","0","101.5029188255613"
"2023","9","2023","9","102.1907460161097"
"2023","10","2023","10","101.6599826107233"
"2023","11","2023","11","101.6599826107233"
"2023","0","2023","0","103.172627501468"
"2022","1","2022","1","98.06381116868164"
"2022","0","2022","0","98.9137190558434"
"2022","3","2022","3","99.00981577432354"
"2022","4","2022","4","99.0531375935521"
"2022","5","2022","5","99.0531375935521"
"2022","6","2022","6","100.2849510650547"
"2022","7","2022","7","100.2789867587795"
"2022","0","2022","0","101.0909038572251"
"2022","9","2022","9","101.5082325849165"
"2022","10","2022","10","101.4877835348302"
"2022","11","2022","11","100.8645480713874"
"2022","0","2022","0","100.8645480713874"
"2021","1","2021","1","99.8395164075993"
"2021","0","2021","0","100.1444386873921"
"2021","3","2021","3","100.263091537133"
"2021","4","2021","4","100.2202187679908"
"2021","5","2021","5","100.3558491652274"
"2021","6","2021","6","98.1313932066782"
"2021","7","2021","7","98.20852619458839"
"2021","0","2021","0","98.41150834772597"
"2021","9","2021","9","98.41150834772597"
"2021","10","2021","10","98.41150834772597"
"2021","11","2021","11","97.72497985031664"
"2021","0","2021","0","97.72497985031664"
"2020","1","2020","1","101.0484052964882"
"2020","0","2020","0","100.9334369602763"
"2020","3","2020","3","100.4831491076569"
"2020","4","2020","4","100.7665803108808"
"2020","5","2020","5","100.9835636154289"
"2020","6","2020","6","100.0623488773748"
"2020","7","2020","7","100.8978008059873"
"2020","0","2020","0","101.1013126079447"
"2020","9","2020","9","101.2483074265976"
"2020","10","2020","10","100.8841738629822"
"2020","11","2020","11","100.8841738629822"
"2020","0","2020","0","100.7192688543466"
"2019","1","2019","1","101.6826712723086"
"2019","0","2019","0","101.3258146229131"
"2019","3","2019","3","101.7542832469775"
"2019","4","2019","4","101.1815198618308"
"2019","5","2019","5","101.8797033254626"
"2019","6","2019","6","101.01065054692"
"2019","7","2019","7","100.5199769717904"
"2019","0","2019","0","100.8354"
"2019","9","2019","9","100.2789"
"2019","10","2019","10","100.7352"
"2019","11","2019","11","100.415428900403"
"2019","0","2019","0","100.6124122049511"
"2018","1","2018","1","101.1564363845711"
"2018","0","2018","0","101.17467472654"
"2018","3","2018","3","101.2645308002303"
"2018","4","2018","4","104.3583016695452"
"2018","5","2018","5","103.0008635578584"
"2018","6","2018","6","102.584502014968"
"2018","7","2018","7","102.1007023603915"
"2018","0","2018","0","100.8923776626367"
"2018","9","2018","9","101.0463672999424"
"2018","10","2018","10","101.0463672999424"
"2018","11","2018","11","101.0921934369603"
"2018","0","2018","0","101.3541853770869"
"2017","1","2017","1","102.7660564191134"
"2017","0","2017","0","103.3477835348302"
"2017","3","2017","3","104.1432239493379"
"2017","4","2017","4","103.0843983880253"
"2017","5","2017","5","104.4934715025907"
"2017","6","2017","6","104.4934715025907"
"2017","7","2017","7","105.2039090385722"
"2017","0","2017","0","103.8672826712723"
"2017","9","2017","9","104.013713298791"
"2017","10","2017","10","103.3253540587219"
"2017","11","2017","11","102.4715716753022"
"2017","0","2017","0","102.5789752446747"
