annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","136.9698096671945"
"2024","0","2024","0","138.3880582596057"
"2024","3","2024","3","140.4645573695371"
"2024","4","2024","4","140.987411907469"
"2024","5","2024","5","143.2152805777899"
"2024","6","2024","6","145.7523587907859"
"2024","7","2024","7","145.4276952203829"
"2024","0","2024","0","142.4083667777376"
"2024","9","2024","9","142.1722723358425"
"2024","10","2024","10","141.2847604620882"
"2023","1","2023","1","141.4834468405438"
"2023","0","2023","0","140.550270557499"
"2023","3","2023","3","139.2343461896117"
"2023","4","2023","4","137.4749488553337"
"2023","5","2023","5","136.9382601957224"
"2023","6","2023","6","139.7339153345437"
"2023","7","2023","7","137.5326134703095"
"2023","0","2023","0","137.8734521542754"
"2023","9","2023","9","138.599775290196"
"2023","10","2023","10","137.6319459541128"
"2023","11","2023","11","137.4225258938056"
"2023","0","2023","0","138.2909608205039"
"2022","1","2022","1","133.3381725191516"
"2022","0","2022","0","133.8144940884737"
"2022","3","2022","3","134.4810623035027"
"2022","4","2022","4","134.868241154851"
"2022","5","2022","5","136.4509064340433"
"2022","6","2022","6","137.7532750298897"
"2022","7","2022","7","138.3586246291458"
"2022","0","2022","0","140.2536425629899"
"2022","9","2022","9","141.4310326351681"
"2022","10","2022","10","142.56564539698"
"2022","11","2022","11","141.6193410972856"
"2022","0","2022","0","140.8027613691715"
"2021","1","2021","1","116.0154997121729"
"2021","0","2021","0","117.2779896382234"
"2021","3","2021","3","119.5795044945313"
"2021","4","2021","4","121.5710476907408"
"2021","5","2021","5","132.0160195722446"
"2021","6","2021","6","130.656482309702"
"2021","7","2021","7","130.1037745206571"
"2021","0","2021","0","126.9347735021919"
"2021","9","2021","9","131.1805628127352"
"2021","10","2021","10","132.2959314528628"
"2021","11","2021","11","131.111673382633"
"2021","0","2021","0","132.7605969091795"
"2020","1","2020","1","112.0787025638755"
"2020","0","2020","0","113.7603471637958"
"2020","3","2020","3","113.7252132134792"
"2020","4","2020","4","114.4188579905238"
"2020","5","2020","5","114.6576190054466"
"2020","6","2020","6","112.3360328565735"
"2020","7","2020","7","112.6570234247"
"2020","0","2020","0","114.8474033565071"
"2020","9","2020","9","113.6727613691715"
"2020","10","2020","10","113.3152017003941"
"2020","11","2020","11","113.6745937209405"
"2020","0","2020","0","113.8551919585529"
"2019","1","2019","1","109.8150334322278"
"2019","0","2019","0","109.9614152238409"
"2019","3","2019","3","110.9225691892131"
"2019","4","2019","4","110.0032241066289"
"2019","5","2019","5","110.7853669056776"
"2019","6","2019","6","113.0493623522119"
"2019","7","2019","7","113.3351025107382"
"2019","0","2019","0","113.2814"
"2019","9","2019","9","113.6693"
"2019","10","2019","10","114.0886"
"2019","11","2019","11","113.5832404906346"
"2019","0","2019","0","114.7650847982996"
"2018","1","2018","1","111.158142850817"
"2018","0","2018","0","109.7861457733694"
"2018","3","2018","3","109.4941912057743"
"2018","4","2018","4","109.7406819288846"
"2018","5","2018","5","110.1339578443962"
"2018","6","2018","6","110.2"
"2018","7","2018","7","110.4719381835894"
"2018","0","2018","0","108.6408962493911"
"2018","9","2018","9","109.4482367267414"
"2018","10","2018","10","109.9931227029181"
"2018","11","2018","11","110.2710556613382"
"2018","0","2018","0","112.1202918124253"
"2017","1","2017","1","109.2996749767524"
"2017","0","2017","0","109.2074569366338"
"2017","3","2017","3","109.2355865031218"
"2017","4","2017","4","110.33"
"2017","5","2017","5","109.0145233139973"
"2017","6","2017","6","109.2"
"2017","7","2017","7","109.01"
"2017","0","2017","0","111.0115529380507"
"2017","9","2017","9","110.0299052384537"
"2017","10","2017","10","109.3896546074481"
"2017","11","2017","11","111.0253022184829"
"2017","0","2017","0","111.7312717530886"
