annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","109.29568350995596"
"2024","2","2024","2","109.43700840731906"
"2024","3","2024","3","109.6591338323602"
"2024","4","2024","4","109.20779473141647"
"2024","5","2024","5","109.88855122882379"
"2024","6","2024","6","110.40064002982005"
"2024","7","2024","7","111.18809921080866"
"2024","0","2024","0","110.72078780263683"
"2024","9","2024","9","112.63905814796965"
"2024","10","2024","10","112.65358181422847"
"2023","1","2023","1","107.55344775256539"
"2023","2","2023","2","107.98908946379535"
"2023","3","2023","3","107.63876427229368"
"2023","4","2023","4","107.95934889434889"
"2023","5","2023","5","107.85188827865298"
"2023","6","2023","6","107.5860969793323"
"2023","7","2023","7","108.05711663535195"
"2023","0","2023","0","108.69965168376933"
"2023","9","2023","9","108.934724330902"
"2023","10","2023","10","108.617341518402"
"2023","11","2023","11","108.83183479309"
"2023","0","2023","0","109.475755691528"
"2022","1","2022","1","104.29618369706606"
"2022","2","2022","2","105.41331117213471"
"2022","3","2022","3","105.35206532735945"
"2022","4","2022","4","105.33062219973985"
"2022","5","2022","5","105.66869056221996"
"2022","6","2022","6","106.67644601821073"
"2022","7","2022","7","106.91630582454113"
"2022","0","2022","0","107.9016541407718"
"2022","9","2022","9","107.96618514236161"
"2022","10","2022","10","107.68886688827865"
"2022","11","2022","11","107.27201401936696"
"2022","0","2022","0","107.30622561063737"
"2021","1","2021","1","102.4500520306403"
"2021","2","2021","2","103.8198012718601"
"2021","3","2021","3","105.3174295418413"
"2021","4","2021","4","105.29410102615984"
"2021","5","2021","5","105.39990750108397"
"2021","6","2021","6","104.46564893770777"
"2021","7","2021","7","104.63043069807777"
"2021","0","2021","0","104.52667003902299"
"2021","9","2021","9","104.5637165775401"
"2021","10","2021","10","104.62688032952738"
"2021","11","2021","11","104.21476297152768"
"2021","0","2021","0","104.38224165341813"
"2020","1","2020","1","102.5579722503252"
"2020","2","2020","2","102.86951293539529"
"2020","3","2020","3","102.27105578840873"
"2020","4","2020","4","102.38585633762105"
"2020","5","2020","5","103.0628204942911"
"2020","6","2020","6","102.52429469576529"
"2020","7","2020","7","102.93921086862264"
"2020","0","2020","0","102.98661584043937"
