annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","108.7378845250834"
"2024","0","2024","0","108.6266800621955"
"2024","3","2024","3","108.6034437634803"
"2024","4","2024","4","108.7548883718863"
"2024","5","2024","5","108.8223421470796"
"2024","6","2024","6","109.1532639468168"
"2024","7","2024","7","109.4061098194737"
"2024","0","2024","0","109.3432865281653"
"2024","9","2024","9","109.4508961539399"
"2024","10","2024","10","109.2276690719281"
"2023","1","2023","1","106.0092056074766"
"2023","0","2023","0","105.6895578720345"
"2023","3","2023","3","106.2690402588066"
"2023","4","2023","4","106.095"
"2023","5","2023","5","106.4618691588785"
"2023","6","2023","6","106.8444140905823"
"2023","7","2023","7","107.1823436376707"
"2023","0","2023","0","107.2485693745507"
"2023","9","2023","9","107.8632990804871"
"2023","10","2023","10","107.849641629554"
"2023","11","2023","11","107.849641629554"
"2023","0","2023","0","108.0357008191167"
"2022","1","2022","1","103.2012005751258"
"2022","0","2022","0","103.4069518332135"
"2022","3","2022","3","103.4069518332135"
"2022","4","2022","4","103.4069518332135"
"2022","5","2022","5","104.0499245147376"
"2022","6","2022","6","104.3924946081956"
"2022","7","2022","7","104.485082674335"
"2022","0","2022","0","104.8890402588066"
"2022","9","2022","9","105.1958698777858"
"2022","10","2022","10","105.5578971962617"
"2022","11","2022","11","105.424245147376"
"2022","0","2022","0","105.5466966211359"
"2021","1","2021","1","101.8136592379583"
"2021","0","2021","0","102.4275988497484"
"2021","3","2021","3","102.5070237239396"
"2021","4","2021","4","102.3724083393242"
"2021","5","2021","5","102.5632494608196"
"2021","6","2021","6","101.840966930266"
"2021","7","2021","7","102.0303918044572"
"2021","0","2021","0","101.926639108555"
"2021","9","2021","9","101.926639108555"
"2021","10","2021","10","102.0041373112869"
"2021","11","2021","11","102.6788245866283"
"2021","0","2021","0","102.8648202731848"
"2020","1","2020","1","103.2930841121495"
"2020","0","2020","0","103.0572681524084"
"2020","3","2020","3","102.9401222142343"
"2020","4","2020","4","102.9049640546369"
"2020","5","2020","5","102.9190366642703"
"2020","6","2020","6","102.7289000718907"
"2020","7","2020","7","102.5176276060388"
"2020","0","2020","0","102.3278900071891"
"2020","9","2020","9","102.1034112149533"
"2020","10","2020","10","101.7700647016535"
"2020","11","2020","11","101.7734795111431"
"2020","0","2020","0","102.4175053918044"
"2019","1","2019","1","104.5248993529835"
"2019","0","2019","0","103.5645075485262"
"2019","3","2019","3","104.232016534867"
"2019","4","2019","4","102.7955715312725"
"2019","5","2019","5","104.9351760419814"
"2019","6","2019","6","102.7955715312725"
"2019","7","2019","7","102.7050323508267"
"2019","0","2019","0","102.3134"
"2019","9","2019","9","103.0236"
"2019","10","2019","10","103.0424"
"2019","11","2019","11","103.557606038821"
"2019","0","2019","0","103.5010783608914"
"2018","1","2018","1","103.6388066139468"
"2018","0","2018","0","103.7004313443566"
"2018","3","2018","3","104.7614953271028"
"2018","4","2018","4","106.3121675053918"
"2018","5","2018","5","108.5071063982746"
"2018","6","2018","6","108.16424155284"
"2018","7","2018","7","107.3172393961179"
"2018","0","2018","0","106.420718907261"
"2018","9","2018","9","107.4734219985622"
"2018","10","2018","10","107.5917289719626"
"2018","11","2018","11","105.3710747663552"
"2018","0","2018","0","103.4612257368799"
"2017","1","2017","1","100.9298562185478"
"2017","0","2017","0","100.8743565780014"
"2017","3","2017","3","101.660294751977"
"2017","4","2017","4","101.8820237239396"
"2017","5","2017","5","103.1539611790079"
"2017","6","2017","6","103.2817577282531"
"2017","7","2017","7","104.3136520488857"
"2017","0","2017","0","104.3237670740474"
"2017","9","2017","9","104.1158770668584"
"2017","10","2017","10","103.977641984184"
"2017","11","2017","11","102.9108303378864"
"2017","0","2017","0","102.9132242990654"
