annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","117.7001378651869"
"2024","0","2024","0","119.6522717378029"
"2024","3","2024","3","119.6788725157687"
"2024","4","2024","4","116.7746785827121"
"2024","5","2024","5","121.1032203158058"
"2024","6","2024","6","124.6577252031874"
"2024","7","2024","7","125.1990793937927"
"2024","0","2024","0","120.0468196523994"
"2024","9","2024","9","119.9672930738131"
"2024","10","2024","10","119.5001170432655"
"2023","1","2023","1","120.2536911595867"
"2023","0","2023","0","110.096874282434"
"2023","3","2023","3","116.1347617680827"
"2023","4","2023","4","114.7306601607348"
"2023","5","2023","5","112.4147388059702"
"2023","6","2023","6","110.2764437428244"
"2023","7","2023","7","117.7450143513203"
"2023","0","2023","0","110.7086538461539"
"2023","9","2023","9","113.684473232067"
"2023","10","2023","10","113.8395828097612"
"2023","11","2023","11","115.4201551348002"
"2023","0","2023","0","118.9456584344772"
"2022","1","2022","1","110.6018111366246"
"2022","0","2022","0","112.0195752009185"
"2022","3","2022","3","108.202009184845"
"2022","4","2022","4","122.613840413318"
"2022","5","2022","5","125.3411509758898"
"2022","6","2022","6","125.7139867967853"
"2022","7","2022","7","128.0062284730195"
"2022","0","2022","0","124.7426148105626"
"2022","9","2022","9","123.044867967853"
"2022","10","2022","10","120.1231888633754"
"2022","11","2022","11","131.5377353616533"
"2022","0","2022","0","131.9641073478761"
"2021","1","2021","1","104.3494718714122"
"2021","0","2021","0","106.1272588978186"
"2021","3","2021","3","104.1283208955224"
"2021","4","2021","4","103.9291389207807"
"2021","5","2021","5","103.2732749712974"
"2021","6","2021","6","108.2730080367394"
"2021","7","2021","7","108.5956314580942"
"2021","0","2021","0","109.6510849598163"
"2021","9","2021","9","109.6438289322618"
"2021","10","2021","10","113.5296842709529"
"2021","11","2021","11","109.017365097589"
"2021","0","2021","0","105.3103587830081"
"2020","1","2020","1","101.4122560275545"
"2020","0","2020","0","100.986248564868"
"2020","3","2020","3","104.1360390355913"
"2020","4","2020","4","106.5209127439724"
"2020","5","2020","5","105.1369259471872"
"2020","6","2020","6","103.1855826636051"
"2020","7","2020","7","102.5882060849598"
"2020","0","2020","0","101.8161681974742"
"2020","9","2020","9","100.5440499425947"
"2020","10","2020","10","101.1037830080367"
"2020","11","2020","11","104.9590528128588"
"2020","0","2020","0","101.1108266360505"
"2019","1","2019","1","100.3920665901263"
"2019","0","2019","0","102.0255711825488"
"2019","3","2019","3","103.8957089552239"
"2019","4","2019","4","103.3410849598163"
"2019","5","2019","5","104.1926313249805"
"2019","6","2019","6","105.3215384615385"
"2019","7","2019","7","102.915892652124"
"2019","0","2019","0","99.1339"
"2019","9","2019","9","100.576"
"2019","10","2019","10","101.8863"
"2019","11","2019","11","104.8203185993112"
"2019","0","2019","0","103.3859127439725"
"2018","1","2018","1","102.1111825487945"
"2018","0","2018","0","102.1904592422503"
"2018","3","2018","3","102.9436997703789"
"2018","4","2018","4","103.8996785304248"
"2018","5","2018","5","102.0700229621125"
"2018","6","2018","6","101.71403272101"
"2018","7","2018","7","99.66396670493685"
"2018","0","2018","0","100.9852726750861"
"2018","9","2018","9","101.1682433983927"
"2018","10","2018","10","100.4121986222733"
"2018","11","2018","11","102.796650401837"
"2018","0","2018","0","102.4976406429391"
"2017","1","2017","1","101.5719288174512"
"2017","0","2017","0","99.8707893226177"
"2017","3","2017","3","100.5750143513203"
"2017","4","2017","4","102.901696326062"
"2017","5","2017","5","103.4404305396097"
"2017","6","2017","6","103.6283323765787"
"2017","7","2017","7","102.2405826636051"
"2017","0","2017","0","101.5251463834673"
"2017","9","2017","9","100.5076636050517"
"2017","10","2017","10","100.831248564868"
"2017","11","2017","11","101.7034845005741"
"2017","0","2017","0","102.4510189437428"
