annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","118.6010643457752"
"2024","0","2024","0","118.6010643457752"
"2024","3","2024","3","119.9853340784705"
"2024","4","2024","4","120.5020803480575"
"2024","5","2024","5","121.9424934723435"
"2024","6","2024","6","124.2987895623229"
"2024","7","2024","7","124.3130619709303"
"2024","0","2024","0","124.3130619709303"
"2024","9","2024","9","124.3130619709303"
"2024","10","2024","10","124.3130619709303"
"2023","1","2023","1","116.154407051282"
"2023","0","2023","0","116.154407051282"
"2023","3","2023","3","116.154407051282"
"2023","4","2023","4","116.154407051282"
"2023","5","2023","5","117.0382852564102"
"2023","6","2023","6","117.0382852564102"
"2023","7","2023","7","117.0382852564102"
"2023","0","2023","0","117.0382852564102"
"2023","9","2023","9","118.6010643457752"
"2023","10","2023","10","118.6010643457752"
"2023","11","2023","11","118.6010643457752"
"2023","0","2023","0","118.6010643457752"
"2022","1","2022","1","113.1850480769231"
"2022","0","2022","0","113.1850480769231"
"2022","3","2022","3","115.4409455128205"
"2022","4","2022","4","115.4409455128205"
"2022","5","2022","5","116.154407051282"
"2022","6","2022","6","116.154407051282"
"2022","7","2022","7","116.154407051282"
"2022","0","2022","0","116.154407051282"
"2022","9","2022","9","116.154407051282"
"2022","10","2022","10","116.154407051282"
"2022","11","2022","11","116.154407051282"
"2022","0","2022","0","116.154407051282"
"2021","1","2021","1","105.6155608974359"
"2021","0","2021","0","113.1850480769231"
"2021","3","2021","3","105.6155608974359"
"2021","4","2021","4","113.1850480769231"
"2021","5","2021","5","113.1850480769231"
"2021","6","2021","6","113.1850480769231"
"2021","7","2021","7","113.1850480769231"
"2021","0","2021","0","113.1850480769231"
"2021","9","2021","9","113.1850480769231"
"2021","10","2021","10","113.1850480769231"
"2021","11","2021","11","113.1850480769231"
"2021","0","2021","0","113.1850480769231"
"2020","1","2020","1","104.2016025641026"
"2020","0","2020","0","105.6155608974359"
"2020","3","2020","3","105.6155608974359"
"2020","4","2020","4","105.6155608974359"
"2020","5","2020","5","105.6155608974359"
"2020","6","2020","6","105.6155608974359"
"2020","7","2020","7","105.6155608974359"
"2020","0","2020","0","105.6155608974359"
"2020","9","2020","9","105.6155608974359"
"2020","10","2020","10","105.6155608974359"
"2020","11","2020","11","105.6155608974359"
"2020","0","2020","0","105.6155608974359"
"2019","1","2019","1","102.4655128205128"
"2019","0","2019","0","102.4655128205128"
"2019","3","2019","3","104.7548878205128"
"2019","4","2019","4","102.4655128205128"
"2019","5","2019","5","103.1585162888641"
"2019","6","2019","6","102.4655128205128"
"2019","7","2019","7","102.4655128205128"
"2019","0","2019","0","97.83630000000001"
"2019","9","2019","9","97.83630000000001"
"2019","10","2019","10","97.83630000000001"
"2019","11","2019","11","102.4655128205128"
"2019","0","2019","0","102.4655128205128"
"2018","1","2018","1","101.4292948717949"
"2018","0","2018","0","101.4292948717949"
"2018","3","2018","3","101.4292948717949"
"2018","4","2018","4","102.4655128205128"
"2018","5","2018","5","92.95368589743589"
"2018","6","2018","6","92.95368589743589"
"2018","7","2018","7","92.95368589743589"
"2018","0","2018","0","102.4655128205128"
"2018","9","2018","9","102.4655128205128"
"2018","10","2018","10","102.4655128205128"
"2018","11","2018","11","102.4655128205128"
"2018","0","2018","0","102.4655128205128"
"2017","1","2017","1","100.6390544871795"
"2017","0","2017","0","108.4192628205128"
"2017","3","2017","3","98.90743589743587"
"2017","4","2017","4","99.32"
"2017","5","2017","5","101.4292948717949"
"2017","6","2017","6","101.929294871795"
"2017","7","2017","7","91.91746794871796"
"2017","0","2017","0","92.53240384615384"
"2017","9","2017","9","91.91746794871796"
"2017","10","2017","10","91.91746794871796"
"2017","11","2017","11","101.4292948717949"
"2017","0","2017","0","101.4292948717949"
