annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","112.0311691600124"
"2024","0","2024","0","112.0311691600124"
"2024","3","2024","3","112.0154633871433"
"2024","4","2024","4","112.0071308948929"
"2024","5","2024","5","112.313440899384"
"2024","6","2024","6","112.51476013865"
"2024","7","2024","7","113.1643692634935"
"2024","0","2024","0","113.4706845383783"
"2024","9","2024","9","113.8798515439817"
"2024","10","2024","10","114.2315607187733"
"2023","1","2023","1","105.6134319708478"
"2023","0","2023","0","109.1376502612284"
"2023","3","2023","3","108.8696167186197"
"2023","4","2023","4","107.4636589542082"
"2023","5","2023","5","107.4636589542082"
"2023","6","2023","6","107.4636589542082"
"2023","7","2023","7","107.4636589542082"
"2023","0","2023","0","107.4636589542082"
"2023","9","2023","9","107.5088295132883"
"2023","10","2023","10","111.0580125045335"
"2023","11","2023","11","112.0311691600124"
"2023","0","2023","0","112.0311691600124"
"2022","1","2022","1","89.48751020766565"
"2022","0","2022","0","91.13132809413007"
"2022","3","2022","3","91.13132809413007"
"2022","4","2022","4","93.49604513324846"
"2022","5","2022","5","96.01166615445406"
"2022","6","2022","6","99.49954383808229"
"2022","7","2022","7","99.5260705975326"
"2022","0","2022","0","99.75881898406288"
"2022","9","2022","9","99.56518593317821"
"2022","10","2022","10","105.6309386661984"
"2022","11","2022","11","105.6134319708478"
"2022","0","2022","0","105.6134319708478"
"2021","1","2021","1","87.35148614830752"
"2021","0","2021","0","87.35465908592002"
"2021","3","2021","3","87.49340870176056"
"2021","4","2021","4","89.45705448478728"
"2021","5","2021","5","89.45705448478728"
"2021","6","2021","6","89.45705448478728"
"2021","7","2021","7","89.47033542608773"
"2021","0","2021","0","89.47473899108749"
"2021","9","2021","9","89.48801993238793"
"2021","10","2021","10","89.48801993238793"
"2021","11","2021","11","89.49686218553805"
"2021","0","2021","0","89.49686218553805"
"2020","1","2020","1","90.61361153795497"
"2020","0","2020","0","90.66794266145675"
"2020","3","2020","3","90.02026605786541"
"2020","4","2020","4","84.82834613864864"
"2020","5","2020","5","83.17851077841684"
"2020","6","2020","6","84.35782192562674"
"2020","7","2020","7","87.06442024849628"
"2020","0","2020","0","87.36533213329237"
"2020","9","2020","9","87.36533213329237"
"2020","10","2020","10","87.30983228695617"
"2020","11","2020","11","87.30983228695617"
"2020","0","2020","0","87.36129955657024"
"2019","1","2019","1","89.8299762918734"
"2019","0","2019","0","88.02977169952146"
"2019","3","2019","3","88.2493023664223"
"2019","4","2019","4","89.7694301268824"
"2019","5","2019","5","89.90296064489158"
"2019","6","2019","6","90.8104934802652"
"2019","7","2019","7","90.67454054528693"
"2019","0","2019","0","90.5059"
"2019","9","2019","9","90.5059"
"2019","10","2019","10","90.41869999999999"
"2019","11","2019","11","90.62001536637838"
"2019","0","2019","0","90.62001536637838"
"2018","1","2018","1","93.54"
"2018","0","2018","0","93.54"
"2018","3","2018","3","87.1507345128858"
"2018","4","2018","4","87.51005048952891"
"2018","5","2018","5","89.48610045221056"
"2018","6","2018","6","89.25089037186636"
"2018","7","2018","7","89.45108706150941"
"2018","0","2018","0","89.05404969925803"
"2018","9","2018","9","93.46725293058788"
"2018","10","2018","10","89.05404969925803"
"2018","11","2018","11","91.21890767001801"
"2018","0","2018","0","90.40439697940907"
"2017","1","2017","1","86.40704789919657"
"2017","0","2017","0","86.5179922729069"
"2017","3","2017","3","86.91502963515829"
"2017","4","2017","4","86.42985511700401"
"2017","5","2017","5","85.38072309786189"
"2017","6","2017","6","85.39398647758703"
"2017","7","2017","7","84.51647495280326"
"2017","0","2017","0","84.51647495280326"
"2017","9","2017","9","84.45667164244634"
"2017","10","2017","10","85.07120823637881"
"2017","11","2017","11","95.8751209553497"
"2017","0","2017","0","85.81391710936471"
