annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","131.156796615192"
"2024","0","2024","0","132.9519374353628"
"2024","3","2024","3","128.5143958104506"
"2024","4","2024","4","129.6034593000615"
"2024","5","2024","5","128.7260380829643"
"2024","6","2024","6","130.4347439255006"
"2024","7","2024","7","132.9189462015232"
"2024","0","2024","0","135.2307317872387"
"2024","9","2024","9","135.8427561968846"
"2024","10","2024","10","137.4551121822886"
"2023","1","2023","1","119.0832328162015"
"2023","0","2023","0","119.4663943857649"
"2023","3","2023","3","120.431482998771"
"2023","4","2023","4","119.0639418983667"
"2023","5","2023","5","120.4968031633507"
"2023","6","2023","6","121.4683618616747"
"2023","7","2023","7","121.8016044742889"
"2023","0","2023","0","125.9173870295495"
"2023","9","2023","9","130.2169451769954"
"2023","10","2023","10","130.1922345518998"
"2023","11","2023","11","129.206418165331"
"2023","0","2023","0","129.4840888982309"
"2022","1","2022","1","108.5935160215877"
"2022","0","2022","0","111.1197946315658"
"2022","3","2022","3","109.0101747323798"
"2022","4","2022","4","109.6219434301694"
"2022","5","2022","5","109.8775695990595"
"2022","6","2022","6","111.9470327556419"
"2022","7","2022","7","112.8620431754627"
"2022","0","2022","0","113.882541011346"
"2022","9","2022","9","116.2486883493935"
"2022","10","2022","10","116.1176983773578"
"2022","11","2022","11","116.2688425983649"
"2022","0","2022","0","116.527268938247"
"2021","1","2021","1","102.9978649163743"
"2021","0","2021","0","101.9038090233867"
"2021","3","2021","3","102.41902908644"
"2021","4","2021","4","102.5412924140142"
"2021","5","2021","5","104.5899381935415"
"2021","6","2021","6","106.5090525978305"
"2021","7","2021","7","108.5249723028695"
"2021","0","2021","0","109.8893026735301"
"2021","9","2021","9","110.307938478528"
"2021","10","2021","10","109.7421945745685"
"2021","11","2021","11","109.6340544680548"
"2021","0","2021","0","109.6817770692696"
"2020","1","2020","1","101.1726042427373"
"2020","0","2020","0","100.5368476924995"
"2020","3","2020","3","102.1580816842705"
"2020","4","2020","4","101.8106866394742"
"2020","5","2020","5","105.1936196854461"
"2020","6","2020","6","103.4970042569866"
"2020","7","2020","7","101.9249493258287"
"2020","0","2020","0","102.0982544573678"
"2020","9","2020","9","103.6379276134157"
"2020","10","2020","10","102.4821341930428"
"2020","11","2020","11","102.2966380492671"
"2020","0","2020","0","103.2150300126463"
"2019","1","2019","1","100.4096898990079"
"2019","0","2019","0","101.1463836987692"
"2019","3","2019","3","101.1668820690024"
"2019","4","2019","4","100.1149202928237"
"2019","5","2019","5","102.66611544967"
"2019","6","2019","6","101.906741891242"
"2019","7","2019","7","101.5013250093511"
"2019","0","2019","0","102.6322"
"2019","9","2019","9","103.2627"
"2019","10","2019","10","102.4859"
"2019","11","2019","11","101.5335938585398"
"2019","0","2019","0","102.0219881374348"
"2018","1","2018","1","100.1109358245908"
"2018","0","2018","0","100.47938585398"
"2018","3","2018","3","100.7649397075326"
"2018","4","2018","4","100.962081470531"
"2018","5","2018","5","102.4363108490818"
"2018","6","2018","6","101.2078727535044"
"2018","7","2018","7","101.2021650072137"
"2018","0","2018","0","101.4584341770123"
"2018","9","2018","9","101.8050882567729"
"2018","10","2018","10","102.3040129668881"
"2018","11","2018","11","101.5810264859377"
"2018","0","2018","0","100.4633428922573"
"2017","1","2017","1","99.6242509306592"
"2017","0","2017","0","99.876808328732"
"2017","3","2017","3","100.6863527064817"
"2017","4","2017","4","101.2989444810573"
"2017","5","2017","5","101.4723099941222"
"2017","6","2017","6","101.8076299805853"
"2017","7","2017","7","103.193206454945"
"2017","0","2017","0","102.56170956308"
"2017","9","2017","9","102.1357595782199"
"2017","10","2017","10","101.6655445914896"
"2017","11","2017","11","101.9547439573945"
"2017","0","2017","0","103.3474438487434"
