annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","154.9542406351985"
"2024","0","2024","0","152.8745581796018"
"2024","3","2024","3","170.1299547180799"
"2024","4","2024","4","164.3802289336594"
"2024","5","2024","5","165.145453170533"
"2024","6","2024","6","156.054126517006"
"2024","7","2024","7","163.3145112154281"
"2024","0","2024","0","160.5592848538056"
"2024","9","2024","9","155.6554474877961"
"2024","10","2024","10","158.2830361564662"
"2023","1","2023","1","143.4883889891697"
"2023","0","2023","0","143.786547833935"
"2023","3","2023","3","145.4777301444043"
"2023","4","2023","4","164.1767057761733"
"2023","5","2023","5","160.180297833935"
"2023","6","2023","6","166.3613357400722"
"2023","7","2023","7","164.4198194945848"
"2023","0","2023","0","153.7089801444043"
"2023","9","2023","9","163.2540457085145"
"2023","10","2023","10","158.1761169573455"
"2023","11","2023","11","162.1347368193873"
"2023","0","2023","0","164.235220327704"
"2022","1","2022","1","133.6426940433213"
"2022","0","2022","0","125.7937184115523"
"2022","3","2022","3","134.8152797833935"
"2022","4","2022","4","128.727333032491"
"2022","5","2022","5","131.8552436823105"
"2022","6","2022","6","133.7629422382672"
"2022","7","2022","7","136.0618411552346"
"2022","0","2022","0","138.9861416967509"
"2022","9","2022","9","138.3908438628159"
"2022","10","2022","10","136.001642599278"
"2022","11","2022","11","144.7722653429603"
"2022","0","2022","0","146.6811507220216"
"2021","1","2021","1","112.4239530685921"
"2021","0","2021","0","121.8584702166065"
"2021","3","2021","3","116.2438131768953"
"2021","4","2021","4","126.5522202166065"
"2021","5","2021","5","122.815523465704"
"2021","6","2021","6","111.4927572202166"
"2021","7","2021","7","98.04087545126353"
"2021","0","2021","0","116.6931227436823"
"2021","9","2021","9","114.1310694945848"
"2021","10","2021","10","124.4228474729242"
"2021","11","2021","11","125.7002346570397"
"2021","0","2021","0","128.158583032491"
"2020","1","2020","1","112.475857400722"
"2020","0","2020","0","125.5835063176895"
"2020","3","2020","3","107.4553068592058"
"2020","4","2020","4","99.64599729241877"
"2020","5","2020","5","106.6702888086643"
"2020","6","2020","6","100.1951534296029"
"2020","7","2020","7","99.50485559566786"
"2020","0","2020","0","106.9811597472924"
"2020","9","2020","9","121.6577572202166"
"2020","10","2020","10","113.3369178700361"
"2020","11","2020","11","110.5277842960289"
"2020","0","2020","0","108.6353519855596"
"2019","1","2019","1","101.4823646209386"
"2019","0","2019","0","100.4897969314079"
"2019","3","2019","3","110.8382626353791"
"2019","4","2019","4","116.2311101083032"
"2019","5","2019","5","117.989953827238"
"2019","6","2019","6","123.7876037906137"
"2019","7","2019","7","118.8528203971119"
"2019","0","2019","0","101.3605"
"2019","9","2019","9","110.0035"
"2019","10","2019","10","116.0301"
"2019","11","2019","11","116.5277797833935"
"2019","0","2019","0","115.6987409747292"
"2018","1","2018","1","105.108023465704"
"2018","0","2018","0","114.6219539711191"
"2018","3","2018","3","108.4309160649819"
"2018","4","2018","4","110.6747427797834"
"2018","5","2018","5","108.5042012635379"
"2018","6","2018","6","108.36"
"2018","7","2018","7","107.0550496389892"
"2018","0","2018","0","109.7393998194946"
"2018","9","2018","9","116.2179196750903"
"2018","10","2018","10","111.8473871841155"
"2018","11","2018","11","110.9767463898917"
"2018","0","2018","0","108.2387093862816"
"2017","1","2017","1","102.9174323104693"
"2017","0","2017","0","93.14446750902528"
"2017","3","2017","3","96.25736913357402"
"2017","4","2017","4","100.6648375451264"
"2017","5","2017","5","109.0459115523466"
"2017","6","2017","6","104.365036101083"
"2017","7","2017","7","99.57449909747291"
"2017","0","2017","0","112.9755685920578"
"2017","9","2017","9","118.9384025270758"
"2017","10","2017","10","84.48144855595667"
"2017","11","2017","11","108.7102842960289"
"2017","0","2017","0","120.3140433212997"
