annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","126.8721209135796"
"2024","0","2024","0","126.8721209135796"
"2024","3","2024","3","126.8721209135796"
"2024","4","2024","4","126.8721209135796"
"2024","5","2024","5","126.8721209135796"
"2024","6","2024","6","128.026948091963"
"2024","7","2024","7","128.56518476772"
"2024","0","2024","0","129.2055963095736"
"2024","9","2024","9","129.8460009805748"
"2024","10","2024","10","131.126824064282"
"2023","1","2023","1","114.1808069164265"
"2023","0","2023","0","114.1808069164265"
"2023","3","2023","3","114.1808069164265"
"2023","4","2023","4","114.2283573487032"
"2023","5","2023","5","114.0013832853026"
"2023","6","2023","6","114.0013832853026"
"2023","7","2023","7","114.0013832853026"
"2023","0","2023","0","114.0013832853026"
"2023","9","2023","9","130.6540390600039"
"2023","10","2023","10","130.6540390600039"
"2023","11","2023","11","130.6540390600039"
"2023","0","2023","0","130.6540390600039"
"2022","1","2022","1","111.4581556195966"
"2022","0","2022","0","111.6122190201729"
"2022","3","2022","3","111.6122190201729"
"2022","4","2022","4","111.6122190201729"
"2022","5","2022","5","111.7719884726225"
"2022","6","2022","6","112.7457060518732"
"2022","7","2022","7","112.7457060518732"
"2022","0","2022","0","112.7457060518732"
"2022","9","2022","9","112.7457060518732"
"2022","10","2022","10","112.8414409221902"
"2022","11","2022","11","113.0804610951009"
"2022","0","2022","0","113.4691066282421"
"2021","1","2021","1","110.7557925072046"
"2021","0","2021","0","106.3187608069164"
"2021","3","2021","3","110.8937752161383"
"2021","4","2021","4","111.2888760806916"
"2021","5","2021","5","110.927492795389"
"2021","6","2021","6","110.927492795389"
"2021","7","2021","7","110.7683573487032"
"2021","0","2021","0","111.6128530259366"
"2021","9","2021","9","111.6128530259366"
"2021","10","2021","10","111.6128530259366"
"2021","11","2021","11","111.6128530259366"
"2021","0","2021","0","111.6128530259366"
"2020","1","2020","1","90.78904899135446"
"2020","0","2020","0","90.78904899135446"
"2020","3","2020","3","93.98305475504321"
"2020","4","2020","4","103.4751008645533"
"2020","5","2020","5","109.6331988472622"
"2020","6","2020","6","110.3341786743516"
"2020","7","2020","7","110.663227665706"
"2020","0","2020","0","109.9994236311239"
"2020","9","2020","9","110.1132853025936"
"2020","10","2020","10","107.0317291066282"
"2020","11","2020","11","108.2211239193083"
"2020","0","2020","0","110.92"
"2019","1","2019","1","79.99259365994236"
"2019","0","2019","0","92.79951008645533"
"2019","3","2019","3","98.25126801152737"
"2019","4","2019","4","88.9157060518732"
"2019","5","2019","5","99.22980985395868"
"2019","6","2019","6","88.9157060518732"
"2019","7","2019","7","99.27"
"2019","0","2019","0","86.9881"
"2019","9","2019","9","87.5209"
"2019","10","2019","10","84.6917"
"2019","11","2019","11","108.8010662824207"
"2019","0","2019","0","84.88556195965417"
"2018","1","2018","1","89.64547550432276"
"2018","0","2018","0","94.44"
"2018","3","2018","3","87.86835734870316"
"2018","4","2018","4","64.85233429394812"
"2018","5","2018","5","87.78608069164264"
"2018","6","2018","6","87.78919308357348"
"2018","7","2018","7","87.78919308357348"
"2018","0","2018","0","87.78919308357348"
"2018","9","2018","9","87.78919308357348"
"2018","10","2018","10","87.78919308357348"
"2018","11","2018","11","93.33000000000001"
"2018","0","2018","0","87.78919308357348"
"2017","1","2017","1","96.92118155619596"
"2017","0","2017","0","92.9056195965418"
"2017","3","2017","3","92.9056195965418"
"2017","4","2017","4","92.11247838616715"
"2017","5","2017","5","91.74832853025936"
"2017","6","2017","6","91.74832853025936"
"2017","7","2017","7","92.541469740634"
"2017","0","2017","0","92.541469740634"
"2017","9","2017","9","92.541469740634"
"2017","10","2017","10","92.541469740634"
"2017","11","2017","11","92.541469740634"
"2017","0","2017","0","92.27025936599424"
