annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","116.536310579552"
"2024","0","2024","0","120.0258267091282"
"2024","3","2024","3","124.4802858914844"
"2024","4","2024","4","130.8533680943154"
"2024","5","2024","5","129.6585784803029"
"2024","6","2024","6","141.3257344317359"
"2024","7","2024","7","146.8324170531418"
"2024","0","2024","0","156.1426040307389"
"2024","9","2024","9","149.0047928439066"
"2024","10","2024","10","141.5427495301252"
"2023","1","2023","1","104.9334134264145"
"2023","0","2023","0","112.3319904213004"
"2023","3","2023","3","102.4378447925968"
"2023","4","2023","4","107.4068926049192"
"2023","5","2023","5","105.6123857455962"
"2023","6","2023","6","107.261398652488"
"2023","7","2023","7","113.0922031009011"
"2023","0","2023","0","115.6573268934167"
"2023","9","2023","9","122.0938797633417"
"2023","10","2023","10","116.5516115790962"
"2023","11","2023","11","117.2188971373384"
"2023","0","2023","0","120.686846899419"
"2022","1","2022","1","110.9498295316178"
"2022","0","2022","0","102.8702613848527"
"2022","3","2022","3","104.8775014205699"
"2022","4","2022","4","106.899846578456"
"2022","5","2022","5","101.3635660362042"
"2022","6","2022","6","102.3671418134589"
"2022","7","2022","7","101.1946854452472"
"2022","0","2022","0","99.82024433801446"
"2022","9","2022","9","101.805654679763"
"2022","10","2022","10","110.8755767513597"
"2022","11","2022","11","113.9601177043591"
"2022","0","2022","0","105.1904805584869"
"2021","1","2021","1","99.53634385907947"
"2021","0","2021","0","98.42413751116162"
"2021","3","2021","3","103.69995941229"
"2021","4","2021","4","109.4922380063317"
"2021","5","2021","5","104.6500251643802"
"2021","6","2021","6","105.5953965419271"
"2021","7","2021","7","97.65405390047893"
"2021","0","2021","0","108.7505438753146"
"2021","9","2021","9","100.4121681954704"
"2021","10","2021","10","105.2390632356523"
"2021","11","2021","11","106.1053169900154"
"2021","0","2021","0","110.2723597694618"
"2020","1","2020","1","109.1971580485429"
"2020","0","2020","0","111.3765995616527"
"2020","3","2020","3","108.7422518061531"
"2020","4","2020","4","105.2342527802581"
"2020","5","2020","5","109.7562107313905"
"2020","6","2020","6","103.911427063885"
"2020","7","2020","7","108.6397102037503"
"2020","0","2020","0","109.268472278594"
"2020","9","2020","9","107.703532754282"
"2020","10","2020","10","112.7102914197581"
"2020","11","2020","11","109.1884706550857"
"2020","0","2020","0","105.8825562139784"
"2019","1","2019","1","103.0916665313743"
"2019","0","2019","0","111.9899342479097"
"2019","3","2019","3","110.433577400763"
"2019","4","2019","4","104.2470151798036"
"2019","5","2019","5","107.9043772939409"
"2019","6","2019","6","109.211358064778"
"2019","7","2019","7","108.3113304651352"
"2019","0","2019","0","100.7229"
"2019","9","2019","9","104.5701"
"2019","10","2019","10","99.2297"
"2019","11","2019","11","107.4972481532592"
"2019","0","2019","0","112.7737957626431"
"2018","1","2018","1","107.7442073220229"
"2018","0","2018","0","105.6542974267392"
"2018","3","2018","3","115.5822988878967"
"2018","4","2018","4","104.5550629109506"
"2018","5","2018","5","100.9198969072165"
"2018","6","2018","6","112.1101112103255"
"2018","7","2018","7","104.8057983602565"
"2018","0","2018","0","109.7047560678626"
"2018","9","2018","9","105.3384414319344"
"2018","10","2018","10","116.6818378115107"
"2018","11","2018","11","113.1871166490787"
"2018","0","2018","0","110.3847479503206"
"2017","1","2017","1","110.4624669210163"
"2017","0","2017","0","110.4722420651027"
"2017","3","2017","3","100.2911129150094"
"2017","4","2017","4","105.6338469031577"
"2017","5","2017","5","107.529310820683"
"2017","6","2017","6","108.6"
"2017","7","2017","7","110.3"
"2017","0","2017","0","105.323413426414"
"2017","9","2017","9","107.582773764104"
"2017","10","2017","10","107.8902362204724"
"2017","11","2017","11","107.8296192872798"
"2017","0","2017","0","109.3043193441026"
