annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","101.5071406922268"
"2024","0","2024","0","101.5071406922268"
"2024","3","2024","3","101.579125388893"
"2024","4","2024","4","101.557715069106"
"2024","5","2024","5","103.4092241642516"
"2024","6","2024","6","103.4634419639299"
"2024","7","2024","7","103.2694067721857"
"2024","0","2024","0","103.2694067721857"
"2024","9","2024","9","103.2694067721857"
"2024","10","2024","10","103.2373830033771"
"2023","1","2023","1","101.4168433027219"
"2023","0","2023","0","101.4168433027219"
"2023","3","2023","3","101.4168433027219"
"2023","4","2023","4","102.6337780259783"
"2023","5","2023","5","101.4168433027219"
"2023","6","2023","6","101.4168433027219"
"2023","7","2023","7","101.4168433027219"
"2023","0","2023","0","101.4168433027219"
"2023","9","2023","9","101.4177362459452"
"2023","10","2023","10","101.4177362459452"
"2023","11","2023","11","101.5071406922268"
"2023","0","2023","0","101.5071406922268"
"2022","1","2022","1","101.0215504260776"
"2022","0","2022","0","101.0215504260776"
"2022","3","2022","3","101.0215504260776"
"2022","4","2022","4","101.0215504260776"
"2022","5","2022","5","101.0215504260776"
"2022","6","2022","6","101.0215504260776"
"2022","7","2022","7","101.0215504260776"
"2022","0","2022","0","101.0215504260776"
"2022","9","2022","9","101.0215504260776"
"2022","10","2022","10","101.3579254571027"
"2022","11","2022","11","101.4168433027219"
"2022","0","2022","0","101.4168433027219"
"2021","1","2021","1","97.30334202035242"
"2021","0","2021","0","97.78025440555967"
"2021","3","2021","3","97.78025440555967"
"2021","4","2021","4","101.0254136675767"
"2021","5","2021","5","101.0254136675767"
"2021","6","2021","6","101.0095511706792"
"2021","7","2021","7","101.0299458095474"
"2021","0","2021","0","101.0254136675767"
"2021","9","2021","9","101.0254136675767"
"2021","10","2021","10","101.0254136675767"
"2021","11","2021","11","101.0254136675767"
"2021","0","2021","0","101.0197484901133"
"2020","1","2020","1","96.14330934061384"
"2020","0","2020","0","96.14330934061384"
"2020","3","2020","3","96.14330934061384"
"2020","4","2020","4","96.13631546289398"
"2020","5","2020","5","96.13631546289398"
"2020","6","2020","6","96.13631546289398"
"2020","7","2020","7","96.13631546289398"
"2020","0","2020","0","96.13631546289398"
"2020","9","2020","9","96.13631546289398"
"2020","10","2020","10","96.14651278232809"
"2020","11","2020","11","96.14651278232809"
"2020","0","2020","0","96.80810995284187"
"2019","1","2019","1","93.70817034830807"
"2019","0","2019","0","94.64688053280382"
"2019","3","2019","3","94.62675270952259"
"2019","4","2019","4","95.16999999999999"
"2019","5","2019","5","94.6404969134803"
"2019","6","2019","6","95.7573765202283"
"2019","7","2019","7","95.68044386530981"
"2019","0","2019","0","96.411"
"2019","9","2019","9","96.47420000000001"
"2019","10","2019","10","96.47420000000001"
"2019","11","2019","11","95.70142549846939"
"2019","0","2019","0","95.70142549846939"
"2018","1","2018","1","95.23744063870271"
"2018","0","2018","0","93.18823446678248"
"2018","3","2018","3","93.18823446678248"
"2018","4","2018","4","93.18823446678248"
"2018","5","2018","5","93.66514685198972"
"2018","6","2018","6","93.66514685198972"
"2018","7","2018","7","93.66514685198972"
"2018","0","2018","0","93.18823446678248"
"2018","9","2018","9","93.66514685198972"
"2018","10","2018","10","93.66514685198972"
"2018","11","2018","11","93.66514685198972"
"2018","0","2018","0","94.95006577314469"
"2017","1","2017","1","97.20222098121948"
"2017","0","2017","0","97.17704848183998"
"2017","3","2017","3","97.65396086704722"
"2017","4","2017","4","95.66"
"2017","5","2017","5","96.49812360387192"
"2017","6","2017","6","96.8545623397038"
"2017","7","2017","7","97.71435302391"
"2017","0","2017","0","95.70735914619009"
"2017","9","2017","9","95.71435302390996"
"2017","10","2017","10","95.71435302390996"
"2017","11","2017","11","95.4022222222222"
"2017","0","2017","0","95.6827235873252"
