annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","120.4950904653139"
"2024","0","2024","0","123.0744851745569"
"2024","3","2024","3","124.2149510316032"
"2024","4","2024","4","122.8200483177351"
"2024","5","2024","5","123.0658452472218"
"2024","6","2024","6","123.1622721453903"
"2024","7","2024","7","123.0636692336693"
"2024","0","2024","0","120.9633104955613"
"2024","9","2024","9","121.121575591052"
"2024","10","2024","10","121.2916214359911"
"2023","1","2023","1","120.1104048582996"
"2023","0","2023","0","119.9838663967612"
"2023","3","2023","3","119.5454615384616"
"2023","4","2023","4","119.5379797570851"
"2023","5","2023","5","119.4331821862349"
"2023","6","2023","6","120.137089068826"
"2023","7","2023","7","119.1976639676114"
"2023","0","2023","0","119.1976639676114"
"2023","9","2023","9","118.4837947152398"
"2023","10","2023","10","118.4837947152398"
"2023","11","2023","11","118.6479326153571"
"2023","0","2023","0","119.9422939634511"
"2022","1","2022","1","117.4324089068826"
"2022","0","2022","0","116.9404777327935"
"2022","3","2022","3","116.6654291497976"
"2022","4","2022","4","116.4364412955466"
"2022","5","2022","5","118.0528340080972"
"2022","6","2022","6","118.5974251012146"
"2022","7","2022","7","118.0033117408907"
"2022","0","2022","0","118.2212793522267"
"2022","9","2022","9","119.3599311740891"
"2022","10","2022","10","119.1874939271255"
"2022","11","2022","11","119.7712753036437"
"2022","0","2022","0","119.5368056680162"
"2021","1","2021","1","111.7942186234818"
"2021","0","2021","0","112.2255465587045"
"2021","3","2021","3","112.5252753036438"
"2021","4","2021","4","112.6124331983806"
"2021","5","2021","5","118.4972024291498"
"2021","6","2021","6","120.6043400809717"
"2021","7","2021","7","120.5002024291498"
"2021","0","2021","0","120.4818097165992"
"2021","9","2021","9","120.584995951417"
"2021","10","2021","10","114.9892064777328"
"2021","11","2021","11","115.7062469635628"
"2021","0","2021","0","117.6573400809717"
"2020","1","2020","1","109.3549433198381"
"2020","0","2020","0","109.128995951417"
"2020","3","2020","3","108.6708421052632"
"2020","4","2020","4","108.450032388664"
"2020","5","2020","5","109.0193684210526"
"2020","6","2020","6","108.3757004048583"
"2020","7","2020","7","108.5142267206478"
"2020","0","2020","0","107.6134696356275"
"2020","9","2020","9","109.8031214574899"
"2020","10","2020","10","108.2756032388664"
"2020","11","2020","11","109.1184453441296"
"2020","0","2020","0","112.0177975708502"
"2019","1","2019","1","106.0108461538462"
"2019","0","2019","0","107.2936437246964"
"2019","3","2019","3","105.6061174089069"
"2019","4","2019","4","90.39167611336033"
"2019","5","2019","5","106.1694001760254"
"2019","6","2019","6","105.504024291498"
"2019","7","2019","7","105.3068542510122"
"2019","0","2019","0","104.1109"
"2019","9","2019","9","102.0459"
"2019","10","2019","10","104.1924"
"2019","11","2019","11","106.4352914979757"
"2019","0","2019","0","108.4936761133604"
"2018","1","2018","1","102.7503279352227"
"2018","0","2018","0","102.524052631579"
"2018","3","2018","3","102.8079352226721"
"2018","4","2018","4","102.6167489878543"
"2018","5","2018","5","102.8983805668016"
"2018","6","2018","6","102.5012510121458"
"2018","7","2018","7","103.0663927125506"
"2018","0","2018","0","104.4960809716599"
"2018","9","2018","9","104.4265587044535"
"2018","10","2018","10","104.217991902834"
"2018","11","2018","11","105.0925748987855"
"2018","0","2018","0","106.1875506072875"
"2017","1","2017","1","98.57115789473687"
"2017","0","2017","0","98.82242105263158"
"2017","3","2017","3","98.24886234817816"
"2017","4","2017","4","98.16665182186239"
"2017","5","2017","5","98.35368421052634"
"2017","6","2017","6","102.1994898785425"
"2017","7","2017","7","98.01223886639677"
"2017","0","2017","0","101.7229352226721"
"2017","9","2017","9","98.07000809716601"
"2017","10","2017","10","101.630072874494"
"2017","11","2017","11","101.9834777327935"
"2017","0","2017","0","105.1182995951417"
