annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","129.1866624999387"
"2024","0","2024","0","129.6808700453704"
"2024","3","2024","3","128.2648532873567"
"2024","4","2024","4","127.3906023505165"
"2024","5","2024","5","127.6358338682348"
"2024","6","2024","6","128.0595126283041"
"2024","7","2024","7","128.0598176110191"
"2024","0","2024","0","128.0438592607248"
"2024","9","2024","9","128.2401562504936"
"2024","10","2024","10","128.2401562504936"
"2023","1","2023","1","128.7527829630603"
"2023","0","2023","0","128.7704009464966"
"2023","3","2023","3","129.1926265281977"
"2023","4","2023","4","129.2352662021822"
"2023","5","2023","5","130.2845313527015"
"2023","6","2023","6","131.4002694886289"
"2023","7","2023","7","130.6611818062311"
"2023","0","2023","0","130.6611818062311"
"2023","9","2023","9","130.6627440769124"
"2023","10","2023","10","130.6627440769124"
"2023","11","2023","11","129.6542085986322"
"2023","0","2023","0","131.1706513037136"
"2022","1","2022","1","121.2097646904167"
"2022","0","2022","0","121.387178914158"
"2022","3","2022","3","121.3815485736821"
"2022","4","2022","4","122.5999171815433"
"2022","5","2022","5","122.4475404232943"
"2022","6","2022","6","124.1097778362035"
"2022","7","2022","7","124.1070882082293"
"2022","0","2022","0","124.3300512685684"
"2022","9","2022","9","123.3919784409097"
"2022","10","2022","10","123.7215590903116"
"2022","11","2022","11","127.894476140397"
"2022","0","2022","0","129.9812619955304"
"2021","1","2021","1","111.8618798475089"
"2021","0","2021","0","111.8981017483897"
"2021","3","2021","3","112.4256710924149"
"2021","4","2021","4","112.4361364532667"
"2021","5","2021","5","112.9370750624425"
"2021","6","2021","6","111.4659116603129"
"2021","7","2021","7","112.2149612199291"
"2021","0","2021","0","111.7026593926647"
"2021","9","2021","9","111.7210385171553"
"2021","10","2021","10","111.2936256079927"
"2021","11","2021","11","113.3791310634942"
"2021","0","2021","0","114.4923465229394"
"2020","1","2020","1","108.6893335086105"
"2020","0","2020","0","108.5845694754831"
"2020","3","2020","3","108.1615643486263"
"2020","4","2020","4","108.3305902458262"
"2020","5","2020","5","109.8986026028658"
"2020","6","2020","6","109.8578348889181"
"2020","7","2020","7","110.0364361772052"
"2020","0","2020","0","109.7615209675299"
"2020","9","2020","9","109.2683962140134"
"2020","10","2020","10","109.5492138819508"
"2020","11","2020","11","109.9227106612331"
"2020","0","2020","0","113.7323899040358"
"2019","1","2019","1","107.3250558695938"
"2019","0","2019","0","106.3442342579203"
"2019","3","2019","3","106.2795990535034"
"2019","4","2019","4","107.0231339555672"
"2019","5","2019","5","106.9478523251849"
"2019","6","2019","6","107.0231339555672"
"2019","7","2019","7","106.9123254896806"
"2019","0","2019","0","106.8478"
"2019","9","2019","9","106.6464"
"2019","10","2019","10","106.726"
"2019","11","2019","11","107.5978808991718"
"2019","0","2019","0","109.7746536085185"
"2018","1","2018","1","104.2586486131195"
"2018","0","2018","0","104.8330695412121"
"2018","3","2018","3","104.6482976206126"
"2018","4","2018","4","103.9092099382148"
"2018","5","2018","5","104.0311042460891"
"2018","6","2018","6","103.7178519784409"
"2018","7","2018","7","104.5196845011174"
"2018","0","2018","0","104.7761430261601"
"2018","9","2018","9","104.7909504403839"
"2018","10","2018","10","104.7909504403839"
"2018","11","2018","11","105.1290653345603"
"2018","0","2018","0","107.6797449717366"
"2017","1","2017","1","100.134916524254"
"2017","0","2017","0","100.4011581438149"
"2017","3","2017","3","101.1266267911135"
"2017","4","2017","4","100.7520165636914"
"2017","5","2017","5","102.5275259629289"
"2017","6","2017","6","102.8402169054818"
"2017","7","2017","7","103.4432969633233"
"2017","0","2017","0","102.5632903904299"
"2017","9","2017","9","103.873420533719"
"2017","10","2017","10","104.7906152228211"
"2017","11","2017","11","106.101854870514"
"2017","0","2017","0","107.8841290916261"
