annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","111.3602883206912"
"2024","0","2024","0","111.947149962969"
"2024","3","2024","3","112.5143101960773"
"2024","4","2024","4","113.0364717048789"
"2024","5","2024","5","113.0281359995745"
"2024","6","2024","6","112.8969001371703"
"2024","7","2024","7","113.7603003825089"
"2024","0","2024","0","113.6595540683988"
"2024","9","2024","9","114.9727351056644"
"2024","10","2024","10","115.3364216626968"
"2023","1","2023","1","110.3465727923628"
"2023","0","2023","0","110.4385202863962"
"2023","3","2023","3","100.537446300716"
"2023","4","2023","4","110.2288257756563"
"2023","5","2023","5","111.6839713603819"
"2023","6","2023","6","110.5697756563246"
"2023","7","2023","7","111.5801766109785"
"2023","0","2023","0","111.7411599045346"
"2023","9","2023","9","111.6292575947706"
"2023","10","2023","10","111.2966324605917"
"2023","11","2023","11","111.2066532774582"
"2023","0","2023","0","111.7304026084749"
"2022","1","2022","1","110.1863150357995"
"2022","0","2022","0","110.0897374701671"
"2022","3","2022","3","110.3338949880668"
"2022","4","2022","4","110.2071217183771"
"2022","5","2022","5","109.8456133651551"
"2022","6","2022","6","109.9886730310263"
"2022","7","2022","7","108.7006682577566"
"2022","0","2022","0","108.8696515513126"
"2022","9","2022","9","109.4739331742244"
"2022","10","2022","10","111.1408257756563"
"2022","11","2022","11","110.9522816229117"
"2022","0","2022","0","111.0801622911695"
"2021","1","2021","1","108.249307875895"
"2021","0","2021","0","108.0706491646778"
"2021","3","2021","3","107.9918949880668"
"2021","4","2021","4","107.8218949880668"
"2021","5","2021","5","108.9032315035799"
"2021","6","2021","6","108.7788544152745"
"2021","7","2021","7","109.4290835322196"
"2021","0","2021","0","109.2190023866349"
"2021","9","2021","9","108.6752649164678"
"2021","10","2021","10","109.9894272076372"
"2021","11","2021","11","109.8007971360382"
"2021","0","2021","0","109.7126825775656"
"2020","1","2020","1","106.5461002386635"
"2020","0","2020","0","106.2065059665871"
"2020","3","2020","3","106.1189976133652"
"2020","4","2020","4","105.4274033412888"
"2020","5","2020","5","105.6706491646778"
"2020","6","2020","6","106.5337088305489"
"2020","7","2020","7","106.9889116945108"
"2020","0","2020","0","107.0674558472554"
"2020","9","2020","9","106.7605011933174"
"2020","10","2020","10","107.2334224343675"
"2020","11","2020","11","107.3837899761337"
"2020","0","2020","0","110.582892601432"
"2019","1","2019","1","107.5845059665871"
"2019","0","2019","0","106.1406682577566"
"2019","3","2019","3","107.691723150358"
"2019","4","2019","4","105.5606443914081"
"2019","5","2019","5","107.9985058605145"
"2019","6","2019","6","106.0114988066826"
"2019","7","2019","7","105.5695417661098"
"2019","0","2019","0","105.5146"
"2019","9","2019","9","106.8545"
"2019","10","2019","10","106.4053"
"2019","11","2019","11","106.4501145584725"
"2019","0","2019","0","105.8861813842482"
"2018","1","2018","1","105.5059045346062"
"2018","0","2018","0","105.1373603818616"
"2018","3","2018","3","107.1989164677804"
"2018","4","2018","4","103.5171121718377"
"2018","5","2018","5","103.3445775656325"
"2018","6","2018","6","103.724062052506"
"2018","7","2018","7","103.6723293556086"
"2018","0","2018","0","107.658415274463"
"2018","9","2018","9","104.0993747016707"
"2018","10","2018","10","103.6758472553699"
"2018","11","2018","11","103.7117756563246"
"2018","0","2018","0","103.777799522673"
"2017","1","2017","1","101.4899522673031"
"2017","0","2017","0","99.26116945107398"
"2017","3","2017","3","99.72538424821002"
"2017","4","2017","4","100.4246491646778"
"2017","5","2017","5","99.84406205250596"
"2017","6","2017","6","104.4812792362769"
"2017","7","2017","7","104.7331885441528"
"2017","0","2017","0","104.7634176610978"
"2017","9","2017","9","105.0342911694511"
"2017","10","2017","10","105.0035465393795"
"2017","11","2017","11","106.6318663484487"
"2017","0","2017","0","106.1616992840095"
