annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","108.39744075541"
"2024","0","2024","0","108.384444188555"
"2024","3","2024","3","108.7377783709912"
"2024","4","2024","4","108.8080562236933"
"2024","5","2024","5","108.8080562236933"
"2024","6","2024","6","108.8335976187498"
"2024","7","2024","7","108.8335953378503"
"2024","0","2024","0","108.7419214145368"
"2024","9","2024","9","108.7419214145368"
"2024","10","2024","10","108.7419214145368"
"2023","1","2023","1","109.0639566787004"
"2023","0","2023","0","109.1629025270758"
"2023","3","2023","3","107.656036101083"
"2023","4","2023","4","107.979393501805"
"2023","5","2023","5","107.8837256317689"
"2023","6","2023","6","107.8837256317689"
"2023","7","2023","7","108.0367942238267"
"2023","0","2023","0","107.6483826714801"
"2023","9","2023","9","107.5499477971758"
"2023","10","2023","10","107.5499477971758"
"2023","11","2023","11","107.2566583010261"
"2023","0","2023","0","108.2236035808326"
"2022","1","2022","1","108.0461227436823"
"2022","0","2022","0","108.2680722021661"
"2022","3","2022","3","107.515285198556"
"2022","4","2022","4","107.7238411552347"
"2022","5","2022","5","107.693725631769"
"2022","6","2022","6","107.693725631769"
"2022","7","2022","7","107.7594079422383"
"2022","0","2022","0","107.1088664259928"
"2022","9","2022","9","107.1438483754512"
"2022","10","2022","10","107.0167797833935"
"2022","11","2022","11","106.929357400722"
"2022","0","2022","0","109.0224115523466"
"2021","1","2021","1","106.558"
"2021","0","2021","0","106.4566209386282"
"2021","3","2021","3","105.6221371841155"
"2021","4","2021","4","106.2970974729242"
"2021","5","2021","5","106.7070108303249"
"2021","6","2021","6","107.7688447653429"
"2021","7","2021","7","107.6443104693141"
"2021","0","2021","0","106.6365992779783"
"2021","9","2021","9","107.0826353790614"
"2021","10","2021","10","106.9716606498195"
"2021","11","2021","11","106.8287292418772"
"2021","0","2021","0","108.5422527075812"
"2020","1","2020","1","106.6282527075812"
"2020","0","2020","0","106.262274368231"
"2020","3","2020","3","106.0274296028881"
"2020","4","2020","4","105.9145415162455"
"2020","5","2020","5","105.8876895306859"
"2020","6","2020","6","105.8394007220217"
"2020","7","2020","7","105.5496678700361"
"2020","0","2020","0","106.7316389891697"
"2020","9","2020","9","107.0376028880867"
"2020","10","2020","10","105.8528519855596"
"2020","11","2020","11","104.2260216606498"
"2020","0","2020","0","106.7934440433213"
"2019","1","2019","1","104.1667870036101"
"2019","0","2019","0","104.2284693140794"
"2019","3","2019","3","105.9553862815884"
"2019","4","2019","4","104.4588158844765"
"2019","5","2019","5","103.9047530371998"
"2019","6","2019","6","104.4588158844765"
"2019","7","2019","7","103.9237689530686"
"2019","0","2019","0","104.1521"
"2019","9","2019","9","104.1839"
"2019","10","2019","10","104.2257"
"2019","11","2019","11","104.2630469314079"
"2019","0","2019","0","105.5215379061372"
"2018","1","2018","1","101.8846570397112"
"2018","0","2018","0","101.7870758122744"
"2018","3","2018","3","102.0989530685921"
"2018","4","2018","4","97.2106931407942"
"2018","5","2018","5","99.06940794223824"
"2018","6","2018","6","103.548844765343"
"2018","7","2018","7","102.6870902527076"
"2018","0","2018","0","102.9881444043321"
"2018","9","2018","9","103.4952707581227"
"2018","10","2018","10","103.4952707581227"
"2018","11","2018","11","104.3841083032491"
"2018","0","2018","0","104.7437328519855"
"2017","1","2017","1","96.83864259927797"
"2017","0","2017","0","100.6572274368231"
"2017","3","2017","3","101.2976895306859"
"2017","4","2017","4","97.96577617328519"
"2017","5","2017","5","99.10484476534296"
"2017","6","2017","6","99.10484476534296"
"2017","7","2017","7","101.3916317689531"
"2017","0","2017","0","101.307761732852"
"2017","9","2017","9","101.307761732852"
"2017","10","2017","10","101.307761732852"
"2017","11","2017","11","100.8267653429603"
"2017","0","2017","0","103.9655162454874"
