annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","111.63838548797057"
"2024","2","2024","2","111.78358870112869"
"2024","3","2024","3","111.06607116605826"
"2024","4","2024","4","110.63236126486642"
"2024","5","2024","5","110.63236126486642"
"2024","6","2024","6","110.70592849005546"
"2024","7","2024","7","110.7065964339955"
"2024","0","2024","0","110.7065964339955"
"2024","9","2024","9","111.62432796068836"
"2024","10","2024","10","111.95183567054232"
"2023","1","2023","1","111.39361950968737"
"2023","2","2023","2","111.39361950968737"
"2023","3","2023","3","111.05856665488545"
"2023","4","2023","4","111.41020756353822"
"2023","5","2023","5","111.09303023487453"
"2023","6","2023","6","111.04685923593483"
"2023","7","2023","7","111.10217009928348"
"2023","0","2023","0","111.10270025383156"
"2023","9","2023","9","111.675405502319"
"2023","10","2023","10","111.569929122924"
"2023","11","2023","11","111.560368537902"
"2023","0","2023","0","111.552858352661"
"2022","1","2022","1","110.62297850464286"
"2022","2","2022","2","110.83540082896893"
"2022","3","2022","3","110.83540082896893"
"2022","4","2022","4","110.83540082896893"
"2022","5","2022","5","110.09170966809111"
"2022","6","2022","6","110.76854866176139"
"2022","7","2022","7","110.76854866176139"
"2022","0","2022","0","110.87058766828392"
"2022","9","2022","9","111.11248819201234"
"2022","10","2022","10","110.39198181409246"
"2022","11","2022","11","111.29905953796226"
"2022","0","2022","0","111.3853773736465"
"2021","1","2021","1","109.55807762747807"
"2021","2","2021","2","109.55280435690646"
"2021","3","2021","3","109.5395716993863"
"2021","4","2021","4","109.50526363139801"
"2021","5","2021","5","109.71012948623203"
"2021","6","2021","6","109.83243260611123"
"2021","7","2021","7","109.93383960415126"
"2021","0","2021","0","109.8365385727597"
"2021","9","2021","9","109.87774218423674"
"2021","10","2021","10","109.98576583234265"
"2021","11","2021","11","110.2141776178389"
"2021","0","2021","0","109.89993959451209"
"2020","1","2020","1","105.26468624489927"
"2020","2","2020","2","105.26468624489927"
"2020","3","2020","3","105.27401696494553"
"2020","4","2020","4","105.27401696494553"
"2020","5","2020","5","105.29965523889086"
"2020","6","2020","6","105.28594062269059"
"2020","7","2020","7","105.24132345853549"
"2020","0","2020","0","105.0479584230312"
"2020","9","2020","9","105.75327539118979"
"2020","10","2020","10","108.21826527005751"
"2020","11","2020","11","109.47913183176428"
"2020","0","2020","0","109.55066606689587"
"2019","1","2019","1","103.77250040163223"
"2019","2","2019","2","103.91547119493622"
"2019","3","2019","3","103.85176910966166"
"2019","4","2019","4","103.7794142595508"
"2019","5","2019","5","103.78915496578092"
"2019","6","2019","6","103.79027889342288"
"2019","7","2019","7","103.82652475661087"
"2019","0","2019","0","103.53966134370079"
"2019","9","2019","9","105.51499914532661"
"2019","10","2019","10","105.5606276740674"
"2019","11","2019","11","105.39004819586799"
"2019","0","2019","0","105.24574494746649"
"2018","1","2018","1","137.5"
"2018","2","2018","2","137.5"
"2018","3","2018","3","137.6"
"2018","4","2018","4","137.1"
"2018","5","2018","5","137.1"
"2018","6","2018","6","137.1"
"2018","7","2018","7","137.1"
"2018","0","2018","0","137.3"
"2018","9","2018","9","137.8"
"2018","10","2018","10","137.9"
"2018","11","2018","11","137.9"
"2018","0","2018","0","138.1"
"2017","1","2017","1","136.9"
"2017","2","2017","2","137.2"
"2017","3","2017","3","137.4"
"2017","4","2017","4","138.1"
"2017","5","2017","5","137.9"
"2017","6","2017","6","136.8"
"2017","7","2017","7","137.4"
"2017","0","2017","0","137.6"
"2017","9","2017","9","137.0"
"2017","10","2017","10","137.1"
"2017","11","2017","11","137.5"
"2017","0","2017","0","137.5"
"2016","1","2016","1","134.6"
"2016","2","2016","2","134.6"
"2016","3","2016","3","134.6"
"2016","4","2016","4","134.6"
"2016","5","2016","5","134.6"
"2016","6","2016","6","134.6"
"2016","7","2016","7","134.6"
"2016","0","2016","0","135.0"
"2016","9","2016","9","137.1"
"2016","10","2016","10","137.5"
"2016","11","2016","11","137.1"
"2016","0","2016","0","137.1"
"2015","1","2015","1","132.5"
"2015","2","2015","2","132.5"
"2015","3","2015","3","132.49"
"2015","4","2015","4","132.49"
"2015","5","2015","5","132.41"
"2015","6","2015","6","132.41"
"2015","7","2015","7","132.41"
"2015","0","2015","0","132.41"
"2015","9","2015","9","132.49"
"2015","10","2015","10","132.41"
"2015","11","2015","11","132.49"
"2015","0","2015","0","134.56"
"2014","1","2014","1","134.97283539069676"
"2014","2","2014","2","135.11996644372996"
"2014","3","2014","3","132.87"
"2014","4","2014","4","132.87"
"2014","5","2014","5","132.89"
"2014","6","2014","6","132.88"
"2014","7","2014","7","132.88"
"2014","0","2014","0","132.88"
"2014","9","2014","9","132.31"
"2014","10","2014","10","132.4"
"2014","11","2014","11","132.49"
"2014","0","2014","0","132.49"
"2013","1","2013","1","131.46720817777495"
"2013","2","2013","2","132.4934725243105"
"2013","3","2013","3","132.7560579649584"
"2013","4","2013","4","132.71883520029357"
"2013","5","2013","5","131.8976298620394"
"2013","6","2013","6","131.93660101884566"
"2013","7","2013","7","131.96598930616983"
"2013","0","2013","0","131.96598930616983"
"2013","9","2013","9","133.90019803321016"
"2013","10","2013","10","134.1231984261102"
"2013","11","2013","11","134.24602259469265"
"2013","0","2013","0","134.89724164587608"
"2012","1","2012","1","103.27621583853663"
"2012","2","2012","2","102.92327494185608"
"2012","3","2012","3","103.31377845629487"
"2012","4","2012","4","103.31377845629487"
"2012","5","2012","5","103.31377845629487"
"2012","6","2012","6","103.4202718973965"
"2012","7","2012","7","103.46046529212649"
"2012","0","2012","0","103.46046529212649"
"2012","9","2012","9","104.17772934783986"
"2012","10","2012","10","107.07585357878575"
"2012","11","2012","11","115.2008897593135"
"2012","0","2012","0","115.28209869197055"
"2011","1","2011","1","102.66721178846399"
"2011","2","2011","2","102.83439428011269"
"2011","3","2011","3","102.83439428011269"
"2011","4","2011","4","103.38150890894782"
"2011","5","2011","5","103.38150890894782"
"2011","6","2011","6","103.4"
"2011","7","2011","7","103.3902714600635"
"2011","0","2011","0","103.36432095363729"
"2011","9","2011","9","103.32089394304353"
"2011","10","2011","10","102.95956451007173"
"2011","11","2011","11","103.92024007186886"
"2011","0","2011","0","103.57688980156313"
"2010","1","2010","1","134.284"
"2010","2","2010","2","134.347"
"2010","3","2010","3","134.347"
"2010","4","2010","4","98.83693372424172"
"2010","5","2010","5","98.8"
"2010","6","2010","6","98.59164858858327"
"2010","7","2010","7","99.54978172276972"
"2010","0","2010","0","99.54373166959505"
"2010","9","2010","9","99.58191501186968"
"2010","10","2010","10","101.62023966413642"
"2010","11","2010","11","102.10095609687217"
"2010","0","2010","0","102.80837069914017"
"2009","1","2009","1","134.333"
"2009","2","2009","2","134.333"
"2009","3","2009","3","134.333"
"2009","4","2009","4","133.327"
"2009","5","2009","5","133.327"
"2009","6","2009","6","133.327"
"2009","7","2009","7","133.327"
"2009","0","2009","0","133.327"
"2009","9","2009","9","133.327"
"2009","10","2009","10","133.545"
"2009","11","2009","11","134.284"
"2009","0","2009","0","134.284"
"2008","1","2008","1","129.0"
"2008","2","2008","2","130.2"
"2008","3","2008","3","130.2"
"2008","4","2008","4","130.2"
"2008","5","2008","5","130.2"
"2008","6","2008","6","130.272"
"2008","7","2008","7","130.272"
"2008","0","2008","0","130.272"
"2008","9","2008","9","131.781"
"2008","10","2008","10","132.932"
"2008","11","2008","11","132.932"
"2008","0","2008","0","134.333"
"2007","1","2007","1","129.063"
"2007","2","2007","2","129.063"
"2007","3","2007","3","129.063"
"2007","4","2007","4","128.944"
"2007","5","2007","5","128.944"
"2007","6","2007","6","128.944"
"2007","7","2007","7","128.9"
"2007","0","2007","0","130.0"
"2007","9","2007","9","130.3"
"2007","10","2007","10","128.6"
"2007","11","2007","11","128.6"
"2007","0","2007","0","128.6"
"2006","1","2006","1","125.116"
"2006","2","2006","2","125.116"
"2006","3","2006","3","125.116"
"2006","4","2006","4","125.116"
"2006","5","2006","5","125.116"
"2006","6","2006","6","125.116"
"2006","7","2006","7","125.1"
"2006","0","2006","0","125.1"
"2006","9","2006","9","125.1"
"2006","10","2006","10","127.4"
"2006","11","2006","11","128.6"
"2006","0","2006","0","129.1"
"2005","1","2005","1","122.056"
"2005","2","2005","2","122.056"
"2005","3","2005","3","122.056"
"2005","4","2005","4","122.056"
"2005","5","2005","5","122.056"
