annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","127.4804838510698"
"2024","0","2024","0","127.4804838510698"
"2024","3","2024","3","121.1275120261825"
"2024","4","2024","4","120.1501321580957"
"2024","5","2024","5","120.1501321580957"
"2024","6","2024","6","120.919776758785"
"2024","7","2024","7","120.9199216042827"
"2024","0","2024","0","120.9199216042827"
"2024","9","2024","9","120.9199216042827"
"2024","10","2024","10","120.9199216042827"
"2023","1","2023","1","127.4808220764184"
"2023","0","2023","0","127.4808220764184"
"2023","3","2023","3","127.5247626399074"
"2023","4","2023","4","127.4808220764184"
"2023","5","2023","5","127.4808220764184"
"2023","6","2023","6","127.4808220764184"
"2023","7","2023","7","127.4808220764184"
"2023","0","2023","0","127.4808220764184"
"2023","9","2023","9","127.4804838510698"
"2023","10","2023","10","127.4804838510698"
"2023","11","2023","11","127.4804838510698"
"2023","0","2023","0","127.4804838510698"
"2022","1","2022","1","123.0743998456195"
"2022","0","2022","0","125.6260092628329"
"2022","3","2022","3","125.6260092628329"
"2022","4","2022","4","125.6260092628329"
"2022","5","2022","5","120.4417869548437"
"2022","6","2022","6","129.1991624855268"
"2022","7","2022","7","129.1991624855268"
"2022","0","2022","0","129.1991624855268"
"2022","9","2022","9","129.0793245851023"
"2022","10","2022","10","127.4808220764184"
"2022","11","2022","11","127.4808220764184"
"2022","0","2022","0","127.4808220764184"
"2021","1","2021","1","111.4738363566191"
"2021","0","2021","0","110.8893207255886"
"2021","3","2021","3","110.7303705133153"
"2021","4","2021","4","111.9184214588962"
"2021","5","2021","5","113.0119683519877"
"2021","6","2021","6","113.0119683519877"
"2021","7","2021","7","113.0119683519877"
"2021","0","2021","0","113.0119683519877"
"2021","9","2021","9","113.0119683519877"
"2021","10","2021","10","113.0119683519877"
"2021","11","2021","11","114.63653801621"
"2021","0","2021","0","114.63653801621"
"2020","1","2020","1","110.7741837128522"
"2020","0","2020","0","110.7741837128522"
"2020","3","2020","3","110.7741837128522"
"2020","4","2020","4","110.7741837128522"
"2020","5","2020","5","110.7741837128522"
"2020","6","2020","6","110.9287186414512"
"2020","7","2020","7","110.6417252026245"
"2020","0","2020","0","110.6417252026245"
"2020","9","2020","9","110.6417252026245"
"2020","10","2020","10","110.3988846005404"
"2020","11","2020","11","110.6638016209958"
"2020","0","2020","0","111.4296835198765"
"2019","1","2019","1","110.5418023928985"
"2019","0","2019","0","110.5418023928985"
"2019","3","2019","3","109.2923620223852"
"2019","4","2019","4","110.5418023928985"
"2019","5","2019","5","111.2894281095655"
"2019","6","2019","6","110.6723079891934"
"2019","7","2019","7","110.6723079891934"
"2019","0","2019","0","110.3948"
"2019","9","2019","9","111.3586"
"2019","10","2019","10","111.3586"
"2019","11","2019","11","110.8658162871478"
"2019","0","2019","0","110.8658162871478"
"2018","1","2018","1","104.746769587032"
"2018","0","2018","0","104.7219336163644"
"2018","3","2018","3","104.7219336163644"
"2018","4","2018","4","104.7219336163644"
"2018","5","2018","5","98.37708606715555"
"2018","6","2018","6","98.14470474720186"
"2018","7","2018","7","99.62363952142032"
"2018","0","2018","0","106.2981204168275"
"2018","9","2018","9","110.1547857969896"
"2018","10","2018","10","110.1547857969896"
"2018","11","2018","11","110.1547857969896"
"2018","0","2018","0","110.1547857969896"
"2017","1","2017","1","103.1687302199923"
"2017","0","2017","0","101.0080007719027"
"2017","3","2017","3","95.21718641451179"
"2017","4","2017","4","102.8248475492088"
"2017","5","2017","5","104.6684407564647"
"2017","6","2017","6","104.746769587032"
"2017","7","2017","7","98.07714395986108"
"2017","0","2017","0","98.14592049401776"
"2017","9","2017","9","98.14592049401776"
"2017","10","2017","10","98.08096487842532"
"2017","11","2017","11","104.746769587032"
"2017","0","2017","0","104.746769587032"
