annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","106.0394309491801"
"2024","0","2024","0","107.0057746433828"
"2024","3","2024","3","106.8754256030784"
"2024","4","2024","4","106.7881747718806"
"2024","5","2024","5","106.7881747718806"
"2024","6","2024","6","106.7881747718806"
"2024","7","2024","7","106.7881747718806"
"2024","0","2024","0","106.7881747718806"
"2024","9","2024","9","106.7723900843539"
"2024","10","2024","10","107.4266349082679"
"2023","1","2023","1","109.9757116704805"
"2023","0","2023","0","109.9757116704805"
"2023","3","2023","3","109.9757116704805"
"2023","4","2023","4","109.980242562929"
"2023","5","2023","5","104.957471395881"
"2023","6","2023","6","104.9657780320366"
"2023","7","2023","7","104.9657780320366"
"2023","0","2023","0","104.9695537757437"
"2023","9","2023","9","106.0394309491801"
"2023","10","2023","10","106.0394309491801"
"2023","11","2023","11","106.0394309491801"
"2023","0","2023","0","106.0394309491801"
"2022","1","2022","1","108.0800892448513"
"2022","0","2022","0","108.0800892448513"
"2022","3","2022","3","108.0800892448513"
"2022","4","2022","4","108.0800892448513"
"2022","5","2022","5","108.0800892448513"
"2022","6","2022","6","106.878647597254"
"2022","7","2022","7","106.878647597254"
"2022","0","2022","0","106.878647597254"
"2022","9","2022","9","107.9717803203661"
"2022","10","2022","10","109.9757116704805"
"2022","11","2022","11","109.9757116704805"
"2022","0","2022","0","109.9757116704805"
"2021","1","2021","1","107.925819221968"
"2021","0","2021","0","107.32547597254"
"2021","3","2021","3","107.32547597254"
"2021","4","2021","4","107.32547597254"
"2021","5","2021","5","107.32547597254"
"2021","6","2021","6","108.0636338672769"
"2021","7","2021","7","108.8182471395881"
"2021","0","2021","0","107.7266796338673"
"2021","9","2021","9","107.7266796338673"
"2021","10","2021","10","107.7266796338673"
"2021","11","2021","11","108.0800892448513"
"2021","0","2021","0","108.0800892448513"
"2020","1","2020","1","105.3113867276888"
"2020","0","2020","0","105.3113867276888"
"2020","3","2020","3","105.3113867276888"
"2020","4","2020","4","105.3113867276888"
"2020","5","2020","5","105.3227139588101"
"2020","6","2020","6","105.3227139588101"
"2020","7","2020","7","105.3770846681922"
"2020","0","2020","0","105.3310205949657"
"2020","9","2020","9","106.6559908466819"
"2020","10","2020","10","107.8774897025172"
"2020","11","2020","11","107.925819221968"
"2020","0","2020","0","107.8903272311213"
"2019","1","2019","1","104.5199061784897"
"2019","0","2019","0","104.0042448512586"
"2019","3","2019","3","104.5199061784897"
"2019","4","2019","4","104.5199061784897"
"2019","5","2019","5","105.2268040946727"
"2019","6","2019","6","104.5199061784897"
"2019","7","2019","7","104.5199061784897"
"2019","0","2019","0","104.9853"
"2019","9","2019","9","105.4676"
"2019","10","2019","10","105.4676"
"2019","11","2019","11","105.1990663615561"
"2019","0","2019","0","105.4276796338673"
"2018","1","2018","1","104.9316155606407"
"2018","0","2018","0","104.9316155606407"
"2018","3","2018","3","104.9316155606407"
"2018","4","2018","4","104.1770022883295"
"2018","5","2018","5","104.2389244851258"
"2018","6","2018","6","104.2389244851258"
"2018","7","2018","7","104.2389244851258"
"2018","0","2018","0","104.1770022883295"
"2018","9","2018","9","104.1770022883295"
"2018","10","2018","10","104.1770022883295"
"2018","11","2018","11","104.1920823798627"
"2018","0","2018","0","104.5199061784897"
"2017","1","2017","1","104.7646109839817"
"2017","0","2017","0","104.7646109839817"
"2017","3","2017","3","104.826533180778"
"2017","4","2017","4","104.7646109839817"
"2017","5","2017","5","104.7646109839817"
"2017","6","2017","6","104.7646109839817"
"2017","7","2017","7","104.826533180778"
"2017","0","2017","0","104.826533180778"
"2017","9","2017","9","104.826533180778"
"2017","10","2017","10","104.9935377574371"
"2017","11","2017","11","104.9316155606407"
"2017","0","2017","0","104.9316155606407"
