annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","143.0813644007724"
"2024","0","2024","0","143.0813644007724"
"2024","3","2024","3","143.5138518973898"
"2024","4","2024","4","142.3780085027022"
"2024","5","2024","5","142.3780085027022"
"2024","6","2024","6","142.3780085027022"
"2024","7","2024","7","142.3806159928079"
"2024","0","2024","0","142.3806159928079"
"2024","9","2024","9","146.2298162005761"
"2024","10","2024","10","147.3696711185032"
"2023","1","2023","1","135.4754240028746"
"2023","0","2023","0","135.4754240028746"
"2023","3","2023","3","134.7965109593963"
"2023","4","2023","4","135.4754240028746"
"2023","5","2023","5","137.6453844771829"
"2023","6","2023","6","137.6646730147323"
"2023","7","2023","7","137.6646730147323"
"2023","0","2023","0","137.6646730147323"
"2023","9","2023","9","143.2409718680885"
"2023","10","2023","10","142.6581867748648"
"2023","11","2023","11","142.6031649498207"
"2023","0","2023","0","142.6031649498207"
"2022","1","2022","1","129.2469978440532"
"2022","0","2022","0","129.2469978440532"
"2022","3","2022","3","129.2469978440532"
"2022","4","2022","4","129.2469978440532"
"2022","5","2022","5","127.5018343514193"
"2022","6","2022","6","128.1531458857348"
"2022","7","2022","7","128.1531458857348"
"2022","0","2022","0","128.3702497305066"
"2022","9","2022","9","134.1730129356809"
"2022","10","2022","10","135.3204779015451"
"2022","11","2022","11","135.391036651096"
"2022","0","2022","0","135.391036651096"
"2021","1","2021","1","129.8982500898311"
"2021","0","2021","0","130.3655623427955"
"2021","3","2021","3","130.3655623427955"
"2021","4","2021","4","129.982736255839"
"2021","5","2021","5","130.1828548329141"
"2021","6","2021","6","130.4052461372619"
"2021","7","2021","7","130.3798113546532"
"2021","0","2021","0","130.8370445562342"
"2021","9","2021","9","131.028131512756"
"2021","10","2021","10","130.9850880344951"
"2021","11","2021","11","130.9850880344951"
"2021","0","2021","0","129.2662863816026"
"2020","1","2020","1","111.2937405677327"
"2020","0","2020","0","111.2937405677327"
"2020","3","2020","3","111.2937405677327"
"2020","4","2020","4","111.2937405677327"
"2020","5","2020","5","111.4745706072584"
"2020","6","2020","6","111.2937405677327"
"2020","7","2020","7","111.3541358246497"
"2020","0","2020","0","112.3721343873518"
"2020","9","2020","9","112.7211785842616"
"2020","10","2020","10","122.746694214876"
"2020","11","2020","11","129.7903719008264"
"2020","0","2020","0","129.8314714337046"
"2019","1","2019","1","108.3401095939633"
"2019","0","2019","0","109.2410797700323"
"2019","3","2019","3","108.2788052461373"
"2019","4","2019","4","108.3401095939633"
"2019","5","2019","5","109.0728446346955"
"2019","6","2019","6","108.3401095939633"
"2019","7","2019","7","108.3727182896155"
"2019","0","2019","0","108.6014"
"2019","9","2019","9","110.6048"
"2019","10","2019","10","110.7104"
"2019","11","2019","11","111.6209270571326"
"2019","0","2019","0","111.3169385555156"
"2018","1","2018","1","107.1664696370823"
"2018","0","2018","0","107.1710348544736"
"2018","3","2018","3","107.1710348544736"
"2018","4","2018","4","107.1710348544736"
"2018","5","2018","5","107.3229320876752"
"2018","6","2018","6","113.1215486884657"
"2018","7","2018","7","113.1215486884657"
"2018","0","2018","0","107.1710348544736"
"2018","9","2018","9","107.1710348544736"
"2018","10","2018","10","107.4478422565577"
"2018","11","2018","11","108.3401095939633"
"2018","0","2018","0","108.3401095939633"
"2017","1","2017","1","104.2825709665828"
"2017","0","2017","0","104.5532231404959"
"2017","3","2017","3","103.114922745239"
"2017","4","2017","4","105.4259072942867"
"2017","5","2017","5","105.4868774703557"
"2017","6","2017","6","105.4868774703557"
"2017","7","2017","7","104.6377793747754"
"2017","0","2017","0","106.6528584261588"
"2017","9","2017","9","112.4441879266978"
"2017","10","2017","10","106.2049838303989"
"2017","11","2017","11","107.1287028386633"
"2017","0","2017","0","107.1306593604024"
