annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","116.3564504798689"
"2024","0","2024","0","116.4155679533183"
"2024","3","2024","3","116.787487357658"
"2024","4","2024","4","116.1554042675894"
"2024","5","2024","5","116.1554042675894"
"2024","6","2024","6","116.2143712580448"
"2024","7","2024","7","116.2155486347428"
"2024","0","2024","0","116.2155486347428"
"2024","9","2024","9","116.9536821167992"
"2024","10","2024","10","117.1511556949469"
"2023","1","2023","1","111.4984553981241"
"2023","0","2023","0","111.4984553981241"
"2023","3","2023","3","110.1488505288366"
"2023","4","2023","4","111.5975314308521"
"2023","5","2023","5","111.5975314308521"
"2023","6","2023","6","111.2820973857513"
"2023","7","2023","7","111.6256296148473"
"2023","0","2023","0","111.6256296148473"
"2023","9","2023","9","116.4086328131351"
"2023","10","2023","10","116.4031335132794"
"2023","11","2023","11","116.4031335132794"
"2023","0","2023","0","116.3564504798689"
"2022","1","2022","1","109.440327279984"
"2022","0","2022","0","109.440327279984"
"2022","3","2022","3","109.440327279984"
"2022","4","2022","4","109.440327279984"
"2022","5","2022","5","109.440327279984"
"2022","6","2022","6","109.440327279984"
"2022","7","2022","7","109.440327279984"
"2022","0","2022","0","109.832935541808"
"2022","9","2022","9","112.2687287966474"
"2022","10","2022","10","111.3573618040311"
"2022","11","2022","11","111.3999042107364"
"2022","0","2022","0","111.5409978048294"
"2021","1","2021","1","108.9438834563959"
"2021","0","2021","0","109.2178407503492"
"2021","3","2021","3","109.2178407503492"
"2021","4","2021","4","108.8156854919178"
"2021","5","2021","5","109.3003791658352"
"2021","6","2021","6","109.16923967272"
"2021","7","2021","7","109.16923967272"
"2021","0","2021","0","109.0089702654161"
"2021","9","2021","9","109.0526322091399"
"2021","10","2021","10","109.0631530632608"
"2021","11","2021","11","109.3335980842147"
"2021","0","2021","0","109.2910556775095"
"2020","1","2020","1","105.6617940530832"
"2020","0","2020","0","105.6617940530832"
"2020","3","2020","3","105.7197465575733"
"2020","4","2020","4","105.7197465575733"
"2020","5","2020","5","105.6682478547196"
"2020","6","2020","6","105.7040211534624"
"2020","7","2020","7","105.4608002394732"
"2020","0","2020","0","104.4486070644582"
"2020","9","2020","9","105.9296886848932"
"2020","10","2020","10","109.2410456994612"
"2020","11","2020","11","108.9922211135502"
"2020","0","2020","0","109.0258072241069"
"2019","1","2019","1","105.2656655358212"
"2019","0","2019","0","104.8692257034524"
"2019","3","2019","3","106.1467411694273"
"2019","4","2019","4","105.3086070644582"
"2019","5","2019","5","105.9776072350973"
"2019","6","2019","6","105.3086070644582"
"2019","7","2019","7","105.3147415685492"
"2019","0","2019","0","105.4235"
"2019","9","2019","9","105.4235"
"2019","10","2019","10","105.5896"
"2019","11","2019","11","106.0850269407304"
"2019","0","2019","0","105.5353342646178"
"2018","1","2018","1","104.6112292955498"
"2018","0","2018","0","104.6112292955498"
"2018","3","2018","3","104.7155158650968"
"2018","4","2018","4","104.7155158650968"
"2018","5","2018","5","104.4696567551387"
"2018","6","2018","6","104.4696567551387"
"2018","7","2018","7","104.4696567551387"
"2018","0","2018","0","104.4819497106366"
"2018","9","2018","9","104.8998383556176"
"2018","10","2018","10","104.8998383556176"
"2018","11","2018","11","104.9723588106166"
"2018","0","2018","0","104.5912771901816"
"2017","1","2017","1","102.858736779086"
"2017","0","2017","0","105.4095050888046"
"2017","3","2017","3","105.3814069048094"
"2017","4","2017","4","104.6168728796647"
"2017","5","2017","5","103.7557234085013"
"2017","6","2017","6","103.7557234085013"
"2017","7","2017","7","103.7276252245061"
"2017","0","2017","0","104.2785930951906"
"2017","9","2017","9","104.6271063659948"
"2017","10","2017","10","104.6271063659948"
"2017","11","2017","11","104.692011574536"
"2017","0","2017","0","104.692011574536"
