annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","95.7949338996501"
"2024","0","2024","0","95.7949338996501"
"2024","3","2024","3","95.09033055177358"
"2024","4","2024","4","95.00971198827844"
"2024","5","2024","5","95.00971198827844"
"2024","6","2024","6","95.00971198827844"
"2024","7","2024","7","95.00971198827844"
"2024","0","2024","0","95.00971198827844"
"2024","9","2024","9","95.26794549249125"
"2024","10","2024","10","95.26794549249125"
"2023","1","2023","1","98.8761118881119"
"2023","0","2023","0","98.8761118881119"
"2023","3","2023","3","98.8761118881119"
"2023","4","2023","4","98.8761118881119"
"2023","5","2023","5","98.8761118881119"
"2023","6","2023","6","98.8761118881119"
"2023","7","2023","7","98.8761118881119"
"2023","0","2023","0","98.8761118881119"
"2023","9","2023","9","95.7949338996501"
"2023","10","2023","10","95.7949338996501"
"2023","11","2023","11","95.7949338996501"
"2023","0","2023","0","95.7949338996501"
"2022","1","2022","1","101.8718387927862"
"2022","0","2022","0","101.8718387927862"
"2022","3","2022","3","101.8718387927862"
"2022","4","2022","4","101.8718387927862"
"2022","5","2022","5","101.8718387927862"
"2022","6","2022","6","101.8718387927862"
"2022","7","2022","7","101.8718387927862"
"2022","0","2022","0","101.8718387927862"
"2022","9","2022","9","98.82128597718072"
"2022","10","2022","10","96.6969054103791"
"2022","11","2022","11","98.7304033860876"
"2022","0","2022","0","98.8761118881119"
"2021","1","2021","1","101.6106036069194"
"2021","0","2021","0","101.6106036069194"
"2021","3","2021","3","101.6106036069194"
"2021","4","2021","4","101.6106036069194"
"2021","5","2021","5","101.6106036069194"
"2021","6","2021","6","101.6106036069194"
"2021","7","2021","7","101.6106036069194"
"2021","0","2021","0","101.6106036069194"
"2021","9","2021","9","101.6106036069194"
"2021","10","2021","10","101.8718387927862"
"2021","11","2021","11","101.8718387927862"
"2021","0","2021","0","101.8718387927862"
"2020","1","2020","1","101.5821825542878"
"2020","0","2020","0","101.5821825542878"
"2020","3","2020","3","101.5821825542878"
"2020","4","2020","4","101.5821825542878"
"2020","5","2020","5","101.5821825542878"
"2020","6","2020","6","101.5821825542878"
"2020","7","2020","7","101.5821825542878"
"2020","0","2020","0","101.1102738314317"
"2020","9","2020","9","101.6106036069194"
"2020","10","2020","10","101.5821825542878"
"2020","11","2020","11","101.6106036069194"
"2020","0","2020","0","101.6106036069194"
"2019","1","2019","1","99.8188023555392"
"2019","0","2019","0","100.0893124769967"
"2019","3","2019","3","99.93882664703717"
"2019","4","2019","4","99.8188023555392"
"2019","5","2019","5","100.4939053666395"
"2019","6","2019","6","99.8188023555392"
"2019","7","2019","7","99.88621788737579"
"2019","0","2019","0","100.8218"
"2019","9","2019","9","102.3641"
"2019","10","2019","10","102.3641"
"2019","11","2019","11","101.5978704453441"
"2019","0","2019","0","101.521044534413"
"2018","1","2018","1","98.47548546190652"
"2018","0","2018","0","98.47548546190652"
"2018","3","2018","3","98.47548546190652"
"2018","4","2018","4","98.47548546190652"
"2018","5","2018","5","97.84881339712919"
"2018","6","2018","6","97.84881339712919"
"2018","7","2018","7","97.84881339712919"
"2018","0","2018","0","98.4488133971292"
"2018","9","2018","9","98.9797107103423"
"2018","10","2018","10","98.9797107103423"
"2018","11","2018","11","99.55136621273465"
"2018","0","2018","0","99.55136621273465"
"2017","1","2017","1","101.2335097534045"
"2017","0","2017","0","101.4957850570482"
"2017","3","2017","3","100.8957850570482"
"2017","4","2017","4","101.2335097534045"
"2017","5","2017","5","101.2335097534045"
"2017","6","2017","6","98.1913838792786"
"2017","7","2017","7","97.6900927493559"
"2017","0","2017","0","100.5046912035333"
"2017","9","2017","9","97.6900927493559"
"2017","10","2017","10","97.6900927493559"
"2017","11","2017","11","98.29009274935589"
"2017","0","2017","0","98.47548546190652"
