annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","142.3661443362416"
"2024","0","2024","0","144.1593625213351"
"2024","3","2024","3","147.0350690829735"
"2024","4","2024","4","146.950987034721"
"2024","5","2024","5","145.7283361484978"
"2024","6","2024","6","145.4181085526449"
"2024","7","2024","7","145.4813774258388"
"2024","0","2024","0","145.4813774258388"
"2024","9","2024","9","146.0812396832513"
"2024","10","2024","10","146.0812396832513"
"2023","1","2023","1","138.8359677242288"
"2023","0","2023","0","138.899895707542"
"2023","3","2023","3","140.0287572730267"
"2023","4","2023","4","140.3853419694807"
"2023","5","2023","5","141.1175408936217"
"2023","6","2023","6","142.8908716653859"
"2023","7","2023","7","144.8385882094632"
"2023","0","2023","0","144.8652453617302"
"2023","9","2023","9","144.8675359770338"
"2023","10","2023","10","145.8016048685383"
"2023","11","2023","11","143.8449282548806"
"2023","0","2023","0","144.0299813906275"
"2022","1","2022","1","122.4906586892085"
"2022","0","2022","0","123.3716258645296"
"2022","3","2022","3","123.8450708090899"
"2022","4","2022","4","125.1155812932265"
"2022","5","2022","5","125.9366187287298"
"2022","6","2022","6","133.8171830058184"
"2022","7","2022","7","133.6014359424745"
"2022","0","2022","0","134.36254363816"
"2022","9","2022","9","134.9233088154572"
"2022","10","2022","10","135.3907146777912"
"2022","11","2022","11","136.0474366011637"
"2022","0","2022","0","137.1621297617741"
"2021","1","2021","1","115.0440772862004"
"2021","0","2021","0","115.0835591173564"
"2021","3","2021","3","114.9722669886925"
"2021","4","2021","4","115.0212471182347"
"2021","5","2021","5","114.933140849709"
"2021","6","2021","6","114.3667603469096"
"2021","7","2021","7","114.0251608299484"
"2021","0","2021","0","114.1294972005709"
"2021","9","2021","9","114.1294972005709"
"2021","10","2021","10","114.3512372378966"
"2021","11","2021","11","120.608707871336"
"2021","0","2021","0","120.9802722582062"
"2020","1","2020","1","111.4015896366231"
"2020","0","2020","0","111.4409660775058"
"2020","3","2020","3","111.5522582061697"
"2020","4","2020","4","111.6435678998792"
"2020","5","2020","5","111.5653683170491"
"2020","6","2020","6","111.7189065759139"
"2020","7","2020","7","112.0836249862773"
"2020","0","2020","0","112.3797365243166"
"2020","9","2020","9","112.6554133274783"
"2020","10","2020","10","112.7515171808102"
"2020","11","2020","11","112.7515171808102"
"2020","0","2020","0","113.6008112855418"
"2019","1","2019","1","109.7638873641453"
"2019","0","2019","0","108.8313590954001"
"2019","3","2019","3","108.9529092106707"
"2019","4","2019","4","109.5836030299703"
"2019","5","2019","5","109.8298448261871"
"2019","6","2019","6","109.5836030299703"
"2019","7","2019","7","109.3624448347788"
"2019","0","2019","0","110.405"
"2019","9","2019","9","110.7919"
"2019","10","2019","10","110.7944"
"2019","11","2019","11","111.412101218575"
"2019","0","2019","0","111.6960302997036"
"2018","1","2018","1","106.6295520913382"
"2018","0","2018","0","106.6295520913382"
"2018","3","2018","3","106.6295520913382"
"2018","4","2018","4","107.0730321659897"
"2018","5","2018","5","107.5150126248765"
"2018","6","2018","6","107.239532330662"
"2018","7","2018","7","107.239532330662"
"2018","0","2018","0","107.6612910308486"
"2018","9","2018","9","107.4395509935229"
"2018","10","2018","10","107.8231013283565"
"2018","11","2018","11","108.1636436491382"
"2018","0","2018","0","108.0966154352838"
"2017","1","2017","1","101.3582983862114"
"2017","0","2017","0","102.1583291250411"
"2017","3","2017","3","102.0609485124602"
"2017","4","2017","4","101.1148172137446"
"2017","5","2017","5","106.8874838072236"
"2017","6","2017","6","106.8874838072236"
"2017","7","2017","7","106.5443155121308"
"2017","0","2017","0","106.5211296519925"
"2017","9","2017","9","106.6720100999012"
"2017","10","2017","10","106.6720100999012"
"2017","11","2017","11","106.7647535404545"
"2017","0","2017","0","106.8546481501811"
