annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","96.12078051256933"
"2024","0","2024","0","96.12078051256933"
"2024","3","2024","3","95.81144274873314"
"2024","4","2024","4","95.81144274873314"
"2024","5","2024","5","95.59612485312955"
"2024","6","2024","6","95.59612485312955"
"2024","7","2024","7","95.65963599047716"
"2024","0","2024","0","95.69216425964346"
"2024","9","2024","9","95.1821445103443"
"2024","10","2024","10","95.1821445103443"
"2023","1","2023","1","96.8591405342625"
"2023","0","2023","0","96.76617886178863"
"2023","3","2023","3","96.76617886178863"
"2023","4","2023","4","96.76617886178863"
"2023","5","2023","5","96.76617886178863"
"2023","6","2023","6","96.74032520325204"
"2023","7","2023","7","96.74032520325204"
"2023","0","2023","0","96.74032520325204"
"2023","9","2023","9","96.21776433079631"
"2023","10","2023","10","96.65269344248966"
"2023","11","2023","11","96.2248154979687"
"2023","0","2023","0","96.2248154979687"
"2022","1","2022","1","96.71203252032522"
"2022","0","2022","0","96.77112659698027"
"2022","3","2022","3","96.77112659698027"
"2022","4","2022","4","96.77112659698027"
"2022","5","2022","5","96.77112659698027"
"2022","6","2022","6","96.77112659698027"
"2022","7","2022","7","96.77112659698027"
"2022","0","2022","0","96.77112659698027"
"2022","9","2022","9","96.85544715447156"
"2022","10","2022","10","97.15091753774682"
"2022","11","2022","11","97.15091753774682"
"2022","0","2022","0","97.06966318234612"
"2021","1","2021","1","96.41702671312429"
"2021","0","2021","0","97.69347270615566"
"2021","3","2021","3","97.48394889663183"
"2021","4","2021","4","97.48394889663183"
"2021","5","2021","5","97.48394889663183"
"2021","6","2021","6","96.75203252032522"
"2021","7","2021","7","97.18984901277587"
"2021","0","2021","0","97.18984901277587"
"2021","9","2021","9","97.18984901277587"
"2021","10","2021","10","97.18984901277587"
"2021","11","2021","11","96.71203252032522"
"2021","0","2021","0","96.71203252032522"
"2020","1","2020","1","96.24204413472707"
"2020","0","2020","0","96.24204413472707"
"2020","3","2020","3","96.24204413472707"
"2020","4","2020","4","96.17925667828108"
"2020","5","2020","5","96.17925667828108"
"2020","6","2020","6","95.18018583042975"
"2020","7","2020","7","96.18181184668991"
"2020","0","2020","0","96.10425087108015"
"2020","9","2020","9","96.32954703832753"
"2020","10","2020","10","96.64383275261325"
"2020","11","2020","11","95.95904761904764"
"2020","0","2020","0","98.15259001161442"
"2019","1","2019","1","98.09981416957028"
"2019","0","2019","0","98.09981416957028"
"2019","3","2019","3","99.74162601626017"
"2019","4","2019","4","96.45256678281069"
"2019","5","2019","5","97.21273539923806"
"2019","6","2019","6","96.45256678281069"
"2019","7","2019","7","96.45256678281069"
"2019","0","2019","0","94.8537"
"2019","9","2019","9","94.55160000000001"
"2019","10","2019","10","94.55160000000001"
"2019","11","2019","11","96.24204413472707"
"2019","0","2019","0","96.24204413472707"
"2018","1","2018","1","99.37277584204415"
"2018","0","2018","0","99.37277584204415"
"2018","3","2018","3","99.37277584204415"
"2018","4","2018","4","99.37277584204415"
"2018","5","2018","5","99.37277584204415"
"2018","6","2018","6","99.89479674796749"
"2018","7","2018","7","99.89479674796749"
"2018","0","2018","0","99.89479674796749"
"2018","9","2018","9","99.84678281068527"
"2018","10","2018","10","99.84678281068527"
"2018","11","2018","11","98.09981416957028"
"2018","0","2018","0","98.09981416957028"
"2017","1","2017","1","99.5454355400697"
"2017","0","2017","0","102.7273867595819"
"2017","3","2017","3","102.7273867595819"
"2017","4","2017","4","98.4373867595819"
"2017","5","2017","5","98.4373867595819"
"2017","6","2017","6","98.4373867595819"
"2017","7","2017","7","99.5454355400697"
"2017","0","2017","0","99.5454355400697"
"2017","9","2017","9","99.5454355400697"
"2017","10","2017","10","99.5454355400697"
"2017","11","2017","11","99.5454355400697"
"2017","0","2017","0","99.59344947735194"
