annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","152.0299618745803"
"2024","0","2024","0","153.5295356193611"
"2024","3","2024","3","138.7516403423693"
"2024","4","2024","4","137.9135738873309"
"2024","5","2024","5","138.0645643847486"
"2024","6","2024","6","144.1841477479772"
"2024","7","2024","7","142.7501343384416"
"2024","0","2024","0","144.6030372818025"
"2024","9","2024","9","140.5736150020115"
"2024","10","2024","10","140.1245183302149"
"2023","1","2023","1","158.1993096926714"
"2023","0","2023","0","150.1574137115839"
"2023","3","2023","3","152.4232529550827"
"2023","4","2023","4","146.8648557919622"
"2023","5","2023","5","153.9254231678487"
"2023","6","2023","6","149.5934893617021"
"2023","7","2023","7","147.9672198581561"
"2023","0","2023","0","147.0635791962175"
"2023","9","2023","9","149.5499401002342"
"2023","10","2023","10","152.7045019862213"
"2023","11","2023","11","176.424566493248"
"2023","0","2023","0","168.1502047554534"
"2022","1","2022","1","122.4355130023641"
"2022","0","2022","0","129.5229172576832"
"2022","3","2022","3","127.250085106383"
"2022","4","2022","4","143.5490638297873"
"2022","5","2022","5","140.7394468085106"
"2022","6","2022","6","144.6672340425532"
"2022","7","2022","7","147.5515224586289"
"2022","0","2022","0","149.8544822695035"
"2022","9","2022","9","153.904695035461"
"2022","10","2022","10","153.5276359338062"
"2022","11","2022","11","146.5082411347518"
"2022","0","2022","0","150.044865248227"
"2021","1","2021","1","112.0734137115839"
"2021","0","2021","0","116.7951111111111"
"2021","3","2021","3","114.3804397163121"
"2021","4","2021","4","119.0285106382979"
"2021","5","2021","5","125.5600472813239"
"2021","6","2021","6","129.5339007092199"
"2021","7","2021","7","129.4563593380615"
"2021","0","2021","0","132.1271394799055"
"2021","9","2021","9","134.1639763593381"
"2021","10","2021","10","136.36"
"2021","11","2021","11","132.999621749409"
"2021","0","2021","0","139.3480520094563"
"2020","1","2020","1","118.1491773049646"
"2020","0","2020","0","112.9241843971631"
"2020","3","2020","3","111.1515035460993"
"2020","4","2020","4","109.4753380614657"
"2020","5","2020","5","115.8673806146572"
"2020","6","2020","6","123.4839716312057"
"2020","7","2020","7","113.0520330969267"
"2020","0","2020","0","114.3512718676123"
"2020","9","2020","9","102.1755413711584"
"2020","10","2020","10","107.9677446808511"
"2020","11","2020","11","109.968231678487"
"2020","0","2020","0","109.853706855792"
"2019","1","2019","1","88.72729078014186"
"2019","0","2019","0","103.6134042553192"
"2019","3","2019","3","110.8435744680851"
"2019","4","2019","4","107.0431300236407"
"2019","5","2019","5","111.4964776373043"
"2019","6","2019","6","103.5699290780142"
"2019","7","2019","7","114.648756501182"
"2019","0","2019","0","119.1545"
"2019","9","2019","9","115.4938"
"2019","10","2019","10","122.7199"
"2019","11","2019","11","109.6093947990544"
"2019","0","2019","0","97.66035460992909"
"2018","1","2018","1","98.6628510638298"
"2018","0","2018","0","104.5469503546099"
"2018","3","2018","3","107.4"
"2018","4","2018","4","105.31"
"2018","5","2018","5","101.4616690307329"
"2018","6","2018","6","115.7419054373523"
"2018","7","2018","7","107.2208747044917"
"2018","0","2018","0","109.4423924349882"
"2018","9","2018","9","114.8957257683215"
"2018","10","2018","10","106.1721134751773"
"2018","11","2018","11","107.4350165484634"
"2018","0","2018","0","99.08052482269504"
"2017","1","2017","1","107.2844491725768"
"2017","0","2017","0","103.7434326241135"
"2017","3","2017","3","121.775706855792"
"2017","4","2017","4","116.8688936170213"
"2017","5","2017","5","112.0438865248227"
"2017","6","2017","6","108.1391016548463"
"2017","7","2017","7","98.84592907801421"
"2017","0","2017","0","110.3448085106383"
"2017","9","2017","9","109.2416264775414"
"2017","10","2017","10","92.4666997635934"
"2017","11","2017","11","103.5284208037825"
"2017","0","2017","0","99.4501229314421"
