annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","99.71402052676964"
"2024","0","2024","0","99.71402052676964"
"2024","3","2024","3","99.71402052676964"
"2024","4","2024","4","99.71402052676964"
"2024","5","2024","5","99.71402052676964"
"2024","6","2024","6","99.71402052676964"
"2024","7","2024","7","99.71402052676964"
"2024","0","2024","0","99.71402052676964"
"2024","9","2024","9","99.71402052676964"
"2024","10","2024","10","100.264137028615"
"2023","1","2023","1","180.4521212121212"
"2023","0","2023","0","99.71774891774892"
"2023","3","2023","3","99.71774891774892"
"2023","4","2023","4","99.71774891774892"
"2023","5","2023","5","99.71774891774892"
"2023","6","2023","6","99.71774891774892"
"2023","7","2023","7","99.71774891774892"
"2023","0","2023","0","99.71774891774892"
"2023","9","2023","9","99.71402052676964"
"2023","10","2023","10","99.71402052676964"
"2023","11","2023","11","99.71402052676964"
"2023","0","2023","0","99.71402052676964"
"2022","1","2022","1","111.9421645021645"
"2022","0","2022","0","111.9421645021645"
"2022","3","2022","3","102.2966233766234"
"2022","4","2022","4","111.9421645021645"
"2022","5","2022","5","101.4431168831169"
"2022","6","2022","6","135.9412987012987"
"2022","7","2022","7","135.9412987012987"
"2022","0","2022","0","149.3037229437229"
"2022","9","2022","9","149.3037229437229"
"2022","10","2022","10","175.5972294372295"
"2022","11","2022","11","175.5972294372295"
"2022","0","2022","0","180.4521212121212"
"2021","1","2021","1","108.4180086580087"
"2021","0","2021","0","108.4180086580087"
"2021","3","2021","3","108.4180086580087"
"2021","4","2021","4","108.4180086580087"
"2021","5","2021","5","111.9421645021645"
"2021","6","2021","6","111.9421645021645"
"2021","7","2021","7","96.72588744588745"
"2021","0","2021","0","111.9421645021645"
"2021","9","2021","9","111.9421645021645"
"2021","10","2021","10","111.9421645021645"
"2021","11","2021","11","111.9421645021645"
"2021","0","2021","0","111.9421645021645"
"2020","1","2020","1","89.50354978354979"
"2020","0","2020","0","83.49229437229437"
"2020","3","2020","3","84.31757575757575"
"2020","4","2020","4","84.12536796536797"
"2020","5","2020","5","89.09939393939393"
"2020","6","2020","6","89.09939393939393"
"2020","7","2020","7","89.09939393939393"
"2020","0","2020","0","106.417316017316"
"2020","9","2020","9","106.417316017316"
"2020","10","2020","10","106.417316017316"
"2020","11","2020","11","106.417316017316"
"2020","0","2020","0","108.4180086580087"
"2019","1","2019","1","107.2849350649351"
"2019","0","2019","0","103.5719480519481"
"2019","3","2019","3","103.5719480519481"
"2019","4","2019","4","106.86"
"2019","5","2019","5","104.2724346571303"
"2019","6","2019","6","95.7939393939394"
"2019","7","2019","7","103.78"
"2019","0","2019","0","87.49950000000001"
"2019","9","2019","9","90.46910000000001"
"2019","10","2019","10","91.31230000000001"
"2019","11","2019","11","141.6126406926407"
"2019","0","2019","0","90.32883116883117"
"2018","1","2018","1","110.7619047619048"
"2018","0","2018","0","136.6796536796537"
"2018","3","2018","3","115.6"
"2018","4","2018","4","92.42"
"2018","5","2018","5","92.42"
"2018","6","2018","6","90.31965367965368"
"2018","7","2018","7","108.93"
"2018","0","2018","0","116.3"
"2018","9","2018","9","115.2"
"2018","10","2018","10","115.2"
"2018","11","2018","11","95.99"
"2018","0","2018","0","103.021645021645"
"2017","1","2017","1","105.3"
"2017","0","2017","0","105.3"
"2017","3","2017","3","105.3"
"2017","4","2017","4","105.3"
"2017","5","2017","5","105.3"
"2017","6","2017","6","105.3"
"2017","7","2017","7","105.3"
"2017","0","2017","0","105.3"
"2017","9","2017","9","105.3"
"2017","10","2017","10","105.3"
"2017","11","2017","11","105.3"
"2017","0","2017","0","105.3"
