annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","101.7659093424407"
"2024","0","2024","0","101.7659093424407"
"2024","3","2024","3","101.9871442806569"
"2024","4","2024","4","101.6192580408751"
"2024","5","2024","5","101.6477610155667"
"2024","6","2024","6","100.8837243654076"
"2024","7","2024","7","103.2734966627451"
"2024","0","2024","0","103.2734966627451"
"2024","9","2024","9","103.2734966627451"
"2024","10","2024","10","103.2734966627451"
"2023","1","2023","1","102.8045491951202"
"2023","0","2023","0","102.8045491951202"
"2023","3","2023","3","103.4269826030463"
"2023","4","2023","4","104.6718494188984"
"2023","5","2023","5","103.369747347145"
"2023","6","2023","6","103.369747347145"
"2023","7","2023","7","103.369747347145"
"2023","0","2023","0","103.369747347145"
"2023","9","2023","9","103.3689756578618"
"2023","10","2023","10","101.7659093424407"
"2023","11","2023","11","101.7659093424407"
"2023","0","2023","0","101.7659093424407"
"2022","1","2022","1","101.395742438461"
"2022","0","2022","0","101.4172056594239"
"2022","3","2022","3","101.4172056594239"
"2022","4","2022","4","101.4172056594239"
"2022","5","2022","5","101.4172056594239"
"2022","6","2022","6","101.5173673572511"
"2022","7","2022","7","101.9323229625352"
"2022","0","2022","0","101.3671248105104"
"2022","9","2022","9","102.7693885800909"
"2022","10","2022","10","102.7693885800909"
"2022","11","2022","11","102.8045491951202"
"2022","0","2022","0","102.8045491951202"
"2021","1","2021","1","100.9664780192016"
"2021","0","2021","0","101.0302562621815"
"2021","3","2021","3","101.6747643109796"
"2021","4","2021","4","101.6956161120335"
"2021","5","2021","5","101.6604554970043"
"2021","6","2021","6","101.6604554970043"
"2021","7","2021","7","101.5960658341154"
"2021","0","2021","0","101.5960658341154"
"2021","9","2021","9","101.5960658341154"
"2021","10","2021","10","101.5960658341154"
"2021","11","2021","11","101.5960658341154"
"2021","0","2021","0","101.5960658341154"
"2020","1","2020","1","95.5322810943478"
"2020","0","2020","0","95.5322810943478"
"2020","3","2020","3","95.56744170937704"
"2020","4","2020","4","98.67245434201978"
"2020","5","2020","5","98.67245434201978"
"2020","6","2020","6","98.63729372699053"
"2020","7","2020","7","98.63729372699053"
"2020","0","2020","0","97.29165379340215"
"2020","9","2020","9","98.85908034360787"
"2020","10","2020","10","98.91255179383526"
"2020","11","2020","11","98.91255179383526"
"2020","0","2020","0","100.1216465747491"
"2019","1","2019","1","96.00373348733126"
"2019","0","2019","0","96.0565855771313"
"2019","3","2019","3","96.10009961741139"
"2019","4","2019","4","96.50790081570779"
"2019","5","2019","5","96.75005198197358"
"2019","6","2019","6","96.54367285064606"
"2019","7","2019","7","96.56190428066124"
"2019","0","2019","0","96.411"
"2019","9","2019","9","96.75550000000001"
"2019","10","2019","10","96.68130000000001"
"2019","11","2019","11","95.70398686205154"
"2019","0","2019","0","95.73914747708078"
"2018","1","2018","1","96.95621453836713"
"2018","0","2018","0","96.95621453836713"
"2018","3","2018","3","96.95621453836713"
"2018","4","2018","4","96.95621453836713"
"2018","5","2018","5","97.2544286436151"
"2018","6","2018","6","97.21926802858587"
"2018","7","2018","7","97.21926802858587"
"2018","0","2018","0","96.69055655814626"
"2018","9","2018","9","96.18259366202267"
"2018","10","2018","10","95.84633653360284"
"2018","11","2018","11","95.84633653360284"
"2018","0","2018","0","95.84633653360284"
"2017","1","2017","1","97.03720132823216"
"2017","0","2017","0","96.99541976467191"
"2017","3","2017","3","97.56721504367286"
"2017","4","2017","4","96.8262376380567"
"2017","5","2017","5","96.91298058182343"
"2017","6","2017","6","96.3216999927813"
"2017","7","2017","7","97.56059120768064"
"2017","0","2017","0","97.60351764960659"
"2017","9","2017","9","97.56059120768064"
"2017","10","2017","10","97.56059120768064"
"2017","11","2017","11","96.7778069732188"
"2017","0","2017","0","96.7778069732188"
