annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","110.7982501070546"
"2024","0","2024","0","110.7982501070546"
"2024","3","2024","3","111.0935917982814"
"2024","4","2024","4","111.7579952199407"
"2024","5","2024","5","111.8389967485521"
"2024","6","2024","6","111.820054476988"
"2024","7","2024","7","111.8134540868986"
"2024","0","2024","0","111.8134540868986"
"2024","9","2024","9","111.5579994012276"
"2024","10","2024","10","111.955805704103"
"2023","1","2023","1","101.1697872340426"
"2023","0","2023","0","101.1697872340426"
"2023","3","2023","3","98.214609929078"
"2023","4","2023","4","100.7092907801418"
"2023","5","2023","5","110.4221985815603"
"2023","6","2023","6","110.4017730496454"
"2023","7","2023","7","110.4017730496454"
"2023","0","2023","0","110.4017730496454"
"2023","9","2023","9","110.4004881060713"
"2023","10","2023","10","110.4004881060713"
"2023","11","2023","11","110.4004881060713"
"2023","0","2023","0","110.7384791610933"
"2022","1","2022","1","97.50517730496452"
"2022","0","2022","0","97.50517730496452"
"2022","3","2022","3","97.50517730496452"
"2022","4","2022","4","97.7532624113475"
"2022","5","2022","5","98.05397163120564"
"2022","6","2022","6","98.18177304964537"
"2022","7","2022","7","98.57269503546097"
"2022","0","2022","0","98.67907801418438"
"2022","9","2022","9","98.67907801418438"
"2022","10","2022","10","98.67907801418438"
"2022","11","2022","11","99.24290780141844"
"2022","0","2022","0","101.1697872340426"
"2021","1","2021","1","93.28021276595743"
"2021","0","2021","0","95.51531914893617"
"2021","3","2021","3","95.46382978723405"
"2021","4","2021","4","95.51531914893617"
"2021","5","2021","5","95.46382978723405"
"2021","6","2021","6","95.83843971631205"
"2021","7","2021","7","93.90581560283687"
"2021","0","2021","0","94.64361702127658"
"2021","9","2021","9","94.64361702127658"
"2021","10","2021","10","94.64361702127658"
"2021","11","2021","11","95.60319148936169"
"2021","0","2021","0","96.91879432624111"
"2020","1","2020","1","94.90390070921985"
"2020","0","2020","0","96.12035460992908"
"2020","3","2020","3","94.9151063829787"
"2020","4","2020","4","94.89255319148934"
"2020","5","2020","5","94.89255319148934"
"2020","6","2020","6","94.84262411347518"
"2020","7","2020","7","94.84262411347518"
"2020","0","2020","0","91.65007092198582"
"2020","9","2020","9","92.93574468085106"
"2020","10","2020","10","92.99936170212764"
"2020","11","2020","11","92.99936170212764"
"2020","0","2020","0","96.92943262411347"
"2019","1","2019","1","96.08262411347516"
"2019","0","2019","0","95.18468085106382"
"2019","3","2019","3","94.82269503546098"
"2019","4","2019","4","95.31148936170212"
"2019","5","2019","5","95.82844197759273"
"2019","6","2019","6","95.18468085106382"
"2019","7","2019","7","95.06921985815603"
"2019","0","2019","0","93.3195"
"2019","9","2019","9","93.47850000000001"
"2019","10","2019","10","93.52170000000001"
"2019","11","2019","11","95.11921985815601"
"2019","0","2019","0","95.11921985815601"
"2018","1","2018","1","96.3636170212766"
"2018","0","2018","0","96.3636170212766"
"2018","3","2018","3","96.47595744680851"
"2018","4","2018","4","96.59085106382979"
"2018","5","2018","5","97.42219858156027"
"2018","6","2018","6","97.49255319148934"
"2018","7","2018","7","97.49255319148934"
"2018","0","2018","0","95.98531914893614"
"2018","9","2018","9","102.7153191489362"
"2018","10","2018","10","97.49255319148934"
"2018","11","2018","11","97.03382978723404"
"2018","0","2018","0","95.52659574468083"
"2017","1","2017","1","101.679219858156"
"2017","0","2017","0","98.86382978723402"
"2017","3","2017","3","100.7014184397163"
"2017","4","2017","4","98.98758865248227"
"2017","5","2017","5","96.94042553191488"
"2017","6","2017","6","96.03801418439716"
"2017","7","2017","7","97.86737588652481"
"2017","0","2017","0","97.31858156028368"
"2017","9","2017","9","97.11914893617022"
"2017","10","2017","10","97.11914893617022"
"2017","11","2017","11","95.64312056737589"
"2017","0","2017","0","95.80851063829786"
