annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","112.9817829500403"
"2024","0","2024","0","113.6240235698989"
"2024","3","2024","3","113.6893806319052"
"2024","4","2024","4","113.475934392158"
"2024","5","2024","5","113.475934392158"
"2024","6","2024","6","116.0315019375321"
"2024","7","2024","7","116.4774111426285"
"2024","0","2024","0","116.4774111426285"
"2024","9","2024","9","115.846473672037"
"2024","10","2024","10","115.846473672037"
"2023","1","2023","1","109.1769178212184"
"2023","0","2023","0","112.4562080091099"
"2023","3","2023","3","111.9851888403871"
"2023","4","2023","4","108.4362611501234"
"2023","5","2023","5","107.6867375213513"
"2023","6","2023","6","107.6867375213513"
"2023","7","2023","7","111.0801062820269"
"2023","0","2023","0","111.6001138736003"
"2023","9","2023","9","111.6014837720941"
"2023","10","2023","10","111.6014837720941"
"2023","11","2023","11","111.6014837720941"
"2023","0","2023","0","111.6837122630833"
"2022","1","2022","1","107.9675061681533"
"2022","0","2022","0","107.9675061681533"
"2022","3","2022","3","107.7529550199279"
"2022","4","2022","4","107.7529550199279"
"2022","5","2022","5","107.7529550199279"
"2022","6","2022","6","108.7415372936041"
"2022","7","2022","7","108.7415372936041"
"2022","0","2022","0","109.3990358701841"
"2022","9","2022","9","109.0807743404821"
"2022","10","2022","10","83.22159802619092"
"2022","11","2022","11","109.517997722528"
"2022","0","2022","0","107.4704213323211"
"2021","1","2021","1","104.682888593661"
"2021","0","2021","0","106.4411577149364"
"2021","3","2021","3","105.5163066995635"
"2021","4","2021","4","105.6838223571835"
"2021","5","2021","5","105.8168494970582"
"2021","6","2021","6","106.7462459669766"
"2021","7","2021","7","107.0566426266844"
"2021","0","2021","0","106.9124046308597"
"2021","9","2021","9","107.0566426266844"
"2021","10","2021","10","107.2214860504839"
"2021","11","2021","11","107.5426171949136"
"2021","0","2021","0","107.6947067754792"
"2020","1","2020","1","105.0400455494401"
"2020","0","2020","0","105.2321958625925"
"2020","3","2020","3","104.9205238185614"
"2020","4","2020","4","104.9205238185614"
"2020","5","2020","5","104.9205238185614"
"2020","6","2020","6","105.1126741317138"
"2020","7","2020","7","104.9205238185614"
"2020","0","2020","0","104.6952059214272"
"2020","9","2020","9","104.6952059214272"
"2020","10","2020","10","104.682888593661"
"2020","11","2020","11","104.682888593661"
"2020","0","2020","0","105.1016777377111"
"2019","1","2019","1","103.7105560827481"
"2019","0","2019","0","103.5419776048586"
"2019","3","2019","3","105.291744163978"
"2019","4","2019","4","104.3026836211805"
"2019","5","2019","5","105.0081123992947"
"2019","6","2019","6","104.5617992028848"
"2019","7","2019","7","105.1842835452648"
"2019","0","2019","0","106.0925"
"2019","9","2019","9","106.0925"
"2019","10","2019","10","106.0925"
"2019","11","2019","11","105.1842835452648"
"2019","0","2019","0","105.1842835452648"
"2018","1","2018","1","102.8386126399696"
"2018","0","2018","0","102.5399449610932"
"2018","3","2018","3","102.5878250142342"
"2018","4","2018","4","102.5878250142342"
"2018","5","2018","5","98.91579616625545"
"2018","6","2018","6","98.91579616625545"
"2018","7","2018","7","98.91579616625545"
"2018","0","2018","0","102.4607230973619"
"2018","9","2018","9","102.4607230973619"
"2018","10","2018","10","102.4607230973619"
"2018","11","2018","11","102.7171968115392"
"2018","0","2018","0","105.0645947997723"
"2017","1","2017","1","100.2925526665401"
"2017","0","2017","0","102.1378364015942"
"2017","3","2017","3","98.59290947048775"
"2017","4","2017","4","101.0281780223951"
"2017","5","2017","5","101.5731163408616"
"2017","6","2017","6","100.2957278420952"
"2017","7","2017","7","96.6561795407098"
"2017","0","2017","0","98.11412602011765"
"2017","9","2017","9","98.36479218067942"
"2017","10","2017","10","98.51124881381665"
"2017","11","2017","11","103.7165515278041"
"2017","0","2017","0","107.0756215600683"
