annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","138.6761154393268"
"2024","0","2024","0","142.6173707833368"
"2024","3","2024","3","135.3690641948315"
"2024","4","2024","4","135.3458650346555"
"2024","5","2024","5","137.6125895677465"
"2024","6","2024","6","136.7008179549791"
"2024","7","2024","7","140.6953719730166"
"2024","0","2024","0","138.4961794035756"
"2024","9","2024","9","135.3581943361307"
"2024","10","2024","10","138.0996137108557"
"2023","1","2023","1","148.3052671383264"
"2023","0","2023","0","142.6138326421078"
"2023","3","2023","3","146.179924371798"
"2023","4","2023","4","150.2633678946085"
"2023","5","2023","5","148.3958441083191"
"2023","6","2023","6","147.2697926323494"
"2023","7","2023","7","151.0202964137595"
"2023","0","2023","0","148.2215845328128"
"2023","9","2023","9","144.9559786488991"
"2023","10","2023","10","152.0667472738376"
"2023","11","2023","11","145.7507395735594"
"2023","0","2023","0","146.6825291438052"
"2022","1","2022","1","117.303563064162"
"2022","0","2022","0","122.7923969260795"
"2022","3","2022","3","129.8183020248841"
"2022","4","2022","4","120.7207965357404"
"2022","5","2022","5","125.2123774091242"
"2022","6","2022","6","130.4321541839473"
"2022","7","2022","7","139.8228080019517"
"2022","0","2022","0","128.241105147597"
"2022","9","2022","9","135.1841607709197"
"2022","10","2022","10","140.7144730422054"
"2022","11","2022","11","137.5027653086118"
"2022","0","2022","0","141.4700365942913"
"2021","1","2021","1","109.4859782873872"
"2021","0","2021","0","112.0760490363503"
"2021","3","2021","3","109.8100329348622"
"2021","4","2021","4","111.0148072700659"
"2021","5","2021","5","110.6687496950476"
"2021","6","2021","6","114.4270639180288"
"2021","7","2021","7","118.002873871676"
"2021","0","2021","0","116.512600634301"
"2021","9","2021","9","114.4076811417419"
"2021","10","2021","10","115.2515284215662"
"2021","11","2021","11","112.5949255916077"
"2021","0","2021","0","114.4891546718712"
"2020","1","2020","1","101.4065662356672"
"2020","0","2020","0","102.8729019272993"
"2020","3","2020","3","99.71430226884605"
"2020","4","2020","4","97.46789216882166"
"2020","5","2020","5","97.8089814588924"
"2020","6","2020","6","102.053533788729"
"2020","7","2020","7","97.37694437667724"
"2020","0","2020","0","99.53610026835813"
"2020","9","2020","9","98.07192363991217"
"2020","10","2020","10","101.5048158087338"
"2020","11","2020","11","103.0133154427909"
"2020","0","2020","0","104.9976945596487"
"2019","1","2019","1","98.55126006343012"
"2019","0","2019","0","97.06671139302267"
"2019","3","2019","3","98.02580263478896"
"2019","4","2019","4","100.3553500853867"
"2019","5","2019","5","100.2715207503185"
"2019","6","2019","6","100.5340424493779"
"2019","7","2019","7","100.4570980727007"
"2019","0","2019","0","96.7123"
"2019","9","2019","9","104.7319"
"2019","10","2019","10","98.06550000000001"
"2019","11","2019","11","95.96810563552086"
"2019","0","2019","0","96.15880458648451"
"2018","1","2018","1","102.8873200780678"
"2018","0","2018","0","100.2936618687485"
"2018","3","2018","3","102.1554281532081"
"2018","4","2018","4","106.9426884606001"
"2018","5","2018","5","105.8396413759453"
"2018","6","2018","6","102.8382849475482"
"2018","7","2018","7","103.6106391802879"
"2018","0","2018","0","106.4003073920468"
"2018","9","2018","9","105.8847328616736"
"2018","10","2018","10","105.7388143449622"
"2018","11","2018","11","102.4605611124665"
"2018","0","2018","0","96.45921566235667"
"2017","1","2017","1","104.0899646255184"
"2017","0","2017","0","106.5473566723591"
"2017","3","2017","3","103.6016918760673"
"2017","4","2017","4","116.2816443034887"
"2017","5","2017","5","107.4905476945597"
"2017","6","2017","6","123.8434349841425"
"2017","7","2017","7","105.5779604781654"
"2017","0","2017","0","103.5976164918273"
"2017","9","2017","9","101.0901756525982"
"2017","10","2017","10","102.979264454745"
"2017","11","2017","11","99.80172969016833"
"2017","0","2017","0","101.1393522810442"
