annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2025","1","2025","1","102.7"
"2025","2","2025","2","102.5"
"2025","3","2025","3","103.0"
"2025","4","2025","4","103.6"
"2025","5","2025","5","103.7"
"1997","1","1997","1","41.93"
"1997","2","1997","2","42.34"
"1997","3","1997","3","42.46"
"1997","4","1997","4","42.67"
"1997","5","1997","5","42.83"
"1997","6","1997","6","43.12"
"1997","7","1997","7","43.2"
"1997","8","1997","8","43.58"
"1997","9","1997","9","43.62"
"1997","10","1997","10","43.29"
"1997","11","1997","11","43.16"
"1997","12","1997","12","43.41"
"1998","1","1998","1","44.07"
"1998","2","1998","2","44.44"
"1998","3","1998","3","44.69"
"1998","4","1998","4","45.23"
"1998","5","1998","5","46.05"
"1998","6","1998","6","46.59"
"1998","7","1998","7","45.8"
"1998","8","1998","8","45.23"
"1998","9","1998","9","44.57"
"1998","10","1998","10","44.15"
"1998","11","1998","11","44.24"
"1998","12","1998","12","44.28"
"1999","1","1999","1","44.9"
"1999","2","1999","2","44.98"
"1999","3","1999","3","44.9"
"1999","4","1999","4","44.94"
"1999","5","1999","5","45.1"
"1999","6","1999","6","45.39"
"1999","7","1999","7","45.47"
"1999","8","1999","8","46.01"
"1999","9","1999","9","46.05"
"1999","10","1999","10","45.43"
"1999","11","1999","11","44.94"
"1999","12","1999","12","44.98"
"2000","1","2000","1","45.14"
"2000","2","2000","2","45.14"
"2000","3","2000","3","45.76"
"2000","4","2000","4","46.09"
"2000","5","2000","5","46.46"
"2000","6","2000","6","47.04"
"2000","7","2000","7","47.12"
"2000","8","2000","8","47.29"
"2000","9","2000","9","46.92"
"2000","10","2000","10","46.79"
"2000","11","2000","11","46.51"
"2000","12","2000","12","46.59"
"2001","1","2001","1","47.41"
"2001","2","2001","2","47.66"
"2001","3","2001","3","47.93"
"2001","4","2001","4","48.12"
"2001","5","2001","5","48.69"
"2001","6","2001","6","48.98"
"2001","7","2001","7","48.84"
"2001","8","2001","8","48.81"
"2001","9","2001","9","48.53"
"2001","10","2001","10","48.63"
"2001","11","2001","11","48.68"
"2001","12","2001","12","48.82"
"2002","1","2002","1","49.51"
"2002","2","2002","2","49.53"
"2002","3","2002","3","49.53"
"2002","4","2002","4","49.68"
"2002","5","2002","5","49.76"
"2002","6","2002","6","50.3"
"2002","7","2002","7","49.75"
"2002","8","2002","8","49.72"
"2002","9","2002","9","49.76"
"2002","10","2002","10","50.05"
"2002","11","2002","11","50.43"
"2002","12","2002","12","50.96"
"2003","1","2003","1","51.11"
"2003","2","2003","2","51.46"
"2003","3","2003","3","51.53"
"2003","4","2003","4","51.95"
"2003","5","2003","5","52.28"
"2003","6","2003","6","52.44"
"2003","7","2003","7","51.83"
"2003","8","2003","8","52"
"2003","9","2003","9","51.33"
"2003","10","2003","10","50.99"
"2003","11","2003","11","50.92"
"2003","12","2003","12","50.91"
"2004","1","2004","1","51.26"
"2004","2","2004","2","51.22"
"2004","3","2004","3","51.67"
"2004","4","2004","4","52.56"
"2004","5","2004","5","52.68"
"2004","6","2004","6","52.72"
"2004","7","2004","7","52.6"
"2004","8","2004","8","52.49"
"2004","9","2004","9","52.21"
"2004","10","2004","10","52.04"
"2004","11","2004","11","53.12"
"2004","12","2004","12","53.17"
"2005","1","2005","1","53.75"
"2005","2","2005","2","53.87"
"2005","3","2005","3","54.02"
"2005","4","2005","4","54.16"
"2005","5","2005","5","54.26"
"2005","6","2005","6","54.45"
"2005","7","2005","7","54.45"
"2005","8","2005","8","54.85"
"2005","9","2005","9","54.73"
"2005","10","2005","10","54.54"
"2005","11","2005","11","54.54"
"2005","12","2005","12","54.51"
"2006","1","2006","1","54.82"
"2006","2","2006","2","55.05"
"2006","3","2006","3","55.19"
"2006","4","2006","4","55.56"
"2006","5","2006","5","55.81"
"2006","6","2006","6","56.31"
"2006","7","2006","7","56.38"
"2006","8","2006","8","56.37"
"2006","9","2006","9","55.9"
"2006","10","2006","10","55.58"
"2006","11","2006","11","55.62"
"2006","12","2006","12","55.62"
"2007","1","2007","1","56.2"
"2007","2","2007","2","56.6"
"2007","3","2007","3","56.94"
"2007","4","2007","4","57"
"2007","5","2007","5","57.21"
"2007","6","2007","6","57.44"
"2007","7","2007","7","57.14"
"2007","8","2007","8","56.86"
"2007","9","2007","9","56.58"
