annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","3.0766389498354583"
"2024","2","2024","2","3.5327106413983227"
"2024","3","2024","3","3.8020841298261554"
"2024","4","2024","4","3.653268634117458"
"2024","5","2024","5","4.924060319801274"
"2024","6","2024","6","4.07786763548871"
"2024","7","2024","7","3.970164397972768"
"2024","8","2024","8","4.523107629486909"
"2024","9","2024","9","2.779201826314106"
"2024","10","2024","10","2.6232546423458185"
"2023","1","2023","1","4.7970831267550444"
"2023","2","2023","2","4.855276920750927"
"2023","3","2023","3","5.191726925340966"
"2023","4","2023","4","5.225605845052848"
"2023","5","2023","5","4.798261944427102"
"2023","6","2023","6","4.081024226857084"
"2023","7","2023","7","4.554960007075632"
"2023","8","2023","8","3.624331425143729"
"2023","9","2023","9","4.233421022985676"
"2023","10","2023","10","3.6990437973566106"
"2023","11","2023","11","3.669545154407397"
"2023","12","2023","12","3.9946123161573968"
"2022","1","2022","1","5.600083890319159"
"2022","2","2022","2","4.5847707903642645"
"2022","3","2022","3","4.469215252179172"
"2022","4","2022","4","4.0117850498787835"
"2022","5","2022","5","3.511685860475914"
"2022","6","2022","6","5.4141465843003305"
"2022","7","2022","7","5.409060881295811"
"2022","8","2022","8","6.167991476022299"
"2022","9","2022","9","6.278273351828749"
"2022","10","2022","10","6.208690181640756"
"2022","11","2022","11","5.72918027239702"
"2022","12","2022","12","5.080078234145654"
"2021","1","2021","1","2.2877372884641374"
"2021","2","2021","2","3.230692229272604"
"2021","3","2021","3","3.338677924059636"
"2021","4","2021","4","3.899897878755512"
"2021","5","2021","5","4.182176946750981"
"2021","6","2021","6","3.540667309676605"
"2021","7","2021","7","3.920695203241581"
"2021","8","2021","8","4.719081666998873"
"2021","9","2021","9","5.2137446590620735"
"2021","10","2021","10","4.473099055051836"
"2021","11","2021","11","5.4987205884674175"
"2021","12","2021","12","5.578916259370599"
"2020","1","2020","1","1.99257241743396"
"2020","2","2020","2","2.571898185607779"
"2020","3","2020","3","2.425511180491933"
"2020","4","2020","4","2.34818437029793"
"2020","5","2020","5","2.3005210395833986"
"2020","6","2020","6","2.8090720319977183"
"2020","7","2020","7","2.7340003545112053"
"2020","8","2020","8","2.7312783556597844"
"2020","9","2020","9","1.9259323240900745"
"2020","10","2020","10","3.060479224009391"
"2020","11","2020","11","1.7417439727584774"
"2020","12","2020","12","2.3115234331362564"
"2019","1","2019","1","-10.241927630193732"
"2019","2","2019","2","-10.178157250662853"
"2019","3","2019","3","-10.524770643290928"
"2019","4","2019","4","-10.381798508743543"
"2019","5","2019","5","-9.361697067014761"
"2019","6","2019","6","-9.62706452504324"
"2019","7","2019","7","-9.892480094991349"
"2019","8","2019","8","-10.854354503882652"
"2019","9","2019","9","-10.064147605299741"
"2019","10","2019","10","-10.281674704076309"
"2019","11","2019","11","-9.918475862068965"
"2019","12","2019","12","-8.583066945169714"
"2018","1","2018","1","0.19163763066201994"
"2018","2","2018","2","-0.6065857885615276"
"2018","3","2018","3","0.610287707061903"
"2018","4","2018","4","0.08650519031142606"
"2018","5","2018","5","-1.0335917312661402"
"2018","6","2018","6","0.43365134431916735"
"2018","7","2018","7","0.2597402597402573"
"2018","8","2018","8","0.958188153310112"
"2018","9","2018","9","0.5240174672489033"
"2018","10","2018","10","0.8748906386701663"
"2018","11","2018","11","1.7543859649122806"
"2017","1","2017","1","1.1453744493392046"
"2017","2","2017","2","1.4059753954305876"
"2017","3","2017","3","0.34995625546807146"
"2017","4","2017","4","0.08658008658008166"
"2017","5","2017","5","-0.3433476394849834"
"2017","6","2017","6","-0.08665511265165383"
"2017","7","2017","7","0.6974716652135982"
"2017","8","2017","8","1.2345679012345603"
"2017","9","2017","9","1.3274336283185841"
"2017","10","2017","10","1.0610079575596842"
"2017","11","2017","11","0.35211267605634305"
"2017","12","2017","12","1.0554089709762557"
"2016","1","2016","1","0.26501766784452047"
"2016","2","2016","2","0.8865248226950355"
"2016","3","2016","3","0.88261253309797"
"2016","4","2016","4","2.0318021201413403"
"2016","5","2016","5","2.282704126426685"
"2016","6","2016","6","0.8741258741258741"
"2016","7","2016","7","0.43782837127845886"
"2016","8","2016","8","-0.4389815627743635"
"2016","9","2016","9","0.6233303650935021"
"2016","10","2016","10","0.5333333333333283"
"2016","11","2016","11","0.3533568904593564"
"2016","12","2016","12","-0.26315789473683965"
"2015","1","2015","1","1.5246636771300475"
"2015","2","2015","2","1.2567324955116619"
"2015","3","2015","3","1.7969451931716083"
"2015","4","2015","4","1.433691756272409"
"2015","5","2015","5","1.1545293072824259"
"2015","6","2015","6","1.779359430604982"
"2015","7","2015","7","1.2411347517730547"
"2015","8","2015","8","1.2444444444444496"
"2015","9","2015","9","0.8078994614003514"
"2015","10","2015","10","0.5361930294906115"
"2015","11","2015","11","0.8912655971479502"
"2015","12","2015","12","1.4234875444839807"
"2014","1","2014","1","0.08634051311810778"
"2014","2","2014","2","-0.11811122211710229"
"2014","3","2014","3","-0.03423658450864695"
"2014","4","2014","4","-0.23072154485164026"
"2014","5","2014","5","0.8908751473752726"
"2014","6","2014","6","0.6220231661428085"
"2014","7","2014","7","0.9347526716141289"
"2014","8","2014","8","0.848266339977705"
"2014","9","2014","9","0.0640181643543169"
"2014","10","2014","10","0.6148519106264136"
"2014","11","2014","11","0.9687176658688453"
"2014","12","2014","12","0.8804561836147455"
"2013","1","2013","1","3.4087636683529987"
"2013","2","2013","2","3.5997303031904466"
"2013","3","2013","3","3.67202771108251"
"2013","4","2013","4","3.9420912135759933"
"2013","5","2013","5","3.4576040699188946"
"2013","6","2013","6","2.9165299641799685"
"2013","7","2013","7","2.440449340764599"
"2013","8","2013","8","2.2603306178069618"
"2013","9","2013","9","2.1654272667611734"
"2013","10","2013","10","1.682912190720591"
"2013","11","2013","11","1.1327141420833404"
"2013","12","2013","12","0.41539748252736"
"2012","1","2012","1","2.29589540304516"
"2012","2","2012","2","1.9737366411427073"
"2012","3","2012","3","0.6199908386973914"
"2012","4","2012","4","-3.8551509286380536"
"2012","5","2012","5","-1.244680332969309"
"2012","6","2012","6","0.9723883439369698"
"2012","7","2012","7","1.7015717810718354"
"2012","8","2012","8","1.8683474346525044"
"2012","9","2012","9","2.204948950590842"
"2012","10","2012","10","3.0376728693465043"
"2012","11","2012","11","2.9764295716266287"
"2012","12","2012","12","3.4330686006146056"
"2011","1","2011","1","4.553689037705144"
"2011","2","2011","2","5.139664189059205"
"2011","3","2011","3","5.787089548782966"
"2011","4","2011","4","9.12372610655644"
"2011","5","2011","5","6.476398420049718"
"2011","6","2011","6","4.593254163931925"
"2011","7","2011","7","4.534275758327622"
"2011","8","2011","8","4.558984879564141"
"2011","9","2011","9","4.706345074224501"
"2011","10","2011","10","4.129166917932877"
"2011","11","2011","11","3.266527126028276"
"2011","12","2011","12","1.9437096568959593"
"2010","1","2010","1","-1.2287437482415342"
"2010","2","2010","2","-1.3889637493264662"
"2010","3","2010","3","-0.48002192454881243"
"2010","4","2010","4","1.8784757266887109"
"2010","5","2010","5","0.8851932528186834"
"2010","6","2010","6","1.756990146045867"
"2010","7","2010","7","1.7562524913158573"
"2010","8","2010","8","1.9954674581900589"
"2010","9","2010","9","1.6553508080073387"
"2010","10","2010","10","2.943777852663221"
"2010","11","2010","11","3.5638262130026632"
"2010","12","2010","12","5.100250772983195"
"2009","1","2009","1","7.143336618705054"
"2009","2","2009","2","5.790555894886373"
"2009","3","2009","3","3.5616941876750685"
"2009","4","2009","4","3.0999776077885732"
"2009","5","2009","5","2.6514981443299"
"2009","6","2009","6","0.842298737351932"
"2009","7","2009","7","-1.229035566304859"
"2009","8","2009","8","-1.348176606731788"
"2009","9","2009","9","-2.2221218948214494"
"2009","10","2009","10","-2.582286924789312"
"2009","11","2009","11","-0.9149111662529297"
"2009","12","2009","12","-1.629087435004395"
"2008","1","2008","1","2.0559123903413523"
"2008","2","2008","2","2.659607481938675"
"2008","3","2008","3","3.4966042177095646"
"2008","4","2008","4","4.1131594200716215"
"2008","5","2008","5","4.94579823245902"
"2008","6","2008","6","5.215199423499661"
"2008","7","2008","7","8.16323444043321"
"2008","8","2008","8","8.977600943396236"
"2008","9","2008","9","9.66284485776805"
"2008","10","2008","10","9.599483333333358"
"2008","11","2008","11","7.924922597212003"
"2008","12","2008","12","8.931981432748515"
"2007","1","2007","1","2.525969099972891"
"2007","2","2007","2","2.799254591539402"
"2007","3","2007","3","3.1712695928304724"
"2007","4","2007","4","2.5862082885454107"
"2007","5","2007","5","2.507801516828745"
"2007","6","2007","6","2.0027023140439137"
"2007","7","2007","7","1.3909224011713128"
"2007","8","2007","8","0.8784773060029449"
"2007","9","2007","9","1.1808118081180874"
"2007","10","2007","10","1.1135857461024523"
"2007","11","2007","11","1.1127596439169052"
"2007","12","2007","12","1.4836795252225476"
"2006","1","2006","1","1.9823865619011727"
"2006","2","2006","2","2.2012635610569875"
"2006","3","2006","3","2.1489574508674725"
"2006","4","2006","4","2.5707600510998185"
"2006","5","2006","5","2.8668035003158066"
"2006","6","2006","6","3.417801250052488"
"2006","7","2006","7","3.5263393319232783"
"2006","8","2006","8","2.7746235920603324"
"2006","9","2006","9","2.1713226291708354"
"2006","10","2006","10","1.9145614277727763"
"2006","11","2006","11","1.9823044194013928"
"2006","12","2006","12","2.0411260710618606"
"2005","1","2005","1","4.863965152904304"
"2005","2","2005","2","5.178944676543495"
"2005","3","2005","3","4.555848417011066"
"2005","4","2005","4","3.051912400073098"
"2005","5","2005","5","2.9912355622612186"
"2005","6","2005","6","3.2903209789922228"
"2005","7","2005","7","3.5214228724133045"
"2005","8","2005","8","4.482212038887634"
"2005","9","2005","9","4.8112753655474405"
"2005","10","2005","10","4.795112312054872"
"2005","11","2005","11","2.6789142921011644"
"2005","12","2005","12","2.5259158003655635"
"2004","1","2004","1","0.29218919587550296"
"2004","2","2004","2","-0.4497282612215714"
"2004","3","2004","3","0.2740327531571385"
"2004","4","2004","4","1.1975436607991607"
"2004","5","2004","5","0.7909245261132458"
"2004","6","2004","6","0.5312615305278046"
"2004","7","2004","7","1.483266692525076"
"2004","8","2004","8","0.9526203854706372"
"2004","9","2004","9","1.7155986675649215"
"2004","10","2004","10","2.06047398079674"
"2004","11","2004","11","4.301738303540548"
"2004","12","2004","12","4.442140740549627"
"2003","1","2003","1","3.2279497467405216"
"2003","2","2003","2","3.8825318652261354"
"2003","3","2003","3","4.034690190141155"
"2003","4","2003","4","4.5406684518644935"
"2003","5","2003","5","5.035070454327162"
"2003","6","2003","6","4.244711654498934"
"2003","7","2003","7","4.179290303547001"
"2003","8","2003","8","4.592436816891787"
"2003","9","2003","9","3.160390988124062"
"2003","10","2003","10","1.8637131015025732"
"2003","11","2003","11","1.0225853509209237"
"2003","12","2003","12","-0.10300999179641002"
"2002","1","2002","1","4.4644417837967465"
"2002","2","2002","2","3.926753669928673"
"2002","3","2002","3","3.350357889468558"
"2002","4","2002","4","3.260649628822132"
"2002","5","2002","5","2.176168319385696"
"2002","6","2002","6","2.66087937451307"
"2002","7","2002","7","1.8644072644305787"
"2002","8","2002","8","1.8495706581977744"
"2002","9","2002","9","2.523495443809609"
"2002","10","2002","10","2.9418208437143045"
"2002","11","2002","11","3.565982211445795"
"2002","12","2002","12","4.408603219157259"
"2001","1","2001","1","5.016059174521059"
"2001","2","2001","2","5.600943298854766"
"2001","3","2001","3","4.701259113398626"
"2001","4","2001","4","4.376890270223788"
"2001","5","2001","5","4.880905302212901"
"2001","6","2001","6","4.128715255874349"
"2001","7","2001","7","3.6630448124793213"
"2001","8","2001","8","3.215501535115095"
"2001","9","2001","9","3.4670368557699893"
"2001","10","2001","10","3.899019960210315"
"2001","11","2001","11","4.714284464960095"
"2001","12","2001","12","4.77846636290391"
"2000","1","2000","1","0.534645683417434"
"2000","2","2000","2","0.3146611040936831"
