annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","103.9291338639408"
"2024","0","2024","0","103.9291338639408"
"2024","3","2024","3","103.8461989086038"
"2024","4","2024","4","103.9291338639408"
"2024","5","2024","5","103.9291338639408"
"2024","6","2024","6","103.9291338639408"
"2024","7","2024","7","103.9291338639408"
"2024","0","2024","0","103.9291338639408"
"2024","9","2024","9","103.9291338639408"
"2024","10","2024","10","103.9291338639408"
"2023","1","2023","1","104.0116590284143"
"2023","0","2023","0","104.0116590284143"
"2023","3","2023","3","104.0116590284143"
"2023","4","2023","4","104.0116590284143"
"2023","5","2023","5","103.9259578368469"
"2023","6","2023","6","103.9259578368469"
"2023","7","2023","7","103.9259578368469"
"2023","0","2023","0","103.9259578368469"
"2023","9","2023","9","103.9291338639408"
"2023","10","2023","10","103.9291338639408"
"2023","11","2023","11","103.9291338639408"
"2023","0","2023","0","103.9291338639408"
"2022","1","2022","1","100.0481943171402"
"2022","0","2022","0","100.0481943171402"
"2022","3","2022","3","100.0481943171402"
"2022","4","2022","4","100.0481943171402"
"2022","5","2022","5","100.0481943171402"
"2022","6","2022","6","104.0116590284143"
"2022","7","2022","7","104.0116590284143"
"2022","0","2022","0","104.0116590284143"
"2022","9","2022","9","104.0116590284143"
"2022","10","2022","10","104.0116590284143"
"2022","11","2022","11","104.0116590284143"
"2022","0","2022","0","104.0116590284143"
"2021","1","2021","1","99.7566422242591"
"2021","0","2021","0","99.7566422242591"
"2021","3","2021","3","99.7566422242591"
"2021","4","2021","4","99.83730216926368"
"2021","5","2021","5","99.83730216926368"
"2021","6","2021","6","100.0481943171402"
"2021","7","2021","7","100.0481943171402"
"2021","0","2021","0","99.83730216926368"
"2021","9","2021","9","99.83730216926368"
"2021","10","2021","10","100.0481943171402"
"2021","11","2021","11","100.0481943171402"
"2021","0","2021","0","100.0481943171402"
"2020","1","2020","1","99.11472349526429"
"2020","0","2020","0","99.11472349526429"
"2020","3","2020","3","99.11472349526429"
"2020","4","2020","4","99.11472349526429"
"2020","5","2020","5","99.11472349526429"
"2020","6","2020","6","99.11472349526429"
"2020","7","2020","7","99.11472349526429"
"2020","0","2020","0","99.11472349526429"
"2020","9","2020","9","99.11472349526429"
"2020","10","2020","10","99.11472349526429"
"2020","11","2020","11","99.11472349526429"
"2020","0","2020","0","99.11472349526429"
"2019","1","2019","1","99.11472349526429"
"2019","0","2019","0","98.43581118240147"
"2019","3","2019","3","99.13068744271311"
"2019","4","2019","4","99.99999999999999"
"2019","5","2019","5","99.78506462035303"
"2019","6","2019","6","99.11472349526429"
"2019","7","2019","7","99.11472349526429"
"2019","0","2019","0","92.92530000000001"
"2019","9","2019","9","92.92530000000001"
"2019","10","2019","10","92.92530000000001"
"2019","11","2019","11","99.11472349526429"
"2019","0","2019","0","99.11472349526429"
"2018","1","2018","1","99.13068744271311"
"2018","0","2018","0","99.13068744271311"
"2018","3","2018","3","99.13068744271311"
"2018","4","2018","4","99.13068744271311"
"2018","5","2018","5","93.31409715857012"
"2018","6","2018","6","93.2981332111213"
"2018","7","2018","7","93.2981332111213"
"2018","0","2018","0","99.11472349526429"
"2018","9","2018","9","99.11472349526429"
"2018","10","2018","10","99.11472349526429"
"2018","11","2018","11","99.11472349526429"
"2018","0","2018","0","99.11472349526429"
"2017","1","2017","1","100.7809899175069"
"2017","0","2017","0","100.7809899175069"
"2017","3","2017","3","94.96439963336388"
"2017","4","2017","4","100.7809899175069"
"2017","5","2017","5","100.7809899175069"
"2017","6","2017","6","100.7809899175069"
"2017","7","2017","7","99.69147571035747"
"2017","0","2017","0","93.31409715857012"
"2017","9","2017","9","93.31409715857012"
"2017","10","2017","10","93.31409715857012"
"2017","11","2017","11","99.13068744271311"
"2017","0","2017","0","99.13068744271311"
