annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","117.5089973727153"
"2024","0","2024","0","117.5089973727153"
"2024","3","2024","3","118.6335317907042"
"2024","4","2024","4","118.5091464064538"
"2024","5","2024","5","118.4247361109575"
"2024","6","2024","6","118.5413550535007"
"2024","7","2024","7","118.4552015179261"
"2024","0","2024","0","118.6552384846896"
"2024","9","2024","9","118.6552384846896"
"2024","10","2024","10","118.9487076899548"
"2023","1","2023","1","113.3416788321168"
"2023","0","2023","0","113.2535453597497"
"2023","3","2023","3","112.1516266944734"
"2023","4","2023","4","113.2081230448384"
"2023","5","2023","5","113.2506777893639"
"2023","6","2023","6","114.7470281543274"
"2023","7","2023","7","115.4599582898853"
"2023","0","2023","0","115.2720542231491"
"2023","9","2023","9","115.5384903779487"
"2023","10","2023","10","116.1660831588646"
"2023","11","2023","11","116.4351521990216"
"2023","0","2023","0","116.8285210388665"
"2022","1","2022","1","109.8265172054223"
"2022","0","2022","0","110.9976955161626"
"2022","3","2022","3","111.4895620437956"
"2022","4","2022","4","112.1582794577685"
"2022","5","2022","5","112.1582794577685"
"2022","6","2022","6","112.0845359749739"
"2022","7","2022","7","112.0845359749739"
"2022","0","2022","0","110.3307090719499"
"2022","9","2022","9","110.4134827945777"
"2022","10","2022","10","110.3028675703858"
"2022","11","2022","11","112.2039103232534"
"2022","0","2022","0","113.2760688216892"
"2021","1","2021","1","108.0833055265902"
"2021","0","2021","0","108.4377789363921"
"2021","3","2021","3","108.6245151199166"
"2021","4","2021","4","108.4150677789364"
"2021","5","2021","5","108.7074139728884"
"2021","6","2021","6","108.3095203336809"
"2021","7","2021","7","108.4816996871741"
"2021","0","2021","0","108.2085401459854"
"2021","9","2021","9","108.410417101147"
"2021","10","2021","10","109.1344004171011"
"2021","11","2021","11","109.2164233576642"
"2021","0","2021","0","109.5424921793535"
"2020","1","2020","1","107.0507612095933"
"2020","0","2020","0","106.9618665276329"
"2020","3","2020","3","106.8886861313868"
"2020","4","2020","4","106.8461626694473"
"2020","5","2020","5","107.2710218978102"
"2020","6","2020","6","106.4637851929093"
"2020","7","2020","7","107.21385818561"
"2020","0","2020","0","107.2842231491136"
"2020","9","2020","9","108.1163816475495"
"2020","10","2020","10","107.9775912408759"
"2020","11","2020","11","107.9606986444213"
"2020","0","2020","0","108.6217101147028"
"2019","1","2019","1","105.5201564129301"
"2019","0","2019","0","104.5019708029197"
"2019","3","2019","3","104.2570490093848"
"2019","4","2019","4","105.0557768508863"
"2019","5","2019","5","104.8037325313707"
"2019","6","2019","6","105.0557768508863"
"2019","7","2019","7","104.8071428571428"
"2019","0","2019","0","104.497"
"2019","9","2019","9","105.8644"
"2019","10","2019","10","105.5765"
"2019","11","2019","11","106.4032221063608"
"2019","0","2019","0","106.9069238790406"
"2018","1","2018","1","105.3581230448384"
"2018","0","2018","0","105.238488008342"
"2018","3","2018","3","105.7122106360792"
"2018","4","2018","4","105.5148175182482"
"2018","5","2018","5","105.6966944734098"
"2018","6","2018","6","105.3223774765381"
"2018","7","2018","7","105.3064233576642"
"2018","0","2018","0","104.9697705943691"
"2018","9","2018","9","105.2473514077164"
"2018","10","2018","10","105.7779040667362"
"2018","11","2018","11","105.4729822732013"
"2018","0","2018","0","109.4826903023983"
"2017","1","2017","1","103.07543274244"
"2017","0","2017","0","103.1956100104275"
"2017","3","2017","3","103.2558915537018"
"2017","4","2017","4","103.2649947862356"
"2017","5","2017","5","103.6697601668404"
"2017","6","2017","6","104.0012617309698"
"2017","7","2017","7","103.9525547445255"
"2017","0","2017","0","104.3062565172054"
"2017","9","2017","9","104.3247236704901"
"2017","10","2017","10","104.3327528675704"
"2017","11","2017","11","104.8462773722628"
"2017","0","2017","0","106.7660271115746"
