annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","115.7330348010761"
"2024","0","2024","0","115.7330348010761"
"2024","3","2024","3","115.7330348010761"
"2024","4","2024","4","115.7330348010761"
"2024","5","2024","5","115.7330348010761"
"2024","6","2024","6","115.7330348010761"
"2024","7","2024","7","115.7330348010761"
"2024","0","2024","0","115.7330348010761"
"2024","9","2024","9","115.7330348010761"
"2024","10","2024","10","116.064541837869"
"2023","1","2023","1","115.7359252082929"
"2023","0","2023","0","115.7359252082929"
"2023","3","2023","3","115.7359252082929"
"2023","4","2023","4","115.7359252082929"
"2023","5","2023","5","115.7359252082929"
"2023","6","2023","6","115.7359252082929"
"2023","7","2023","7","115.7359252082929"
"2023","0","2023","0","115.7359252082929"
"2023","9","2023","9","115.3593993953805"
"2023","10","2023","10","115.3593993953805"
"2023","11","2023","11","115.3593993953805"
"2023","0","2023","0","115.7330348010761"
"2022","1","2022","1","113.6101743848091"
"2022","0","2022","0","113.6101743848091"
"2022","3","2022","3","113.6101743848091"
"2022","4","2022","4","113.6101743848091"
"2022","5","2022","5","113.6101743848091"
"2022","6","2022","6","115.2121894981592"
"2022","7","2022","7","115.3600678163146"
"2022","0","2022","0","115.3600678163146"
"2022","9","2022","9","115.3600678163146"
"2022","10","2022","10","115.3600678163146"
"2022","11","2022","11","115.3600678163146"
"2022","0","2022","0","115.3600678163146"
"2021","1","2021","1","113.6101743848091"
"2021","0","2021","0","113.6101743848091"
"2021","3","2021","3","113.6101743848091"
"2021","4","2021","4","113.6101743848091"
"2021","5","2021","5","113.6101743848091"
"2021","6","2021","6","113.6101743848091"
"2021","7","2021","7","113.6101743848091"
"2021","0","2021","0","113.6101743848091"
"2021","9","2021","9","113.6101743848091"
"2021","10","2021","10","113.6101743848091"
"2021","11","2021","11","113.6101743848091"
"2021","0","2021","0","113.6101743848091"
"2020","1","2020","1","113.6101743848091"
"2020","0","2020","0","113.6101743848091"
"2020","3","2020","3","113.6101743848091"
"2020","4","2020","4","113.6101743848091"
"2020","5","2020","5","113.6101743848091"
"2020","6","2020","6","113.6101743848091"
"2020","7","2020","7","113.6101743848091"
"2020","0","2020","0","113.6101743848091"
"2020","9","2020","9","113.6101743848091"
"2020","10","2020","10","113.6101743848091"
"2020","11","2020","11","113.6101743848091"
"2020","0","2020","0","113.6101743848091"
"2019","1","2019","1","113.7595756636311"
"2019","0","2019","0","113.4954214299554"
"2019","3","2019","3","117.624076729316"
"2019","4","2019","4","113.6101743848091"
"2019","5","2019","5","114.3785523758175"
"2019","6","2019","6","113.5269928308467"
"2019","7","2019","7","113.6101743848091"
"2019","0","2019","0","114.9123"
"2019","9","2019","9","115.9923"
"2019","10","2019","10","115.9923"
"2019","11","2019","11","113.6101743848091"
"2019","0","2019","0","113.6101743848091"
"2018","1","2018","1","112.7257372602209"
"2018","0","2018","0","112.7257372602209"
"2018","3","2018","3","112.7257372602209"
"2018","4","2018","4","112.7257372602209"
"2018","5","2018","5","112.7257372602209"
"2018","6","2018","6","112.7257372602209"
"2018","7","2018","7","112.7257372602209"
"2018","0","2018","0","112.7257372602209"
"2018","9","2018","9","112.7257372602209"
"2018","10","2018","10","112.7257372602209"
"2018","11","2018","11","112.7257372602209"
"2018","0","2018","0","112.7257372602209"
"2017","1","2017","1","111.3876768068204"
"2017","0","2017","0","114.2439895369114"
"2017","3","2017","3","114.2439895369114"
"2017","4","2017","4","112.868360782794"
"2017","5","2017","5","112.9854311180004"
"2017","6","2017","6","112.9854311180004"
"2017","7","2017","7","112.9583200930052"
"2017","0","2017","0","112.9583200930052"
"2017","9","2017","9","112.9583200930052"
"2017","10","2017","10","112.9583200930052"
"2017","11","2017","11","112.9583200930052"
"2017","0","2017","0","112.9583200930052"
