annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","121.6945825671264"
"2024","0","2024","0","121.8149926842524"
"2024","3","2024","3","119.6591735312795"
"2024","4","2024","4","121.2486008417583"
"2024","5","2024","5","122.1279571186146"
"2024","6","2024","6","121.6162605908969"
"2024","7","2024","7","121.4942616916997"
"2024","0","2024","0","121.863741869305"
"2024","9","2024","9","121.9308850409998"
"2024","10","2024","10","121.736302939842"
"2023","1","2023","1","118.9251026558674"
"2023","0","2023","0","118.9372292333773"
"2023","3","2023","3","118.8184121303447"
"2023","4","2023","4","119.4641909964212"
"2023","5","2023","5","119.6249745714824"
"2023","6","2023","6","119.9348446035035"
"2023","7","2023","7","120.847325296666"
"2023","0","2023","0","119.1222546618949"
"2023","9","2023","9","120.9151132876056"
"2023","10","2023","10","120.8249905572404"
"2023","11","2023","11","119.9330270615956"
"2023","0","2023","0","120.996288849957"
"2022","1","2022","1","105.8098700320211"
"2022","0","2022","0","107.1484234319081"
"2022","3","2022","3","110.8796477679412"
"2022","4","2022","4","113.895987944999"
"2022","5","2022","5","110.7380862686005"
"2022","6","2022","6","114.0182256545488"
"2022","7","2022","7","114.3535317385571"
"2022","0","2022","0","114.5785458655114"
"2022","9","2022","9","116.2962365793935"
"2022","10","2022","10","113.9321567150122"
"2022","11","2022","11","116.6408344320964"
"2022","0","2022","0","118.21582407233"
"2021","1","2021","1","104.0932115275946"
"2021","0","2021","0","104.7515633829346"
"2021","3","2021","3","104.9207967602185"
"2021","4","2021","4","104.6637238651347"
"2021","5","2021","5","105.0254699566773"
"2021","6","2021","6","103.9947184027124"
"2021","7","2021","7","104.5992766999435"
"2021","0","2021","0","104.5473234130721"
"2021","9","2021","9","104.3715257110567"
"2021","10","2021","10","103.2123978150311"
"2021","11","2021","11","104.4909625164814"
"2021","0","2021","0","105.1023582595592"
"2020","1","2020","1","102.018681484272"
"2020","0","2020","0","102.2718025993596"
"2020","3","2020","3","101.6634281408928"
"2020","4","2020","4","102.2434676963646"
"2020","5","2020","5","101.5501205500094"
"2020","6","2020","6","101.9431211150876"
"2020","7","2020","7","101.9022282915803"
"2020","0","2020","0","102.4600395554718"
"2020","9","2020","9","101.2433998869844"
"2020","10","2020","10","102.6611584102467"
"2020","11","2020","11","101.9562215106423"
"2020","0","2020","0","101.4170484083631"
"2019","1","2019","1","102.32252778301"
"2019","0","2019","0","101.0554040308909"
"2019","3","2019","3","100.8081729139197"
"2019","4","2019","4","99.4402542851761"
"2019","5","2019","5","101.9188211723233"
"2019","6","2019","6","101.8861009606328"
"2019","7","2019","7","101.3878300998305"
"2019","0","2019","0","101.7718"
"2019","9","2019","9","101.2524"
"2019","10","2019","10","100.8439"
"2019","11","2019","11","100.3922188736108"
"2019","0","2019","0","101.9203786023733"
"2018","1","2018","1","98.69595780749668"
"2018","0","2018","0","98.3206536070823"
"2018","3","2018","3","97.17572989263512"
"2018","4","2018","4","95.53687135053681"
"2018","5","2018","5","94.81045582972308"
"2018","6","2018","6","95.95572800904121"
"2018","7","2018","7","95.94469014880387"
"2018","0","2018","0","97.83462610661141"
"2018","9","2018","9","96.04761160293839"
"2018","10","2018","10","100.7945507628555"
"2018","11","2018","11","98.99975889998113"
"2018","0","2018","0","99.92771520060275"
"2017","1","2017","1","98.10597287624786"
"2017","0","2017","0","97.4213844415144"
"2017","3","2017","3","97.04371256357125"
"2017","4","2017","4","96.98827651158408"
"2017","5","2017","5","98.36254661894893"
"2017","6","2017","6","97.97723865134674"
"2017","7","2017","7","97.75585986061404"
"2017","0","2017","0","99.12997174609153"
"2017","9","2017","9","98.238662648333"
"2017","10","2017","10","97.75631192314937"
"2017","11","2017","11","98.7013109813524"
"2017","0","2017","0","97.51550951214918"
