annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","109.5678320514734"
"2024","0","2024","0","109.7016918877744"
"2024","3","2024","3","109.8225501569182"
"2024","4","2024","4","110.7750612063772"
"2024","5","2024","5","110.8673388967842"
"2024","6","2024","6","111.3497516659147"
"2024","7","2024","7","111.9659553541365"
"2024","0","2024","0","112.2196761057405"
"2024","9","2024","9","112.3570368460545"
"2024","10","2024","10","112.3887014840211"
"2023","1","2023","1","105.6589946777055"
"2023","0","2023","0","106.0499704316972"
"2023","3","2023","3","105.8848728562981"
"2023","4","2023","4","105.9050561797753"
"2023","5","2023","5","107.3869367238321"
"2023","6","2023","6","108.0743879361325"
"2023","7","2023","7","108.244180958013"
"2023","0","2023","0","108.6773211117682"
"2023","9","2023","9","108.8998381306189"
"2023","10","2023","10","109.3387021037119"
"2023","11","2023","11","109.3387021037119"
"2023","0","2023","0","109.3387021037119"
"2022","1","2022","1","102.3111295091662"
"2022","0","2022","0","102.4444825547014"
"2022","3","2022","3","102.6172619751626"
"2022","4","2022","4","102.525659373152"
"2022","5","2022","5","102.7967711413365"
"2022","6","2022","6","103.1023004139562"
"2022","7","2022","7","103.1931933767002"
"2022","0","2022","0","103.8219929036073"
"2022","9","2022","9","104.9146481371969"
"2022","10","2022","10","104.9573211117682"
"2022","11","2022","11","105.4606800709639"
"2022","0","2022","0","105.4810526315789"
"2021","1","2021","1","100.8960023654642"
"2021","0","2021","0","100.9718450620934"
"2021","3","2021","3","101.6426729745713"
"2021","4","2021","4","101.6150620934358"
"2021","5","2021","5","102.5109343583678"
"2021","6","2021","6","103.3099290360733"
"2021","7","2021","7","103.3099290360733"
"2021","0","2021","0","102.4095150798344"
"2021","9","2021","9","102.4095150798344"
"2021","10","2021","10","102.4361561206387"
"2021","11","2021","11","101.6715789473684"
"2021","0","2021","0","102.0382850384388"
"2020","1","2020","1","99.21591366055587"
"2020","0","2020","0","99.39448846836191"
"2020","3","2020","3","99.86121821407453"
"2020","4","2020","4","100.5473920756949"
"2020","5","2020","5","100.1462625665287"
"2020","6","2020","6","100.3251507983442"
"2020","7","2020","7","101.1762625665287"
"2020","0","2020","0","100.7160615020698"
"2020","9","2020","9","101.2777882909521"
"2020","10","2020","10","100.8799645180367"
"2020","11","2020","11","102.071478415139"
"2020","0","2020","0","102.4561975162626"
"2019","1","2019","1","101.0373506800709"
"2019","0","2019","0","100.1156948551153"
"2019","3","2019","3","101.3347604967475"
"2019","4","2019","4","100.7635127143702"
"2019","5","2019","5","101.3243482717541"
"2019","6","2019","6","100.7635127143702"
"2019","7","2019","7","99.41591957421643"
"2019","0","2019","0","101.712"
"2019","9","2019","9","101.7067"
"2019","10","2019","10","101.8203"
"2019","11","2019","11","100.2279065641632"
"2019","0","2019","0","99.28546422235364"
"2018","1","2018","1","100.1140981667652"
"2018","0","2018","0","100.1647959787108"
"2018","3","2018","3","100.3120993494973"
"2018","4","2018","4","97.96473684210524"
"2018","5","2018","5","95.16873447664105"
"2018","6","2018","6","99.24026611472502"
"2018","7","2018","7","99.167882909521"
"2018","0","2018","0","98.59182140745122"
"2018","9","2018","9","98.91934949733886"
"2018","10","2018","10","98.91934949733886"
"2018","11","2018","11","101.3620224719101"
"2018","0","2018","0","100.5840035481963"
"2017","1","2017","1","97.31636309875813"
"2017","0","2017","0","98.77052631578948"
"2017","3","2017","3","99.61305736250739"
"2017","4","2017","4","98.30755765819042"
"2017","5","2017","5","98.98978710821997"
"2017","6","2017","6","99.05126552335896"
"2017","7","2017","7","99.99091070372562"
"2017","0","2017","0","99.97764044943821"
"2017","9","2017","9","99.71133648728564"
"2017","10","2017","10","99.9573743347132"
"2017","11","2017","11","99.64250147841514"
"2017","0","2017","0","99.65697811945594"
