annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","139.6129750605036"
"2024","0","2024","0","143.5394163403968"
"2024","3","2024","3","138.930612631653"
"2024","4","2024","4","148.7505808706079"
"2024","5","2024","5","162.6289128994346"
"2024","6","2024","6","172.8223130917952"
"2024","7","2024","7","158.55762576841"
"2024","0","2024","0","144.9057305040382"
"2024","9","2024","9","130.0414247109963"
"2024","10","2024","10","119.7054282396255"
"2023","1","2023","1","136.0338470465359"
"2023","0","2023","0","134.6078113032378"
"2023","3","2023","3","143.5594650110247"
"2023","4","2023","4","152.9471962399907"
"2023","5","2023","5","156.2825635371939"
"2023","6","2023","6","161.6622026227225"
"2023","7","2023","7","150.3544040849483"
"2023","0","2023","0","139.1954821863758"
"2023","9","2023","9","131.4549601228821"
"2023","10","2023","10","135.2886916216801"
"2023","11","2023","11","142.1890613359568"
"2023","0","2023","0","144.5339030257721"
"2022","1","2022","1","144.2272565858187"
"2022","0","2022","0","150.1434350702101"
"2022","3","2022","3","143.4401009632123"
"2022","4","2022","4","141.8270105605199"
"2022","5","2022","5","131.1423627712661"
"2022","6","2022","6","133.1461355460137"
"2022","7","2022","7","135.8463444354184"
"2022","0","2022","0","137.0955053963096"
"2022","9","2022","9","130.8738679354764"
"2022","10","2022","10","125.5879459208541"
"2022","11","2022","11","126.6106081002669"
"2022","0","2022","0","134.8595671347337"
"2021","1","2021","1","111.0761703609145"
"2021","0","2021","0","115.1835847742834"
"2021","3","2021","3","125.343178600441"
"2021","4","2021","4","127.2308541255657"
"2021","5","2021","5","134.54641754671"
"2021","6","2021","6","138.286942091215"
"2021","7","2021","7","141.7238470465359"
"2021","0","2021","0","131.4880921434374"
"2021","9","2021","9","123.670524544505"
"2021","10","2021","10","115.3042915167692"
"2021","11","2021","11","121.489505628409"
"2021","0","2021","0","138.1239921086225"
"2020","1","2020","1","116.4008204711617"
"2020","0","2020","0","129.4744864802135"
"2020","3","2020","3","128.449131948474"
"2020","4","2020","4","139.8515608680515"
"2020","5","2020","5","134.4546002088894"
"2020","6","2020","6","123.2590855286062"
"2020","7","2020","7","120.7012742253685"
"2020","0","2020","0","112.5010212370895"
"2020","9","2020","9","107.8187640710224"
"2020","10","2020","10","107.7154554949519"
"2020","11","2020","11","96.18925844261345"
"2020","0","2020","0","104.9581118718812"
"2019","1","2019","1","127.6545491470349"
"2019","0","2019","0","122.1285853545317"
"2019","3","2019","3","108.4537588487873"
"2019","4","2019","4","119.244688406638"
"2019","5","2019","5","115.8087155656244"
"2019","6","2019","6","137.6721051410004"
"2019","7","2019","7","119.4785308111872"
"2019","0","2019","0","100.2748"
"2019","9","2019","9","91.727"
"2019","10","2019","10","91.81270000000002"
"2019","11","2019","11","109.9295555297667"
"2019","0","2019","0","115.9779041429732"
"2018","1","2018","1","109.1353835441569"
"2018","0","2018","0","105.3028292909365"
"2018","3","2018","3","109.2277126610189"
"2018","4","2018","4","112.8251421608449"
"2018","5","2018","5","120.8926099570616"
"2018","6","2018","6","107.4032911686202"
"2018","7","2018","7","113.7510815829175"
"2018","0","2018","0","107.6164523616108"
"2018","9","2018","9","110.7344064059417"
"2018","10","2018","10","99.92913659046071"
"2018","11","2018","11","111.7109736567251"
"2018","0","2018","0","112.9940292445167"
"2017","1","2017","1","110.017285598236"
"2017","0","2017","0","112.326761053731"
"2017","3","2017","3","121.4673064871765"
"2017","4","2017","4","108.6318660786817"
"2017","5","2017","5","110.755074852037"
"2017","6","2017","6","111.3"
"2017","7","2017","7","116.965804804456"
"2017","0","2017","0","113.16089474295"
"2017","9","2017","9","100.8539851456423"
"2017","10","2017","10","99.21466287571081"
"2017","11","2017","11","96.80423001044448"
"2017","0","2017","0","99.3"
