annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","146.3621686562656"
"2024","0","2024","0","146.2006225701571"
"2024","3","2024","3","140.7754646932513"
"2024","4","2024","4","146.5384517552673"
"2024","5","2024","5","147.623717560407"
"2024","6","2024","6","141.6293404717925"
"2024","7","2024","7","147.6500392062171"
"2024","0","2024","0","151.1415487859452"
"2024","9","2024","9","156.1256330839742"
"2024","10","2024","10","173.2586626421531"
"2023","1","2023","1","143.180907275321"
"2023","0","2023","0","145.9622710413695"
"2023","3","2023","3","150.358784593438"
"2023","4","2023","4","154.1419286733238"
"2023","5","2023","5","144.7457746077033"
"2023","6","2023","6","148.4998402282454"
"2023","7","2023","7","151.2027988587732"
"2023","0","2023","0","149.3055035663338"
"2023","9","2023","9","152.1382866810456"
"2023","10","2023","10","148.7116881750104"
"2023","11","2023","11","137.1701276829505"
"2023","0","2023","0","145.46706251343"
"2022","1","2022","1","128.7776433666191"
"2022","0","2022","0","134.5875492154066"
"2022","3","2022","3","134.2665763195435"
"2022","4","2022","4","137.6692154065621"
"2022","5","2022","5","140.3343509272468"
"2022","6","2022","6","143.0943794579173"
"2022","7","2022","7","139.6650784593438"
"2022","0","2022","0","142.3911982881598"
"2022","9","2022","9","141.8222253922968"
"2022","10","2022","10","142.8428359486448"
"2022","11","2022","11","144.7390213980029"
"2022","0","2022","0","142.6717403708987"
"2021","1","2021","1","116.9513523537803"
"2021","0","2021","0","119.2361540656206"
"2021","3","2021","3","116.3903252496434"
"2021","4","2021","4","114.0111269614836"
"2021","5","2021","5","119.5186847360913"
"2021","6","2021","6","114.8172667617689"
"2021","7","2021","7","124.7526191155492"
"2021","0","2021","0","127.9993124108417"
"2021","9","2021","9","128.5747104136947"
"2021","10","2021","10","131.7110527817404"
"2021","11","2021","11","130.7749957203994"
"2021","0","2021","0","133.3126276747504"
"2020","1","2020","1","101.5796718972896"
"2020","0","2020","0","109.0662881597718"
"2020","3","2020","3","106.7240684736092"
"2020","4","2020","4","108.7960513552069"
"2020","5","2020","5","109.6480313837375"
"2020","6","2020","6","109.2452753209701"
"2020","7","2020","7","110.0193095577746"
"2020","0","2020","0","106.2348644793153"
"2020","9","2020","9","114.8593580599144"
"2020","10","2020","10","111.702059914408"
"2020","11","2020","11","110.6056747503567"
"2020","0","2020","0","112.693029957204"
"2019","1","2019","1","108.2523281027104"
"2019","0","2019","0","104.2875007132668"
"2019","3","2019","3","101.5690727532097"
"2019","4","2019","4","106.8667417974323"
"2019","5","2019","5","102.4803449041052"
"2019","6","2019","6","109.8200912981455"
"2019","7","2019","7","105.0704136947219"
"2019","0","2019","0","109.2698"
"2019","9","2019","9","106.6084"
"2019","10","2019","10","104.8729"
"2019","11","2019","11","100.6485620542083"
"2019","0","2019","0","103.3381740370899"
"2018","1","2018","1","103.8425049928673"
"2018","0","2018","0","105.8506875891584"
"2018","3","2018","3","107.0956319543509"
"2018","4","2018","4","108.3"
"2018","5","2018","5","109.402045649073"
"2018","6","2018","6","113.9916918687589"
"2018","7","2018","7","111.4333552068474"
"2018","0","2018","0","106.3391469329529"
"2018","9","2018","9","105.1510784593438"
"2018","10","2018","10","107.3592154065621"
"2018","11","2018","11","109.2088758915835"
"2018","0","2018","0","111.8933865905849"
"2017","1","2017","1","113.1964422253923"
"2017","0","2017","0","111.8697660485022"
"2017","3","2017","3","118.2154037089872"
"2017","4","2017","4","114.1867617689016"
"2017","5","2017","5","110.6122967189729"
"2017","6","2017","6","109.6678915834522"
"2017","7","2017","7","111.790253922967"
"2017","0","2017","0","112.2143281027104"
"2017","9","2017","9","109.2378231098431"
"2017","10","2017","10","111.3825306704708"
"2017","11","2017","11","105.4959543509273"
"2017","0","2017","0","106.8872182596291"
