annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","102.2843093904115"
"2024","0","2024","0","102.360142710673"
"2024","3","2024","3","102.6270177045622"
"2024","4","2024","4","102.4549202299361"
"2024","5","2024","5","102.4549202299361"
"2024","6","2024","6","102.4392467901895"
"2024","7","2024","7","102.5902860016849"
"2024","0","2024","0","102.5417274819811"
"2024","9","2024","9","100.9178762831197"
"2024","10","2024","10","100.9002087630824"
"2023","1","2023","1","102.637998506348"
"2023","0","2023","0","102.5471247199403"
"2023","3","2023","3","102.4059447348768"
"2023","4","2023","4","102.4059447348768"
"2023","5","2023","5","102.4059447348768"
"2023","6","2023","6","102.4103808812547"
"2023","7","2023","7","102.4236893203883"
"2023","0","2023","0","102.5624645257655"
"2023","9","2023","9","101.9844368912546"
"2023","10","2023","10","102.0530801196876"
"2023","11","2023","11","102.0530801196876"
"2023","0","2023","0","102.0678625345405"
"2022","1","2022","1","102.5842569081404"
"2022","0","2022","0","102.0439656460045"
"2022","3","2022","3","102.0439656460045"
"2022","4","2022","4","101.5242569081404"
"2022","5","2022","5","102.0212920089619"
"2022","6","2022","6","102.1242046303211"
"2022","7","2022","7","102.1261762509335"
"2022","0","2022","0","102.1439208364451"
"2022","9","2022","9","102.6913144137416"
"2022","10","2022","10","102.6265496639283"
"2022","11","2022","11","102.7326362957431"
"2022","0","2022","0","102.7326362957431"
"2021","1","2021","1","103.6203659447349"
"2021","0","2021","0","103.7613741598208"
"2021","3","2021","3","103.7554592979836"
"2021","4","2021","4","103.7214488424197"
"2021","5","2021","5","103.7554592979836"
"2021","6","2021","6","103.8277595220313"
"2021","7","2021","7","103.8326885735623"
"2021","0","2021","0","103.8238162808066"
"2021","9","2021","9","103.1480209111277"
"2021","10","2021","10","101.6597908887229"
"2021","11","2021","11","102.10142643764"
"2021","0","2021","0","102.1323002240478"
"2020","1","2020","1","103.1727557879014"
"2020","0","2020","0","103.224212098581"
"2020","3","2020","3","103.1682001493652"
"2020","4","2020","4","103.1784914115011"
"2020","5","2020","5","103.2407318894697"
"2020","6","2020","6","103.0869454817027"
"2020","7","2020","7","103.2187303958178"
"2020","0","2020","0","101.6341075429425"
"2020","9","2020","9","103.9668409260642"
"2020","10","2020","10","103.989357729649"
"2020","11","2020","11","104.088431665422"
"2020","0","2020","0","104.0130171769977"
"2019","1","2019","1","102.4722404779686"
"2019","0","2019","0","101.0488946975355"
"2019","3","2019","3","102.8543913368185"
"2019","4","2019","4","101.8432486930545"
"2019","5","2019","5","102.5585397567584"
"2019","6","2019","6","101.9204331590739"
"2019","7","2019","7","101.7703136669156"
"2019","0","2019","0","101.0774"
"2019","9","2019","9","102.6144"
"2019","10","2019","10","102.1933"
"2019","11","2019","11","103.2205302464526"
"2019","0","2019","0","103.2179611650485"
"2018","1","2018","1","101.1258625840179"
"2018","0","2018","0","101.1421135175504"
"2018","3","2018","3","101.0927333831217"
"2018","4","2018","4","101.1421135175504"
"2018","5","2018","5","100.3446527259148"
"2018","6","2018","6","100.5798655713219"
"2018","7","2018","7","100.5798655713219"
"2018","0","2018","0","101.1156086631815"
"2018","9","2018","9","100.9715309932786"
"2018","10","2018","10","100.7485511575803"
"2018","11","2018","11","101.1867886482449"
"2018","0","2018","0","101.706497386109"
"2017","1","2017","1","101.561142643764"
"2017","0","2017","0","102.0820612397311"
"2017","3","2017","3","101.3243465272591"
"2017","4","2017","4","100.809066467513"
"2017","5","2017","5","100.7179686333084"
"2017","6","2017","6","100.7179686333084"
"2017","7","2017","7","100.7614115011202"
"2017","0","2017","0","100.6739357729649"
"2017","9","2017","9","100.7614115011202"
"2017","10","2017","10","100.7717027632561"
"2017","11","2017","11","101.2626362957431"
"2017","0","2017","0","101.1751605675878"
