annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","140.3923201838893"
"2024","0","2024","0","142.4375382045448"
"2024","3","2024","3","145.1981415064599"
"2024","4","2024","4","144.7005711969353"
"2024","5","2024","5","144.7534425689812"
"2024","6","2024","6","145.1619035470702"
"2024","7","2024","7","146.2644929338868"
"2024","0","2024","0","146.2949831043246"
"2024","9","2024","9","146.9333544358995"
"2024","10","2024","10","147.0878479916562"
"2023","1","2023","1","134.940375578281"
"2023","0","2023","0","135.0162618699781"
"2023","3","2023","3","135.0119831994157"
"2023","4","2023","4","135.2467214511809"
"2023","5","2023","5","135.3674153883613"
"2023","6","2023","6","135.3674153883613"
"2023","7","2023","7","135.470438276114"
"2023","0","2023","0","135.9122985147309"
"2023","9","2023","9","136.0080353336982"
"2023","10","2023","10","137.5143164682187"
"2023","11","2023","11","138.761681937985"
"2023","0","2023","0","139.0102984026769"
"2022","1","2022","1","126.3054388848308"
"2022","0","2022","0","126.8991885804724"
"2022","3","2022","3","127.3989597029462"
"2022","4","2022","4","128.3655289749209"
"2022","5","2022","5","128.3838321767714"
"2022","6","2022","6","129.838656257609"
"2022","7","2022","7","130.1838595690285"
"2022","0","2022","0","132.1353433162893"
"2022","9","2022","9","132.1353433162893"
"2022","10","2022","10","132.4265132700268"
"2022","11","2022","11","132.378184806428"
"2022","0","2022","0","134.6289103968834"
"2021","1","2021","1","116.655777027027"
"2021","0","2021","0","117.5597014243974"
"2021","3","2021","3","117.4726768322376"
"2021","4","2021","4","119.3228637083029"
"2021","5","2021","5","121.3093492817141"
"2021","6","2021","6","122.4249768687606"
"2021","7","2021","7","121.9087338690041"
"2021","0","2021","0","122.1881574141709"
"2021","9","2021","9","122.1881574141709"
"2021","10","2021","10","122.4919363282201"
"2021","11","2021","11","123.7553804480156"
"2021","0","2021","0","124.7271518139761"
"2020","1","2020","1","111.6271040297054"
"2020","0","2020","0","112.254014183102"
"2020","3","2020","3","112.300269357195"
"2020","4","2020","4","112.4383506817628"
"2020","5","2020","5","112.687564219625"
"2020","6","2020","6","113.1087122595569"
"2020","7","2020","7","112.9271125517409"
"2020","0","2020","0","112.8511678232286"
"2020","9","2020","9","112.8929148405162"
"2020","10","2020","10","113.4274954346238"
"2020","11","2020","11","114.4244092403214"
"2020","0","2020","0","115.4669232408084"
"2019","1","2019","1","106.9470863769174"
"2019","0","2019","0","107.1535923423423"
"2019","3","2019","3","106.9765297053811"
"2019","4","2019","4","107.1925426101777"
"2019","5","2019","5","107.9722046929421"
"2019","6","2019","6","107.2339670075481"
"2019","7","2019","7","107.5940564889213"
"2019","0","2019","0","105.4442"
"2019","9","2019","9","107.7913"
"2019","10","2019","10","108.976"
"2019","11","2019","11","109.5518529340151"
"2019","0","2019","0","109.6392531044558"
"2018","1","2018","1","104.6301138300463"
"2018","0","2018","0","105.4516977112247"
"2018","3","2018","3","105.4655058436815"
"2018","4","2018","4","105.6173953007061"
"2018","5","2018","5","105.8987326515705"
"2018","6","2018","6","105.8987326515705"
"2018","7","2018","7","105.8987326515705"
"2018","0","2018","0","106.5000499147796"
"2018","9","2018","9","106.357079376674"
"2018","10","2018","10","106.4951607012418"
"2018","11","2018","11","106.6778277940102"
"2018","0","2018","0","106.815909118578"
"2017","1","2017","1","102.3005898466034"
"2017","0","2017","0","102.5006479790601"
"2017","3","2017","3","102.1530791940589"
"2017","4","2017","4","102.5737716094473"
"2017","5","2017","5","102.5852279644509"
"2017","6","2017","6","102.6335564280497"
"2017","7","2017","7","102.7710022522523"
"2017","0","2017","0","102.9811078646214"
"2017","9","2017","9","103.2464450937424"
"2017","10","2017","10","103.2464450937424"
"2017","11","2017","11","104.6659940345751"
"2017","0","2017","0","103.9672187728269"
