annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","93.56625834992087"
"2024","0","2024","0","93.54296954483726"
"2024","3","2024","3","96.4142758771267"
"2024","4","2024","4","93.9668777458644"
"2024","5","2024","5","94.12319936439201"
"2024","6","2024","6","94.54174596209849"
"2024","7","2024","7","94.77455755265068"
"2024","0","2024","0","93.76436191609707"
"2024","9","2024","9","93.65896273898679"
"2024","10","2024","10","91.34000365939566"
"2023","1","2023","1","93.13910259917921"
"2023","0","2023","0","93.09970451436389"
"2023","3","2023","3","93.27130779753765"
"2023","4","2023","4","93.11420793433653"
"2023","5","2023","5","93.2089630642955"
"2023","6","2023","6","93.2089630642955"
"2023","7","2023","7","93.2089630642955"
"2023","0","2023","0","93.19369630642956"
"2023","9","2023","9","92.83745084024154"
"2023","10","2023","10","93.12617789378072"
"2023","11","2023","11","93.31474684820937"
"2023","0","2023","0","93.46890328846933"
"2022","1","2022","1","95.17000000000002"
"2022","0","2022","0","95.11054719562246"
"2022","3","2022","3","95.24728864569084"
"2022","4","2022","4","95.03920383036937"
"2022","5","2022","5","95.03920383036937"
"2022","6","2022","6","94.24910259917921"
"2022","7","2022","7","94.55825718194255"
"2022","0","2022","0","92.25743365253078"
"2022","9","2022","9","92.43579206566348"
"2022","10","2022","10","92.67360328317373"
"2022","11","2022","11","92.32877701778386"
"2022","0","2022","0","93.06181395348837"
"2021","1","2021","1","97.95583310533517"
"2021","0","2021","0","98.11820793433652"
"2021","3","2021","3","98.11008207934337"
"2021","4","2021","4","98.07335430916555"
"2021","5","2021","5","97.93066757865938"
"2021","6","2021","6","94.27652804377566"
"2021","7","2021","7","94.92089466484269"
"2021","0","2021","0","95.09436388508892"
"2021","9","2021","9","95.09436388508892"
"2021","10","2021","10","95.18704787961696"
"2021","11","2021","11","95.11716552667579"
"2021","0","2021","0","95.16405471956226"
"2020","1","2020","1","98.99820793433653"
"2020","0","2020","0","98.99820793433653"
"2020","3","2020","3","98.99820793433653"
"2020","4","2020","4","98.99820793433653"
"2020","5","2020","5","98.97463474692204"
"2020","6","2020","6","98.96653351573188"
"2020","7","2020","7","99.03205471956225"
"2020","0","2020","0","99.09642407660739"
"2020","9","2020","9","98.43926949384407"
"2020","10","2020","10","98.0299534883721"
"2020","11","2020","11","98.0180629274966"
"2020","0","2020","0","98.57883173734612"
"2019","1","2019","1","98.09383857729141"
"2019","0","2019","0","97.83393433652532"
"2019","3","2019","3","97.03061012311902"
"2019","4","2019","4","97.99125307797539"
"2019","5","2019","5","98.65764554147916"
"2019","6","2019","6","97.9784487004104"
"2019","7","2019","7","98.42646785225719"
"2019","0","2019","0","98.1445"
"2019","9","2019","9","98.4519"
"2019","10","2019","10","98.5137"
"2019","11","2019","11","98.94687004103967"
"2019","0","2019","0","98.86513269493845"
"2018","1","2018","1","98.5865800273598"
"2018","0","2018","0","98.69954035567716"
"2018","3","2018","3","100.0321149110807"
"2018","4","2018","4","98.77088372093024"
"2018","5","2018","5","99.39007387140903"
"2018","6","2018","6","99.1521778385773"
"2018","7","2018","7","99.00354582763339"
"2018","0","2018","0","98.26704787961698"
"2018","9","2018","9","98.26704787961698"
"2018","10","2018","10","98.24921203830371"
"2018","11","2018","11","98.46604924760602"
"2018","0","2018","0","98.37687004103968"
"2017","1","2017","1","99.6209165526676"
"2017","0","2017","0","98.76083720930234"
"2017","3","2017","3","99.58425718194255"
"2017","4","2017","4","99.22624897400823"
"2017","5","2017","5","99.3028508891929"
"2017","6","2017","6","99.21367168262655"
"2017","7","2017","7","99.94285362517101"
"2017","0","2017","0","99.9677045143639"
"2017","9","2017","9","99.85474418604653"
"2017","10","2017","10","99.85474418604653"
"2017","11","2017","11","99.04215868673052"
"2017","0","2017","0","99.04215868673052"
