annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","109.5328921139829"
"2024","0","2024","0","109.6269647906534"
"2024","3","2024","3","109.5519472875144"
"2024","4","2024","4","109.6815133463485"
"2024","5","2024","5","109.8793870967287"
"2024","6","2024","6","110.0225875420715"
"2024","7","2024","7","109.9935498427853"
"2024","0","2024","0","110.1233433100382"
"2024","9","2024","9","110.118272499278"
"2024","10","2024","10","110.3078160215601"
"2023","1","2023","1","108.8618762834751"
"2023","0","2023","0","108.6652713633125"
"2023","3","2023","3","108.9697736892838"
"2023","4","2023","4","109.1592996940614"
"2023","5","2023","5","109.2824399647961"
"2023","6","2023","6","109.3242906835422"
"2023","7","2023","7","109.3703805372784"
"2023","0","2023","0","109.2787858849168"
"2023","9","2023","9","109.3217136264267"
"2023","10","2023","10","109.3217136264267"
"2023","11","2023","11","109.3217136264267"
"2023","0","2023","0","109.4435867402529"
"2022","1","2022","1","105.3485654415154"
"2022","0","2022","0","105.3568450609782"
"2022","3","2022","3","106.1431930765685"
"2022","4","2022","4","106.1768635011106"
"2022","5","2022","5","106.1768635011106"
"2022","6","2022","6","106.1994061439168"
"2022","7","2022","7","106.1846573907213"
"2022","0","2022","0","107.0431197351326"
"2022","9","2022","9","107.8378085578978"
"2022","10","2022","10","108.4114844306609"
"2022","11","2022","11","108.6833540086333"
"2022","0","2022","0","108.5579896064708"
"2021","1","2021","1","102.0562210301328"
"2021","0","2021","0","105.8253245882402"
"2021","3","2021","3","105.5011085034156"
"2021","4","2021","4","105.3539189472361"
"2021","5","2021","5","105.415563471774"
"2021","6","2021","6","105.4164280625288"
"2021","7","2021","7","105.4778961485269"
"2021","0","2021","0","105.3813557688278"
"2021","9","2021","9","105.3813557688278"
"2021","10","2021","10","105.3804505259629"
"2021","11","2021","11","105.0179908637526"
"2021","0","2021","0","105.0069292988559"
"2020","1","2020","1","101.8627408742299"
"2020","0","2020","0","101.8746414651523"
"2020","3","2020","3","101.9979636226478"
"2020","4","2020","4","102.0382372909769"
"2020","5","2020","5","102.287275051339"
"2020","6","2020","6","105.3899044465865"
"2020","7","2020","7","103.8776778005951"
"2020","0","2020","0","103.7364506936004"
"2020","9","2020","9","103.6677494656552"
"2020","10","2020","10","102.5777062989816"
"2020","11","2020","11","102.6729219228029"
"2020","0","2020","0","105.7009333221575"
"2019","1","2019","1","101.9905527848791"
"2019","0","2019","0","101.3830463936968"
"2019","3","2019","3","101.0130367545367"
"2019","4","2019","4","101.8960739281673"
"2019","5","2019","5","102.4263443498345"
"2019","6","2019","6","101.7783487699593"
"2019","7","2019","7","101.9704760906919"
"2019","0","2019","0","102.1023"
"2019","9","2019","9","102.0606"
"2019","10","2019","10","102.0511"
"2019","11","2019","11","102.0683982230418"
"2019","0","2019","0","101.9500117346297"
"2018","1","2018","1","100.5959930430409"
"2018","0","2018","0","100.5086777586857"
"2018","3","2018","3","100.5234265118813"
"2018","4","2018","4","100.1091836050459"
"2018","5","2018","5","101.8269665982147"
"2018","6","2018","6","101.2318130002934"
"2018","7","2018","7","101.2129177318637"
"2018","0","2018","0","100.015046728972"
"2018","9","2018","9","101.4639415783077"
"2018","10","2018","10","101.4676287666066"
"2018","11","2018","11","102.4443761787016"
"2018","0","2018","0","100.9278865093668"
"2017","1","2017","1","99.8535124261347"
"2017","0","2017","0","99.98377896986713"
"2017","3","2017","3","100.7152005364402"
"2017","4","2017","4","101.065995976698"
"2017","5","2017","5","100.345933112611"
"2017","6","2017","6","100.400315158627"
"2017","7","2017","7","100.676269645027"
"2017","0","2017","0","100.9411080843217"
"2017","9","2017","9","101.1816365617535"
"2017","10","2017","10","101.1816365617535"
"2017","11","2017","11","100.4133385021583"
"2017","0","2017","0","99.63011357445204"
