annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","86.49254375232184"
"2024","0","2024","0","87.1949638201857"
"2024","3","2024","3","90.0348841814552"
"2024","4","2024","4","99.64357355617224"
"2024","5","2024","5","104.8308639057435"
"2024","6","2024","6","114.4927930277315"
"2024","7","2024","7","125.1386301973784"
"2024","0","2024","0","118.5522550045205"
"2024","9","2024","9","109.4426735144283"
"2024","10","2024","10","122.9104562708438"
"2023","1","2023","1","78.17523030861354"
"2023","0","2023","0","80.95490327038232"
"2023","3","2023","3","65.35617227084292"
"2023","4","2023","4","74.77117918010133"
"2023","5","2023","5","87.45669967756794"
"2023","6","2023","6","83.70933901427912"
"2023","7","2023","7","83.91214877936434"
"2023","0","2023","0","89.37337402118838"
"2023","9","2023","9","93.77299444513969"
"2023","10","2023","10","88.8304564218154"
"2023","11","2023","11","84.60440133530538"
"2023","0","2023","0","88.54537672131117"
"2022","1","2022","1","101.1705988023952"
"2022","0","2022","0","92.86264163979733"
"2022","3","2022","3","86.8776600644864"
"2022","4","2022","4","94.12073238139104"
"2022","5","2022","5","100.7168678028558"
"2022","6","2022","6","81.14941040994931"
"2022","7","2022","7","90.510085214187"
"2022","0","2022","0","79.26947029018885"
"2022","9","2022","9","74.93774527867342"
"2022","10","2022","10","85.25642791340395"
"2022","11","2022","11","81.59779134039613"
"2022","0","2022","0","82.40728005527404"
"2021","1","2021","1","126.5308544449562"
"2021","0","2021","0","108.7244841087057"
"2021","3","2021","3","122.5557945647167"
"2021","4","2021","4","118.1319829571626"
"2021","5","2021","5","73.51169507139566"
"2021","6","2021","6","96.36585214187009"
"2021","7","2021","7","70.64917549516352"
"2021","0","2021","0","83.62923537540303"
"2021","9","2021","9","84.30226393367111"
"2021","10","2021","10","89.48106172270842"
"2021","11","2021","11","97.51098572086595"
"2021","0","2021","0","102.8538576692768"
"2020","1","2020","1","114.6153132197144"
"2020","0","2020","0","104.1164371257485"
"2020","3","2020","3","91.9538553661907"
"2020","4","2020","4","80.59765545831414"
"2020","5","2020","5","90.52525564256102"
"2020","6","2020","6","88.50184477199447"
"2020","7","2020","7","82.86280976508522"
"2020","0","2020","0","93.65805389221556"
"2020","9","2020","9","98.95725472132658"
"2020","10","2020","10","96.39453247351449"
"2020","11","2020","11","90.42230999539383"
"2020","0","2020","0","88.67574389682173"
"2019","1","2019","1","123.7304352832796"
"2019","0","2019","0","98.61008751727313"
"2019","3","2019","3","97.70724550898203"
"2019","4","2019","4","102.6370796867803"
"2019","5","2019","5","96.88557258281652"
"2019","6","2019","6","111.1435398433901"
"2019","7","2019","7","109.0591570704744"
"2019","0","2019","0","102.8071"
"2019","9","2019","9","93.60040000000002"
"2019","10","2019","10","97.7471"
"2019","11","2019","11","89.59466374942423"
"2019","0","2019","0","87.03052970981115"
"2018","1","2018","1","116.8908291110088"
"2018","0","2018","0","97.70177567941039"
"2018","3","2018","3","89.13834638415476"
"2018","4","2018","4","107.7940073698756"
"2018","5","2018","5","109.0494196222939"
"2018","6","2018","6","108.939820359281"
"2018","7","2018","7","107.9491064025794"
"2018","0","2018","0","98.76626209120221"
"2018","9","2018","9","102.4643689543989"
"2018","10","2018","10","104.0055412252418"
"2018","11","2018","11","99.45889221556887"
"2018","0","2018","0","84.8882703823123"
"2017","1","2017","1","83.05505757715338"
"2017","0","2017","0","107.2498341777982"
"2017","3","2017","3","98.58864002763703"
"2017","4","2017","4","92.63079226163057"
"2017","5","2017","5","104.0912666973745"
"2017","6","2017","6","106.2"
"2017","7","2017","7","106.5"
"2017","0","2017","0","105.1"
"2017","9","2017","9","98.70955780746199"
"2017","10","2017","10","106.811923076923"
"2017","11","2017","11","106.2295969599263"
"2017","0","2017","0","103.324758175955"
