annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","148.8465517759316"
"2024","0","2024","0","149.068176731687"
"2024","3","2024","3","147.7428968023192"
"2024","4","2024","4","146.6993761180062"
"2024","5","2024","5","149.8566205572021"
"2024","6","2024","6","158.9431771210255"
"2024","7","2024","7","151.3636750834324"
"2024","0","2024","0","151.4195612792305"
"2024","9","2024","9","150.9161945340663"
"2024","10","2024","10","148.4209989532459"
"2023","1","2023","1","139.6020935960591"
"2023","0","2023","0","144.8952339901478"
"2023","3","2023","3","145.4993719211823"
"2023","4","2023","4","144.2465517241379"
"2023","5","2023","5","148.4275492610838"
"2023","6","2023","6","151.2168596059114"
"2023","7","2023","7","148.4067487684729"
"2023","0","2023","0","148.4558374384237"
"2023","9","2023","9","151.0508996806116"
"2023","10","2023","10","149.7488677061243"
"2023","11","2023","11","150.3399520378391"
"2023","0","2023","0","149.235906932741"
"2022","1","2022","1","133.0510714285714"
"2022","0","2022","0","134.177118226601"
"2022","3","2022","3","133.6224137931034"
"2022","4","2022","4","132.3490763546798"
"2022","5","2022","5","140.8491009852217"
"2022","6","2022","6","137.5895566502463"
"2022","7","2022","7","140.1475492610838"
"2022","0","2022","0","140.5652709359606"
"2022","9","2022","9","140.9713054187192"
"2022","10","2022","10","141.9334482758621"
"2022","11","2022","11","146.6278694581281"
"2022","0","2022","0","145.7485344827586"
"2021","1","2021","1","120.2595566502463"
"2021","0","2021","0","119.176724137931"
"2021","3","2021","3","122.8643349753695"
"2021","4","2021","4","124.2779802955665"
"2021","5","2021","5","127.918078817734"
"2021","6","2021","6","129.8297044334976"
"2021","7","2021","7","128.986342364532"
"2021","0","2021","0","132.2567118226601"
"2021","9","2021","9","131.572697044335"
"2021","10","2021","10","132.4282266009852"
"2021","11","2021","11","134.3166995073892"
"2021","0","2021","0","132.3983004926108"
"2020","1","2020","1","119.4560344827586"
"2020","0","2020","0","119.1728694581281"
"2020","3","2020","3","119.523842364532"
"2020","4","2020","4","118.9769334975369"
"2020","5","2020","5","119.4468842364532"
"2020","6","2020","6","116.6099261083744"
"2020","7","2020","7","116.4032881773399"
"2020","0","2020","0","118.0000369458128"
"2020","9","2020","9","118.6920073891626"
"2020","10","2020","10","118.4987684729064"
"2020","11","2020","11","118.8215270935961"
"2020","0","2020","0","120.2380541871921"
"2019","1","2019","1","104.9968596059113"
"2019","0","2019","0","114.3747044334976"
"2019","3","2019","3","106.303275862069"
"2019","4","2019","4","105.8061699507389"
"2019","5","2019","5","117.6244196949145"
"2019","6","2019","6","117.8927709359606"
"2019","7","2019","7","110.3401724137931"
"2019","0","2019","0","111.5343"
"2019","9","2019","9","113.0605"
"2019","10","2019","10","113.2582"
"2019","11","2019","11","118.187302955665"
"2019","0","2019","0","125.0837192118227"
"2018","1","2018","1","115.6928571428572"
"2018","0","2018","0","113.2610467980296"
"2018","3","2018","3","109.2980049261084"
"2018","4","2018","4","113.7420566502463"
"2018","5","2018","5","110.9794950738917"
"2018","6","2018","6","115.1073645320197"
"2018","7","2018","7","113.9530418719212"
"2018","0","2018","0","114.5936330049261"
"2018","9","2018","9","116.5186822660099"
"2018","10","2018","10","115.6075738916256"
"2018","11","2018","11","116.7197044334975"
"2018","0","2018","0","118.3905172413793"
"2017","1","2017","1","113.7313177339902"
"2017","0","2017","0","113.114421182266"
"2017","3","2017","3","115.2843719211823"
"2017","4","2017","4","113.4911330049261"
"2017","5","2017","5","104.4752216748769"
"2017","6","2017","6","112.6125615763547"
"2017","7","2017","7","113.1528078817734"
"2017","0","2017","0","110.442512315271"
"2017","9","2017","9","113.401157635468"
"2017","10","2017","10","112.8154064039409"
"2017","11","2017","11","114.8721551724138"
"2017","0","2017","0","117.3"
