annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","110.4773801412612"
"2024","0","2024","0","111.1035931916732"
"2024","3","2024","3","107.5815050431968"
"2024","4","2024","4","110.8427951715106"
"2024","5","2024","5","109.084438476745"
"2024","6","2024","6","105.7277439717179"
"2024","7","2024","7","106.8860011955065"
"2024","0","2024","0","106.0359311005745"
"2024","9","2024","9","106.0747446808994"
"2024","10","2024","10","107.3291486915763"
"2023","1","2023","1","107.6313436928702"
"2023","0","2023","0","118.1526325411335"
"2023","3","2023","3","120.1847806215722"
"2023","4","2023","4","120.0060511882998"
"2023","5","2023","5","113.0797440585009"
"2023","6","2023","6","111.2981992687386"
"2023","7","2023","7","111.4559689213894"
"2023","0","2023","0","111.5051371115174"
"2023","9","2023","9","112.5309050355576"
"2023","10","2023","10","112.0991497741536"
"2023","11","2023","11","111.7220591147592"
"2023","0","2023","0","111.7065462813296"
"2022","1","2022","1","102.0509780621572"
"2022","0","2022","0","101.9891956124314"
"2022","3","2022","3","102.2740859232176"
"2022","4","2022","4","101.6995978062157"
"2022","5","2022","5","102.6703290676417"
"2022","6","2022","6","103.7065173674589"
"2022","7","2022","7","103.7732723948812"
"2022","0","2022","0","106.4788939670933"
"2022","9","2022","9","106.7799177330896"
"2022","10","2022","10","106.7847257769653"
"2022","11","2022","11","106.8212888482633"
"2022","0","2022","0","106.833592321755"
"2021","1","2021","1","100.7369835466179"
"2021","0","2021","0","100.7473400365631"
"2021","3","2021","3","100.9858957952468"
"2021","4","2021","4","100.3600365630713"
"2021","5","2021","5","102.8103199268739"
"2021","6","2021","6","102.5567276051188"
"2021","7","2021","7","102.9354296160877"
"2021","0","2021","0","102.7105941499086"
"2021","9","2021","9","102.8010054844607"
"2021","10","2021","10","102.7575594149909"
"2021","11","2021","11","101.6428884826326"
"2021","0","2021","0","101.6751736745887"
"2020","1","2020","1","101.7435374771481"
"2020","0","2020","0","100.9957586837294"
"2020","3","2020","3","101.2546983546618"
"2020","4","2020","4","100.907084095064"
"2020","5","2020","5","101.5623126142596"
"2020","6","2020","6","101.0750639853748"
"2020","7","2020","7","102.7675868372943"
"2020","0","2020","0","101.0950365630713"
"2020","9","2020","9","100.7625776965265"
"2020","10","2020","10","100.1405393053017"
"2020","11","2020","11","100.6969926873857"
"2020","0","2020","0","98.68358318098721"
"2019","1","2019","1","101.2839396709324"
"2019","0","2019","0","99.61737659963438"
"2019","3","2019","3","101.3726965265082"
"2019","4","2019","4","100.7577970749543"
"2019","5","2019","5","101.7187886318876"
"2019","6","2019","6","100.2998903107861"
"2019","7","2019","7","100.011197440585"
"2019","0","2019","0","101.4321"
"2019","9","2019","9","101.8915"
"2019","10","2019","10","101.5106"
"2019","11","2019","11","101.5431901279707"
"2019","0","2019","0","101.2826508226691"
"2018","1","2018","1","100.4927879341865"
"2018","0","2018","0","104.1504753199269"
"2018","3","2018","3","101.5102193784278"
"2018","4","2018","4","100.967915904936"
"2018","5","2018","5","101.1000914076783"
"2018","6","2018","6","101.5967093235832"
"2018","7","2018","7","100.6812157221207"
"2018","0","2018","0","100.3436288848263"
"2018","9","2018","9","100.7276599634369"
"2018","10","2018","10","101.0006124314443"
"2018","11","2018","11","100.9390950639854"
"2018","0","2018","0","101.792760511883"
"2017","1","2017","1","100.077915904936"
"2017","0","2017","0","100.9710968921389"
"2017","3","2017","3","100.3353839122486"
"2017","4","2017","4","100.8046435100548"
"2017","5","2017","5","100.7940036563071"
"2017","6","2017","6","100.069634369287"
"2017","7","2017","7","100.1"
"2017","0","2017","0","99.62868372943329"
"2017","9","2017","9","100.6546617915905"
"2017","10","2017","10","99.47542961608777"
"2017","11","2017","11","101.0086288848263"
"2017","0","2017","0","100.3827056672761"
